codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A101,16/11/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,16/11/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A101,17/11/2016,12,28.7,28.7,28.0,75,81,75,23.8,24.5,23.6,1002.6,1002.6,1001.7,2.8,55,5.6,364.0,0.0
A101,17/11/2016,13,29.1,29.6,28.7,70,75,69,23.2,23.9,23.0,1003.3,1003.3,1002.6,2.2,57,6.0,755.7,0.0
A101,17/11/2016,14,29.4,29.4,29.0,66,71,66,22.3,23.3,22.3,1004.9,1004.9,1003.4,1.0,143,4.1,233.2,0.0
A101,17/11/2016,02,30.2,30.4,29.6,72,74,70,24.5,24.6,24.3,1000.2,1000.3,999.9,1.2,62,2.1,-3.52,0.0
A101,17/11/2016,15,22.8,29.5,22.8,89,89,65,20.9,24.5,20.1,1006.9,1006.9,1004.9,5.2,241,14.5,79.62,2.6
A101,17/11/2016,23,23.5,23.5,23.3,85,85,83,20.8,20.8,20.5,1000.0,1000.0,999.3,1.2,31,5.6,-3.50,0.0
A101,17/11/2016,16,22.5,23.0,22.2,91,93,89,21.0,21.4,20.9,1006.4,1007.4,1006.3,4.1,231,10.4,124.3,12.6
A101,17/11/2016,17,22.8,22.8,22.3,87,92,86,20.4,21.1,20.2,1005.1,1006.4,1005.1,3.3,216,10.0,302.9,4.4
A101,17/11/2016,18,23.7,23.7,22.6,81,87,81,20.3,20.7,20.0,1003.4,1005.1,1003.4,2.2,202,9.1,626.4,0.6
A101,17/11/2016,03,29.4,30.2,29.4,73,73,72,24.1,24.6,24.1,1000.6,1000.6,1000.2,0.9,323,2.3,-3.46,0.0
A101,17/11/2016,19,23.9,24.0,23.5,80,82,79,20.3,20.5,19.6,1001.3,1003.4,1001.3,1.9,91,8.3,363.9,0.0
A101,17/11/2016,20,24.1,24.1,23.9,80,81,79,20.4,20.5,20.1,1000.5,1001.3,1000.4,3.2,79,6.7,307.1,0.0
A101,17/11/2016,21,23.8,24.2,23.8,82,82,79,20.5,20.6,20.3,1000.5,1000.9,1000.5,2.8,68,7.2,198.1,0.0
A101,17/11/2016,22,23.5,23.9,23.5,84,84,81,20.6,20.6,20.4,999.8,1000.4,999.8,2.0,63,6.4,56.38,0.0
A101,17/11/2016,04,29.3,29.4,28.8,72,77,72,23.8,24.4,23.8,1000.3,1000.7,1000.3,1.2,54,2.4,-3.47,0.0
A101,17/11/2016,05,28.6,29.5,28.6,78,78,71,24.3,24.3,23.5,1000.2,1000.5,1000.2,0.9,331,2.4,-3.41,0.0
A101,17/11/2016,06,28.6,28.6,28.3,78,79,78,24.3,24.4,24.2,1000.2,1000.3,1000.1,0.8,324,2.5,-2.81,0.0
A101,17/11/2016,07,28.2,28.6,28.0,80,80,78,24.3,24.4,24.2,999.7,1000.2,999.7,0.5,63,1.7,-2.92,0.0
A101,17/11/2016,00,29.9,31.9,29.9,71,71,59,24.1,24.1,23.0,998.6,998.6,997.1,0.7,358,3.4,-3.54,0.0
A101,17/11/2016,08,28.3,28.3,28.1,79,80,79,24.4,24.5,24.3,1000.0,1000.0,999.7,1.6,62,2.8,-3.06,0.0
A101,17/11/2016,09,28.1,28.3,28.1,80,80,79,24.3,24.5,24.3,1000.8,1000.9,1000.0,1.6,73,3.3,-3.46,0.0
A101,17/11/2016,10,27.7,28.1,27.6,81,83,80,24.2,24.4,24.1,1000.7,1000.8,1000.6,1.6,43,4.0,15.65,0.0
A101,17/11/2016,01,30.4,30.6,29.7,70,72,69,24.3,24.3,24.0,999.9,999.9,998.6,1.2,249,2.5,-3.50,0.0
A101,17/11/2016,11,28.0,28.0,27.6,81,82,81,24.4,24.5,24.1,1001.7,1001.7,1000.7,2.2,59,4.7,183.5,0.0
A101,18/11/2016,03,22.6,23.0,22.5,89,89,88,20.7,20.9,20.6,1002.1,1002.1,1001.4,0.4,1,2.2,-3.53,0.0
A101,18/11/2016,04,23.2,23.2,22.6,87,89,87,20.9,21.0,20.8,1002.1,1002.4,1002.1,1.3,85,2.2,-3.45,0.0
A101,18/11/2016,05,23.4,23.5,23.2,88,89,87,21.3,21.5,20.9,1002.1,1002.1,1001.7,1.3,112,3.1,-2.75,0.0
A101,18/11/2016,06,23.1,23.4,23.1,88,89,87,21.0,21.4,21.0,1002.4,1002.5,1002.1,1.3,112,3.3,-0.42,0.0
