codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A251,24/08/2017,23,26.9,27.7,26.9,81,81,77,23.4,23.5,23.2,1008.2,1008.2,1007.8,2.8,101,7.2,0.000,0.0
A251,24/08/2017,18,32.9,33.9,32.5,52,52,47,21.6,22.1,20.2,1007.1,1007.9,1007.1,4.0,98,9.1,2895.,0.0
A251,24/08/2017,19,32.2,33.4,31.9,54,55,48,21.8,21.9,20.6,1006.6,1007.2,1006.6,5.1,100,9.2,1765.,0.0
A251,24/08/2017,20,31.4,32.6,31.3,58,58,53,22.1,22.5,21.4,1006.9,1006.9,1006.5,5.4,103,9.3,1482.,0.0
A251,24/08/2017,21,29.4,31.7,29.4,66,66,55,22.3,22.5,21.3,1007.4,1007.4,1006.9,5.5,112,9.1,565.5,0.0
A251,24/08/2017,22,27.6,29.4,27.6,77,77,66,23.2,23.2,22.3,1007.8,1007.8,1007.3,4.6,112,8.8,39.91,0.0
A251,24/08/2017,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A251,24/08/2017,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A251,24/08/2017,17,33.0,33.7,31.4,51,58,49,21.5,23.1,21.0,1007.9,1008.9,1007.9,4.4,105,10.0,2764.,0.0
A251,25/08/2017,01,26.0,26.5,26.0,88,88,84,23.7,23.8,23.5,1009.7,1009.7,1009.0,0.4,56,2.8,0.000,0.0
A251,25/08/2017,02,25.7,26.0,25.6,90,90,88,23.8,23.8,23.7,1010.0,1010.0,1009.7,0.7,47,2.2,0.000,0.0
A251,25/08/2017,09,24.7,24.8,24.6,92,93,92,23.4,23.4,23.3,1009.1,1009.1,1008.7,0.5,34,1.7,0.000,0.0
A251,25/08/2017,10,25.1,25.1,24.7,91,93,91,23.6,23.6,23.4,1009.4,1009.4,1009.1,0.4,34,1.6,69.60,0.0
A251,25/08/2017,03,25.5,25.7,25.5,90,90,90,23.7,24.0,23.7,1009.9,1010.1,1009.9,0.7,50,1.8,0.000,0.0
A251,25/08/2017,04,25.3,25.5,25.1,91,92,90,23.8,23.8,23.7,1009.6,1009.9,1009.6,0.5,29,1.8,0.000,0.0
A251,25/08/2017,11,27.2,27.3,25.1,83,91,82,24.0,24.2,23.6,1009.9,1009.9,1009.4,1.1,62,3.0,635.6,0.0
A251,25/08/2017,12,28.8,29.6,27.2,75,83,72,23.9,24.3,23.4,1010.5,1010.5,1009.9,2.8,105,6.9,1472.,0.0
A251,25/08/2017,13,30.4,31.0,28.7,64,75,63,23.0,24.4,22.7,1010.9,1010.9,1010.5,4.5,118,8.0,1895.,0.0
