codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A410,17/11/2016,22,24.9,25.2,24.8,89,89,86,22.9,22.9,22.7,1001.0,1001.0,1000.5,2.3,59,4.4,-2.58,0.0
A410,17/11/2016,05,24.0,24.2,24.0,93,93,92,22.8,22.9,22.7,1001.0,1001.3,1001.0,0.1,307,1.2,-1.20,0.0
A410,17/11/2016,06,24.2,24.2,24.0,92,93,92,22.8,22.9,22.8,1000.9,1001.0,1000.8,0.9,6,2.6,-0.81,0.0
A410,17/11/2016,07,24.2,24.2,24.0,91,92,91,22.7,22.8,22.6,1000.6,1001.1,1000.6,3.0,20,6.2,-0.77,0.0
A410,17/11/2016,08,24.2,24.3,24.2,90,91,90,22.5,22.7,22.5,1001.3,1001.3,1000.6,1.4,27,6.2,0.327,0.0
A410,17/11/2016,09,24.5,24.5,24.2,89,90,89,22.6,22.6,22.5,1001.9,1001.9,1001.3,1.5,27,5.5,77.47,0.0
A410,17/11/2016,10,25.3,25.3,24.5,88,90,88,23.1,23.1,22.6,1002.3,1002.3,1001.9,1.8,341,4.3,267.2,0.0
A410,17/11/2016,11,26.3,26.3,25.3,79,88,79,22.5,23.6,22.5,1002.6,1002.7,1002.3,3.7,19,6.8,641.7,0.0
A410,17/11/2016,12,27.3,27.6,26.3,75,80,74,22.5,23.2,22.1,1002.8,1003.0,1002.6,4.0,37,9.2,1087.,0.0
A410,17/11/2016,13,26.9,28.2,26.9,78,78,70,22.7,23.6,22.1,1003.1,1003.1,1002.8,3.2,15,7.8,1035.,0.0
A410,17/11/2016,00,24.5,24.8,24.4,92,92,89,23.0,23.0,22.9,1002.7,1002.7,1002.2,0.9,19,3.2,-2.40,0.0
A410,17/11/2016,01,24.5,24.6,24.5,92,92,91,23.1,23.1,23.0,1002.9,1002.9,1002.7,1.2,27,1.8,-0.95,0.0
A410,17/11/2016,14,25.9,26.9,25.6,83,88,78,22.8,23.6,22.6,1003.0,1003.1,1002.8,4.6,25,8.5,789.7,0.6
A410,17/11/2016,15,25.6,25.9,24.5,87,89,83,23.3,23.5,22.3,1002.8,1003.2,1002.7,2.1,339,9.5,458.2,1.4
A410,17/11/2016,16,26.4,27.0,25.2,83,90,81,23.4,24.3,23.1,1001.7,1002.8,1001.7,2.7,60,6.2,969.0,0.0
A410,17/11/2016,17,28.0,28.1,26.3,77,84,75,23.6,24.7,23.0,1000.5,1001.7,1000.5,3.5,60,6.3,1327.,0.0
A410,17/11/2016,18,27.6,28.9,27.6,75,78,71,22.9,23.7,22.8,1000.1,1000.5,999.9,4.2,55,7.9,1515.,0.0
A410,17/11/2016,02,24.7,24.7,24.5,92,93,92,23.2,23.3,23.1,1002.5,1002.9,1002.5,1.4,34,4.5,-0.19,0.0
A410,17/11/2016,23,24.6,24.9,24.6,90,90,89,22.9,22.9,22.9,1001.3,1001.3,1000.8,1.8,48,4.6,-2.39,0.0
A410,17/11/2016,19,27.5,28.2,27.5,74,76,73,22.5,23.4,22.5,1000.1,1000.3,999.9,4.7,62,7.9,1018.,0.0
A410,17/11/2016,20,26.2,27.5,26.2,80,80,74,22.4,22.8,22.3,1000.4,1000.5,1000.1,4.1,52,7.8,517.1,0.2
A410,17/11/2016,03,24.2,24.7,24.1,90,92,90,22.5,23.2,22.4,1001.9,1002.5,1001.9,2.5,16,6.9,-0.82,0.0
A410,17/11/2016,21,25.2,26.2,25.2,86,86,80,22.7,22.7,22.4,1000.6,1000.8,1000.4,2.3,42,6.5,47.70,0.0
A410,17/11/2016,04,24.1,24.1,24.0,92,92,90,22.7,22.8,22.5,1001.3,1002.0,1001.3,0.5,21,4.4,-0.39,0.0
A410,18/11/2016,00,24.3,24.7,24.3,92,92,90,22.9,23.0,22.9,1001.9,1001.9,1001.3,0.3,10,3.6,-1.56,0.0
A410,18/11/2016,10,25.7,25.8,24.1,87,93,87,23.4,23.9,22.8,1000.8,1000.8,1000.5,2.8,348,4.8,571.3,0.0
A410,18/11/2016,11,26.0,26.1,25.3,80,88,79,22.2,23.3,22.2,1001.3,1001.3,1000.7,3.9,352,8.1,661.0,0.0
A410,18/11/2016,01,24.5,24.6,24.3,92,92,92,23.1,23.2,22.9,1002.4,1002.4,1001.9,0.7,341,2.9,0.485,0.0
A410,18/11/2016,12,28.3,28.5,26.0,71,82,70,22.6,23.3,22.0,1001.4,1001.6,1001.3,3.1,13,7.3,1467.,0.0
A410,18/11/2016,13,28.4,29.4,27.7,70,74,66,22.4,23.4,21.5,1001.0,1001.4,1000.9,3.8,48,7.7,1807.,0.0
A410,18/11/2016,14,29.0,29.2,27.7,66,73,65,22.1,22.9,21.6,1000.6,1001.0,1000.5,3.3,13,7.1,1384.,0.0
A410,18/11/2016,15,28.8,29.2,28.3,64,69,63,21.3,22.6,20.8,1000.0,1000.6,1000.0,2.6,21,7.0,1564.,0.0
A410,18/11/2016,16,27.9,29.0,27.7,75,75,63,23.0,23.1,21.1,999.0,1000.0,999.0,3.5,40,6.9,1334.,0.0
A410,18/11/2016,17,28.5,28.5,27.8,69,75,68,22.2,23.1,21.5,997.8,999.0,997.8,4.6,44,8.6,1327.,0.0
A410,18/11/2016,02,24.5,24.6,24.5,91,92,91,23.0,23.1,23.0,1002.1,1002.5,1002.1,1.2,21,2.0,0.478,0.0
A410,18/11/2016,18,28.5,28.7,27.8,67,71,67,21.8,22.6,21.8,997.3,997.8,997.3,3.8,50,8.6,1676.,0.0
A410,18/11/2016,19,27.6,28.5,27.6,72,72,67,22.0,22.2,21.3,997.3,997.3,997.2,3.3,67,7.0,677.2,0.0
A410,18/11/2016,20,26.5,27.9,26.5,77,78,71,22.2,22.5,22.0,997.1,997.3,997.0,3.1,61,6.9,583.4,0.0
A410,18/11/2016,23,24.3,24.6,24.3,90,90,87,22.5,22.5,22.3,999.5,999.5,998.9,1.7,51,3.2,-3.06,0.0
A410,18/11/2016,21,25.2,26.5,25.2,83,83,77,22.1,22.2,21.8,997.8,997.8,997.1,2.8,55,6.0,66.04,0.0
A410,18/11/2016,03,24.3,24.6,24.3,92,92,90,22.9,23.0,22.8,1001.4,1002.1,1001.4,0.6,33,2.7,-0.10,0.0
A410,18/11/2016,04,24.1,24.3,24.1,93,93,92,22.9,22.9,22.8,1000.5,1001.4,1000.5,0.9,28,2.2,-1.83,0.0
A410,18/11/2016,05,23.7,24.1,23.7,93,93,92,22.5,22.8,22.5,999.9,1000.5,999.9,0.9,18,2.0,-1.84,0.0
A410,18/11/2016,22,24.6,25.2,24.6,87,87,83,22.3,22.4,22.1,998.9,998.9,997.8,1.6,42,4.6,-2.74,0.0
A410,18/11/2016,06,23.7,23.8,23.6,93,94,93,22.6,22.6,22.5,999.9,1000.0,999.9,1.1,351,2.5,-2.09,0.0
A410,18/11/2016,07,23.7,23.8,23.6,92,93,92,22.4,22.6,22.4,999.9,1000.0,999.8,1.5,336,2.7,-1.59,0.0
A410,18/11/2016,08,23.7,23.8,23.6,93,93,92,22.4,22.5,22.3,1000.1,1000.1,999.8,1.4,354,2.9,-0.91,0.0
A410,18/11/2016,09,24.1,24.2,23.7,92,93,92,22.8,22.8,22.4,1000.5,1000.5,1000.1,1.6,344,2.5,61.89,0.0
A410,19/11/2016,02,23.6,24.1,23.6,93,93,92,22.4,22.7,22.4,1000.2,1000.3,999.9,1.1,269,2.8,-2.62,0.0
A410,19/11/2016,23,21.4,21.6,21.4,81,85,81,18.1,18.7,18.1,1003.7,1003.7,1003.0,3.1,185,7.9,0.599,0.0
