codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A001,16/11/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,16/11/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A001,17/11/2016,09,18.8,18.9,18.0,90,93,90,17.2,17.5,16.7,884.2,884.2,883.8,1.9,352,3.6,13.36,0.0
A001,17/11/2016,10,20.2,20.2,18.7,84,91,84,17.4,17.8,17.1,884.6,884.6,884.2,2.4,314,4.0,417.0,0.0
A001,17/11/2016,12,24.0,24.2,22.1,67,77,65,17.5,18.2,17.0,885.3,885.4,885.0,4.0,328,7.7,2144.,0.0
A001,17/11/2016,01,20.7,21.2,20.7,76,76,73,16.4,16.5,16.1,883.8,883.8,883.1,1.6,316,4.2,-3.54,0.0
A001,17/11/2016,11,22.1,22.3,20.2,77,84,75,17.8,18.1,17.3,885.0,885.0,884.6,3.6,329,7.2,1363.,0.0
A001,17/11/2016,13,24.9,25.2,23.3,60,68,60,16.7,18.0,16.5,885.6,885.6,885.3,2.3,326,7.7,2195.,0.0
A001,17/11/2016,14,25.2,25.6,24.7,59,63,57,16.7,17.6,16.2,885.5,885.6,885.5,2.0,280,5.6,1755.,0.0
A001,17/11/2016,23,20.7,20.8,20.4,90,90,85,18.9,19.0,18.0,884.0,884.0,883.2,0.6,339,1.7,-3.23,0.2
A001,17/11/2016,15,25.1,25.2,23.0,64,70,59,17.7,18.0,16.4,885.0,885.6,885.0,3.0,242,7.8,1498.,0.0
A001,17/11/2016,16,24.9,26.4,24.4,62,66,58,17.2,18.2,17.2,884.2,885.0,884.2,2.4,240,5.9,1919.,0.0
A001,17/11/2016,17,25.5,25.7,24.6,54,64,51,15.6,17.9,14.4,883.0,884.2,883.0,1.1,304,4.8,1032.,0.0
A001,17/11/2016,02,20.4,20.8,20.3,79,79,76,16.7,16.8,16.4,884.3,884.4,883.8,1.7,306,3.3,-3.15,0.0
A001,17/11/2016,18,28.1,28.3,25.5,48,55,47,16.2,17.0,14.4,882.2,883.0,882.2,2.3,279,4.0,2311.,0.0
A001,17/11/2016,19,24.4,28.3,24.4,61,61,47,16.3,16.9,15.1,881.9,882.2,881.5,5.9,7,9.6,855.3,0.0
A001,17/11/2016,20,22.8,24.5,22.4,72,74,60,17.5,17.8,15.8,882.1,882.3,881.7,1.5,149,9.6,364.8,0.0
A001,17/11/2016,21,22.9,23.2,22.7,69,73,67,16.9,17.8,16.6,882.6,882.6,882.1,1.8,312,4.3,142.0,0.0
A001,17/11/2016,03,20.5,20.7,20.4,81,81,79,17.0,17.2,16.7,883.7,884.3,883.7,1.5,315,3.8,-3.04,0.0
A001,17/11/2016,04,20.3,20.5,20.2,84,84,81,17.6,17.6,17.0,883.0,883.8,883.0,3.1,343,5.9,-3.54,0.0
A001,17/11/2016,05,19.2,20.3,19.1,89,89,84,17.3,17.6,17.2,882.8,883.0,882.7,1.3,283,5.9,-3.53,0.0
A001,17/11/2016,22,20.5,22.9,20.4,89,89,69,18.5,18.5,16.8,883.3,883.3,882.6,1.2,190,3.5,-2.77,1.8
A001,17/11/2016,06,19.1,19.3,18.8,89,89,88,17.2,17.4,16.9,882.9,882.9,882.7,1.9,327,3.0,-3.54,0.0
A001,17/11/2016,07,18.7,19.1,18.7,91,91,89,17.1,17.3,17.1,883.4,883.4,882.8,1.8,322,3.5,-3.54,0.0
A001,17/11/2016,08,18.1,18.7,18.1,92,92,91,16.7,17.2,16.7,883.8,883.8,883.4,1.1,343,3.0,-3.52,0.0
A001,17/11/2016,00,21.0,21.5,21.0,74,74,70,16.1,16.3,15.8,883.1,883.1,882.2,1.7,314,5.1,-3.54,0.0
A001,18/11/2016,03,18.7,19.3,18.7,92,92,90,17.4,17.6,17.3,884.5,885.3,884.5,0.6,253,1.3,-3.53,0.0
A001,18/11/2016,04,19.2,19.2,18.6,93,93,92,18.0,18.0,17.3,883.9,884.5,883.9,0.6,293,0.9,-2.99,0.0
A001,18/11/2016,05,19.9,19.9,19.2,88,93,88,17.9,18.4,17.8,883.3,883.9,883.3,1.0,114,2.2,-2.79,0.0
A001,18/11/2016,06,19.6,20.0,19.6,91,91,87,18.1,18.2,17.8,883.0,883.3,882.9,0.7,34,2.2,-3.04,0.0
A001,18/11/2016,07,19.4,19.6,19.4,92,93,91,18.2,18.3,18.0,882.9,883.0,882.8,0.8,28,1.9,-3.07,0.0
A001,18/11/2016,08,18.5,19.4,18.3,93,93,92,17.4,18.2,17.2,883.4,883.4,882.9,0.6,237,1.9,-3.50,0.0
A001,18/11/2016,09,19.3,19.3,18.4,94,94,93,18.2,18.2,17.3,883.6,883.6,883.4,0.9,125,1.6,10.50,0.0
A001,18/11/2016,00,20.0,21.2,19.9,88,90,83,18.0,18.8,17.7,884.8,884.8,884.0,0.6,183,5.5,-2.24,0.2
A001,18/11/2016,10,20.3,20.4,19.3,90,94,90,18.7,18.9,18.2,884.0,884.0,883.5,0.5,345,1.6,313.1,0.0
A001,18/11/2016,11,22.4,22.5,20.3,80,90,76,18.8,18.8,18.0,884.2,884.2,884.0,1.2,288,2.0,1065.,0.0
A001,18/11/2016,12,21.9,23.1,21.1,82,87,77,18.6,19.5,18.0,885.0,885.0,884.2,2.6,213,5.4,968.4,0.0
A001,18/11/2016,13,22.6,24.3,21.1,74,86,73,17.8,19.9,17.8,885.2,885.3,885.0,3.1,269,6.2,1567.,0.0
A001,18/11/2016,14,23.9,24.8,22.3,68,77,64,17.6,18.9,17.2,884.9,885.2,884.9,3.2,296,6.4,2610.,0.0
A001,18/11/2016,15,25.4,26.3,23.7,64,71,60,18.0,19.0,17.3,884.1,884.9,884.1,3.0,287,7.3,3192.,0.0
A001,18/11/2016,16,26.6,26.7,25.2,59,66,58,18.0,19.2,17.1,883.3,884.1,883.3,3.2,291,7.1,3487.,0.0
A001,18/11/2016,17,25.7,27.3,25.7,60,61,53,17.3,18.3,16.5,882.7,883.3,882.7,3.8,299,8.0,2997.,0.0
A001,18/11/2016,18,26.3,27.5,25.5,57,62,52,17.2,18.6,16.3,882.1,882.7,882.0,3.9,276,8.5,2389.,0.0
A001,18/11/2016,19,26.4,27.4,25.9,55,61,53,16.5,18.5,16.3,881.6,882.1,881.5,4.3,297,7.7,1909.,0.0
A001,18/11/2016,20,25.1,26.7,25.1,61,61,55,17.0,17.6,16.2,881.7,881.8,881.5,3.5,312,7.8,792.1,0.0
A001,18/11/2016,22,23.2,24.4,23.2,68,68,63,17.0,17.0,16.7,882.7,882.7,881.9,2.7,302,6.4,22.95,0.0
A001,18/11/2016,21,24.4,25.1,24.3,63,64,61,16.9,17.4,16.9,882.0,882.0,881.7,3.0,301,9.1,326.4,0.0
