codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A225,16/11/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A225,16/11/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A225,16/11/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A225,16/11/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A225,16/11/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A225,16/11/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A225,16/11/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A225,17/11/2016,16,33.9,33.9,32.1,42,47,41,19.0,19.7,18.7,994.5,995.5,994.4,1.8,34,5.9,1514.,////
A225,17/11/2016,17,35.3,35.3,33.3,37,43,37,18.6,19.7,18.3,993.4,994.5,993.4,1.9,28,5.9,2236.,////
A225,17/11/2016,18,35.9,36.3,33.5,34,41,34,17.7,18.9,17.4,992.2,993.4,992.2,1.6,356,5.4,2279.,////
A225,17/11/2016,19,34.9,36.2,34.9,36,37,33,17.7,18.3,17.1,991.5,992.2,991.5,1.7,347,5.3,1737.,////
A225,17/11/2016,12,30.8,30.9,28.7,50,56,50,19.3,19.6,18.8,997.3,997.3,997.2,2.4,49,9.1,2140.,////
A225,17/11/2016,13,31.4,31.9,29.7,48,53,47,19.1,19.9,18.6,997.2,997.4,997.2,1.8,53,7.4,2681.,////
A225,17/11/2016,14,31.4,31.7,30.5,49,51,47,19.4,19.9,18.6,996.6,997.2,996.6,1.3,47,5.2,1670.,////
A225,17/11/2016,15,32.7,32.8,31.1,45,50,44,19.1,19.7,18.8,995.5,996.6,995.5,1.4,61,4.7,1418.,////
A225,18/11/2016,13,29.4,30.1,28.6,56,60,55,19.8,20.7,19.7,997.8,997.9,997.4,1.9,284,5.4,1704.,////
A225,18/11/2016,14,31.3,31.4,29.3,50,57,49,19.5,20.3,19.2,997.1,997.8,997.1,1.6,288,5.3,1998.,////
A225,18/11/2016,15,32.6,32.8,31.0,46,50,44,19.4,20.0,18.3,996.0,997.1,996.0,1.9,313,5.8,2814.,////
A225,18/11/2016,16,31.9,33.1,30.9,51,54,44,20.7,20.7,19.0,995.0,996.0,995.0,1.8,295,6.4,1472.,////
A225,18/11/2016,17,32.3,32.4,30.6,51,56,51,20.9,21.3,20.2,994.3,995.0,994.3,1.8,269,6.4,1687.,////
A225,18/11/2016,18,31.4,32.5,31.0,53,54,51,20.7,21.5,20.4,993.3,994.4,993.3,1.4,263,6.0,1568.,////
A225,19/11/2016,15,31.6,32.2,31.1,57,58,54,22.0,22.1,21.5,995.3,996.3,995.3,1.8,346,5.0,1937.,////
A225,19/11/2016,16,33.0,33.0,31.4,50,57,50,21.2,22.5,21.2,994.1,995.3,994.1,0.5,357,5.4,1991.,////
A225,20/11/2016,14,31.0,31.3,28.8,56,66,56,21.3,22.5,21.1,996.1,996.9,996.1,2.2,28,5.1,2643.,////
A225,20/11/2016,15,32.7,33.4,30.9,50,58,49,20.9,22.4,20.8,995.2,996.1,995.2,1.5,24,5.1,3365.,////
A225,20/11/2016,16,34.0,34.4,32.2,45,53,45,20.4,21.9,20.3,994.1,995.2,994.1,1.1,336,6.1,3338.,////
A225,20/11/2016,17,34.2,35.2,33.2,47,50,43,21.4,22.2,19.9,992.8,994.1,992.8,1.9,270,7.3,2919.,////
A225,21/11/2016,13,28.7,28.7,26.5,67,77,65,21.9,22.9,21.0,998.8,999.1,998.8,1.6,90,3.9,1984.,////
A225,21/11/2016,14,29.5,29.9,28.7,63,68,60,21.7,22.3,21.1,998.6,998.8,998.6,2.7,64,7.2,2785.,////
A225,21/11/2016,15,30.0,31.3,29.4,59,64,56,21.1,22.6,20.7,997.8,998.6,997.8,2.7,70,6.0,3076.,////
A225,21/11/2016,16,30.6,31.2,30.0,56,60,54,20.9,21.8,20.4,996.9,997.8,996.9,2.2,82,5.5,2363.,////
A225,21/11/2016,17,31.5,32.1,30.6,53,57,52,20.9,22.3,20.3,996.0,996.9,996.0,2.1,81,5.5,2855.,////
A225,22/11/2016,15,29.2,29.3,27.8,67,75,66,22.5,23.4,22.0,996.7,997.7,996.7,0.5,329,3.2,1595.,////
A225,22/11/2016,16,31.8,31.8,29.2,54,68,54,21.4,23.2,21.3,995.7,996.7,995.7,0.4,307,2.6,2321.,////
A225,22/11/2016,17,31.9,33.2,31.5,50,55,48,20.2,21.9,19.6,994.3,995.7,994.3,0.1,267,3.0,2482.,////
A225,22/11/2016,18,32.8,34.0,31.8,49,54,45,20.6,22.0,20.0,993.5,994.3,993.5,0.7,57,4.0,2320.,////
