codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A203,16/11/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,16/11/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A203,17/11/2016,23,26.6,27.0,26.6,80,80,79,22.9,23.1,22.9,1001.8,1001.8,1001.3,1.7,69,7.5,-3.54,0.0
A203,17/11/2016,11,27.9,27.9,26.8,71,79,71,22.1,22.8,22.0,1004.4,1004.4,1003.2,3.7,85,8.6,699.4,0.0
A203,17/11/2016,12,30.0,30.1,27.9,62,71,62,21.9,22.8,21.7,1004.4,1004.6,1004.4,3.7,86,9.6,1771.,0.0
A203,17/11/2016,13,30.6,30.8,29.7,60,64,58,21.9,22.6,21.6,1004.6,1004.7,1004.3,3.8,81,9.8,2113.,0.0
A203,17/11/2016,02,25.9,26.1,25.9,84,84,83,23.0,23.2,23.0,1003.7,1003.9,1003.7,1.3,76,5.2,-3.54,0.0
A203,17/11/2016,14,32.1,32.4,30.6,54,61,51,21.7,22.2,20.5,1004.7,1004.7,1004.5,3.7,91,10.0,2812.,0.0
A203,17/11/2016,15,31.6,32.7,31.4,56,58,54,21.7,22.4,21.6,1004.3,1004.7,1004.3,3.8,78,9.3,2650.,0.0
A203,17/11/2016,16,32.6,33.0,31.6,51,56,51,21.3,22.2,21.2,1003.3,1004.3,1003.3,4.0,72,9.3,3214.,0.0
A203,17/11/2016,17,33.1,33.1,32.3,49,52,46,20.9,21.4,19.7,1002.1,1003.3,1002.1,3.6,87,9.9,2934.,0.0
A203,17/11/2016,18,32.5,33.1,32.2,49,51,45,20.3,21.1,19.0,1001.4,1002.2,1001.4,3.9,76,9.8,2494.,0.0
A203,17/11/2016,03,26.0,26.0,25.9,85,85,84,23.3,23.3,23.1,1003.3,1003.7,1003.3,1.7,76,4.8,-3.54,0.0
A203,17/11/2016,19,31.4,32.5,31.4,54,55,48,21.1,21.3,20.2,1001.0,1001.4,1000.9,4.2,71,8.7,1835.,0.0
A203,17/11/2016,20,29.9,31.4,29.9,64,65,54,22.4,22.7,20.9,1001.0,1001.1,1000.9,3.4,71,8.0,1089.,0.0
A203,17/11/2016,21,28.0,29.9,28.0,75,75,64,23.2,23.2,22.3,1001.5,1001.5,1001.0,2.7,72,8.0,233.1,0.0
A203,17/11/2016,22,27.0,28.0,27.0,79,79,75,23.1,23.4,23.0,1001.3,1001.5,1001.3,2.6,72,6.0,-2.03,0.0
A203,17/11/2016,04,26.1,26.1,25.9,83,85,83,23.0,23.3,23.0,1003.0,1003.3,1002.9,1.9,83,6.4,-3.54,0.0
A203,17/11/2016,05,26.2,26.2,26.0,83,84,83,23.2,23.2,23.0,1002.3,1003.0,1002.3,1.6,87,5.6,-3.46,0.0
A203,17/11/2016,06,26.0,26.2,26.0,83,83,82,22.9,23.2,22.9,1002.2,1002.4,1002.1,2.0,86,5.8,-3.52,0.0
A203,17/11/2016,07,26.2,26.3,26.0,81,83,81,22.7,22.9,22.7,1002.1,1002.3,1002.1,2.3,82,7.0,-3.48,0.0
