codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A702,16/11/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,16/11/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A702,17/11/2016,22,28.1,30.1,28.1,68,68,66,21.6,23.2,21.6,948.7,948.8,948.4,1.9,360,4.5,124.2,0.0
A702,17/11/2016,08,23.2,23.6,23.1,80,80,79,19.5,19.9,19.4,947.7,947.9,947.7,2.7,121,3.9,-3.54,0.0
A702,17/11/2016,09,23.0,23.3,22.9,79,80,79,19.1,19.6,19.1,948.1,948.1,947.7,3.0,124,4.3,-3.36,0.0
A702,17/11/2016,10,23.9,23.9,22.9,79,79,79,20.1,20.1,19.1,948.8,948.8,948.1,2.8,129,4.7,183.1,0.0
A702,17/11/2016,11,25.0,25.0,23.9,78,79,78,20.9,20.9,20.0,949.5,949.5,948.7,3.1,94,5.7,941.7,0.0
A702,17/11/2016,12,27.0,27.2,25.0,76,78,75,22.3,22.5,20.9,950.5,950.5,949.5,1.3,7,4.8,1730.,0.0
A702,17/11/2016,00,25.1,26.2,25.1,74,75,74,20.2,21.4,20.2,948.5,948.5,946.5,6.1,3,11.0,-3.48,0.0
A702,17/11/2016,13,27.8,27.9,27.0,74,76,74,22.7,22.9,22.3,950.9,950.9,950.5,1.0,4,4.1,2150.,0.0
A702,17/11/2016,14,28.9,28.9,27.8,73,74,73,23.6,23.7,22.8,951.1,951.1,950.9,1.9,9,4.1,2863.,0.0
A702,17/11/2016,15,29.5,30.2,28.8,73,73,72,24.1,24.8,23.5,951.0,951.2,951.0,2.0,2,5.5,2881.,0.0
A702,17/11/2016,16,29.4,29.6,29.1,73,74,73,24.0,24.3,23.8,950.8,951.1,950.8,2.8,360,6.3,1501.,0.0
A702,17/11/2016,17,30.1,30.2,29.3,71,73,71,24.4,24.5,23.9,950.4,950.8,950.4,2.6,360,6.3,1359.,0.0
