codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A901,16/11/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,16/11/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A901,17/11/2016,09,21.9,22.2,21.9,93,93,92,20.7,20.9,20.7,981.0,981.0,980.5,1.4,91,3.7,-1.27,0.0
A901,17/11/2016,10,22.1,22.1,21.8,93,93,93,20.9,20.9,20.6,982.0,982.0,981.0,0.5,157,3.2,20.62,0.0
A901,17/11/2016,11,22.9,22.9,22.1,91,93,91,21.4,21.4,20.8,982.7,982.7,982.0,1.1,84,2.1,85.30,0.0
A901,17/11/2016,01,22.1,22.4,22.1,92,92,92,20.8,21.1,20.8,980.6,981.1,980.6,2.5,89,5.3,-0.19,0.2
A901,17/11/2016,12,25.2,25.2,22.9,80,91,80,21.5,22.1,20.9,983.1,983.2,982.7,1.0,27,3.0,166.9,0.0
A901,17/11/2016,13,26.5,26.5,25.2,73,80,73,21.3,22.0,20.9,983.4,983.4,983.0,1.7,329,4.4,229.6,0.0
A901,17/11/2016,14,28.7,29.0,26.4,63,75,62,21.1,22.4,20.7,983.4,983.6,983.4,1.5,294,4.5,342.0,0.0
A901,17/11/2016,23,29.3,30.2,29.2,59,59,52,20.4,20.4,19.3,981.1,981.1,980.2,2.2,179,5.5,-1.56,0.0
A901,17/11/2016,15,29.5,29.9,28.2,60,67,60,21.1,22.3,20.9,983.1,983.5,983.1,1.6,305,4.0,1877.,0.0
A901,17/11/2016,16,30.5,30.7,29.3,55,62,54,20.5,22.1,20.1,982.5,983.1,982.5,1.7,340,4.3,3400.,0.0
A901,17/11/2016,17,32.5,32.5,30.3,47,57,44,19.6,21.7,17.9,981.2,982.5,981.2,1.3,264,4.2,3621.,0.0
A901,17/11/2016,02,21.9,22.1,21.9,93,93,92,20.7,20.9,20.6,980.6,980.9,980.6,2.3,85,6.2,0.257,0.0
A901,17/11/2016,18,31.0,33.2,31.0,48,52,42,18.7,21.2,18.0,980.2,981.2,980.2,1.7,158,3.9,2860.,0.0
A901,17/11/2016,19,31.4,32.5,31.0,47,52,44,18.6,20.8,17.8,979.4,980.2,979.4,2.8,153,6.6,1489.,0.0
A901,17/11/2016,20,31.5,32.4,31.4,48,50,45,19.1,20.0,18.2,979.1,979.4,979.1,2.1,179,6.6,662.9,0.0
A901,17/11/2016,21,31.3,31.9,31.1,49,50,47,19.2,20.1,18.8,979.5,979.5,979.1,2.8,163,6.4,828.5,0.0
A901,17/11/2016,03,21.8,22.0,21.7,92,93,92,20.4,20.7,20.4,980.5,980.9,980.5,1.3,41,5.0,0.577,0.0
A901,17/11/2016,04,22.0,22.1,21.8,91,92,91,20.5,20.6,20.3,979.8,980.5,979.8,1.3,296,4.0,0.163,0.0
A901,17/11/2016,05,22.1,22.1,22.0,92,92,91,20.7,20.7,20.5,979.4,979.8,979.4,2.4,293,4.3,-0.77,0.0
A901,17/11/2016,22,30.2,31.3,30.2,52,52,49,19.2,19.9,18.8,980.2,980.2,979.5,2.8,169,6.4,87.02,0.0
A901,17/11/2016,06,22.1,22.2,22.0,92,92,92,20.8,20.9,20.7,980.0,980.0,979.4,1.3,271,4.2,-0.67,0.0
A901,17/11/2016,07,22.0,22.1,21.9,92,93,92,20.7,20.8,20.6,980.2,980.2,979.8,1.3,125,2.8,-1.00,0.0
A901,17/11/2016,08,22.1,22.2,22.0,92,93,92,20.8,21.0,20.8,980.5,980.5,980.2,1.2,125,3.3,-0.30,0.0
A901,17/11/2016,00,22.2,22.5,22.1,92,92,91,20.8,21.1,20.7,981.0,981.1,981.0,2.4,102,4.4,-0.12,0.8
A901,18/11/2016,03,27.3,27.5,27.3,69,69,67,21.1,21.1,20.9,983.1,983.1,982.6,2.6,166,5.9,-0.82,0.0
A901,18/11/2016,04,26.7,27.3,26.7,72,72,69,21.3,21.3,21.1,982.9,983.2,982.9,1.6,133,5.1,-1.03,0.0
A901,18/11/2016,05,26.5,26.8,26.5,70,73,69,20.6,21.4,20.6,982.5,982.9,982.5,2.0,161,5.0,-1.49,0.0
A901,18/11/2016,06,26.1,26.5,26.1,74,74,70,21.1,21.2,20.6,981.9,982.5,981.9,1.6,151,4.1,-1.95,0.0
A901,18/11/2016,07,25.7,26.1,25.7,77,77,74,21.4,21.4,21.2,981.8,981.9,981.7,2.3,168,4.5,-1.49,0.0
A901,18/11/2016,08,25.4,26.0,25.4,77,77,75,21.1,21.5,21.0,982.2,982.3,981.7,3.4,180,7.3,-1.04,0.0
A901,18/11/2016,09,24.8,25.4,24.8,77,77,73,20.4,21.1,20.0,983.1,983.1,982.2,3.1,179,8.5,-1.20,0.0
A901,18/11/2016,00,28.3,29.3,28.3,62,63,59,20.4,20.6,20.3,981.8,981.8,981.1,2.4,179,6.4,-1.70,0.0
A901,18/11/2016,10,24.1,24.8,24.1,77,79,77,19.9,20.5,19.9,984.0,984.0,983.1,3.6,175,8.3,19.07,0.0
A901,18/11/2016,11,23.9,24.1,23.8,76,77,75,19.3,19.9,19.2,984.8,984.8,984.0,5.0,172,10.9,92.05,0.0
A901,18/11/2016,12,24.1,24.3,23.8,76,76,74,19.7,19.7,19.1,985.3,985.3,984.8,3.6,173,10.6,196.4,0.0
A901,18/11/2016,13,23.8,24.2,23.8,75,77,75,19.2,19.7,19.2,986.0,986.0,985.3,2.8,180,7.8,201.0,0.0
A901,18/11/2016,14,24.0,24.3,23.6,74,77,74,19.1,19.5,19.0,986.1,986.2,986.0,2.9,189,7.9,259.4,0.0
A901,18/11/2016,15,23.5,24.2,23.4,75,75,74,18.7,19.3,18.6,985.9,986.1,985.9,3.1,178,7.7,300.6,0.0
A901,18/11/2016,16,23.0,23.5,22.7,75,76,74,18.4,18.8,18.2,985.5,985.9,985.5,3.3,185,7.7,210.1,0.0
A901,18/11/2016,17,24.2,24.4,22.9,70,76,70,18.5,19.1,18.2,984.8,985.5,984.8,3.3,173,9.0,473.9,0.0
A901,18/11/2016,18,24.9,25.1,24.1,67,70,67,18.4,19.1,18.2,984.1,984.8,984.1,3.0,178,8.5,526.4,0.0
