codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A201,16/11/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,16/11/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A201,17/11/2016,01,26.5,27.1,26.5,78,78,75,22.4,22.4,22.2,1006.1,1006.2,1005.7,0.2,62,4.5,-3.54,0.0
A201,17/11/2016,10,25.7,25.7,24.0,90,91,90,24.0,24.0,22.5,1006.8,1006.8,1006.1,0.0,97,0.3,287.3,0.0
A201,17/11/2016,11,27.3,27.3,25.7,82,90,82,23.9,24.2,23.7,1007.7,1007.7,1006.8,0.2,99,1.9,684.8,0.0
A201,17/11/2016,12,29.1,29.2,27.3,69,82,69,22.9,24.2,22.7,1007.8,1007.8,1007.5,1.2,80,4.9,1156.,0.0
A201,17/11/2016,13,31.5,31.5,28.8,59,72,58,22.4,24.0,21.9,1007.8,1007.9,1007.7,1.3,92,5.3,2456.,0.0
A201,17/11/2016,14,31.7,32.6,31.4,56,59,53,21.7,22.8,21.1,1007.5,1007.8,1007.5,1.1,66,6.2,2431.,0.0
A201,17/11/2016,15,32.8,33.7,31.5,49,56,49,20.6,22.7,20.4,1007.0,1007.5,1006.9,1.5,92,4.7,1750.,0.0
A201,17/11/2016,16,34.2,34.2,32.2,47,53,47,21.3,22.2,20.0,1005.6,1007.0,1005.6,1.7,80,6.6,2164.,0.0
A201,17/11/2016,17,32.5,34.6,32.3,59,60,45,23.4,24.2,20.5,1004.5,1005.6,1004.5,2.0,279,5.2,2072.,0.0
A201,17/11/2016,02,26.2,26.5,26.2,81,81,78,22.7,22.7,22.4,1006.1,1006.1,1006.0,0.3,81,4.6,-3.54,0.0
A201,17/11/2016,18,32.4,33.6,31.6,64,64,57,24.6,24.7,22.9,1003.7,1004.5,1003.7,2.8,316,8.5,2230.,0.0
A201,17/11/2016,19,32.0,32.8,30.9,62,65,60,23.9,24.6,23.3,1003.4,1003.8,1003.4,2.6,336,8.5,1683.,0.0
A201,17/11/2016,20,30.4,32.1,30.3,69,70,62,24.1,24.4,23.5,1003.2,1003.4,1003.1,2.1,350,8.1,744.9,0.0
A201,17/11/2016,23,28.6,29.2,28.5,69,71,69,22.5,23.0,22.4,1005.0,1005.0,1004.1,1.3,31,5.4,-3.54,0.0
A201,17/11/2016,21,29.7,30.3,29.7,71,71,69,23.8,24.2,23.8,1003.2,1003.3,1003.1,1.9,350,6.3,99.08,0.0
A201,17/11/2016,03,25.7,26.2,25.7,83,83,81,22.7,22.7,22.6,1005.8,1006.2,1005.8,0.2,77,3.5,-3.54,0.0
A201,17/11/2016,04,25.3,25.7,25.3,85,85,83,22.6,22.7,22.6,1005.3,1005.8,1005.3,0.1,59,3.4,-3.54,0.0
A201,17/11/2016,05,25.0,25.3,25.0,87,87,85,22.7,22.7,22.6,1005.5,1005.5,1005.2,0.2,36,2.6,-3.54,0.0
A201,17/11/2016,06,24.7,25.0,24.7,88,88,87,22.6,22.7,22.5,1005.6,1005.6,1005.4,0.0,53,2.2,-3.54,0.0
A201,17/11/2016,22,29.2,29.7,29.2,69,71,68,23.0,23.9,23.0,1004.2,1004.2,1003.2,1.8,3,5.4,-1.31,0.0
A201,17/11/2016,07,24.6,24.7,24.5,89,89,88,22.7,22.7,22.6,1005.7,1005.8,1005.5,0.0,34,1.6,-3.54,0.0
A201,17/11/2016,08,24.0,24.6,24.0,90,90,89,22.4,22.7,22.3,1006.0,1006.0,1005.6,0.0,114,1.2,-3.54,0.0
A201,17/11/2016,00,27.1,27.9,27.1,75,75,72,22.2,22.4,22.2,1005.8,1005.8,1005.1,0.3,80,4.1,-3.54,0.0
A201,17/11/2016,09,24.0,24.1,23.9,91,91,90,22.5,22.5,22.3,1006.1,1006.2,1006.0,0.0,83,1.5,-0.88,0.0
A201,18/11/2016,23,28.5,28.9,28.4,69,71,68,22.3,22.5,22.3,1004.7,1004.7,1003.9,1.1,58,4.9,-3.54,0.0
A201,18/11/2016,03,26.2,26.7,26.2,82,82,79,22.8,22.9,22.8,1006.2,1006.7,1006.2,0.3,59,4.2,-3.54,0.0
A201,18/11/2016,22,28.9,30.0,28.9,68,68,62,22.5,22.5,22.0,1003.9,1003.9,1003.4,1.2,23,5.3,-2.51,0.0
A201,18/11/2016,04,25.9,26.2,25.9,84,84,82,23.0,23.0,22.8,1005.6,1006.2,1005.6,0.5,41,3.5,-3.54,0.0
A201,18/11/2016,05,25.5,25.9,25.5,86,86,84,22.9,23.0,22.9,1005.3,1005.6,1005.2,0.3,79,3.5,-3.54,0.0
A201,18/11/2016,06,25.3,25.6,25.3,87,87,86,22.9,23.0,22.9,1005.3,1005.3,1005.2,0.5,97,3.0,-3.54,0.0
A201,18/11/2016,07,25.0,25.3,24.9,88,88,87,23.0,23.0,22.8,1005.6,1005.6,1005.3,0.3,57,2.1,-3.54,0.0
A201,18/11/2016,08,24.8,25.0,24.8,89,89,88,22.9,23.0,22.8,1006.3,1006.3,1005.6,0.3,3,2.1,-3.54,0.0
A201,18/11/2016,09,24.5,24.9,24.5,90,90,89,22.7,23.0,22.7,1006.6,1006.6,1006.2,0.0,15,1.6,-0.26,0.0
