codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A313,17/11/2016,22,24.2,25.4,24.1,73,73,66,19.0,19.0,18.7,949.5,949.5,948.9,5.9,103,12.4,-3.54,0.0
A313,17/11/2016,00,22.6,23.1,22.6,85,85,81,20.0,20.0,19.7,951.4,951.4,951.0,5.0,93,11.3,-3.31,0.0
A313,17/11/2016,09,22.1,22.2,21.6,91,93,91,20.6,20.7,20.3,950.9,950.9,950.4,4.6,102,9.0,210.3,0.0
A313,17/11/2016,10,23.5,23.6,22.1,82,91,82,20.2,20.8,20.1,951.4,951.5,950.9,4.6,92,9.6,642.4,0.0
A313,17/11/2016,11,24.6,24.7,23.4,73,82,73,19.5,20.2,19.4,951.5,951.5,951.4,5.2,94,10.8,1143.,0.0
A313,17/11/2016,12,26.4,26.7,24.5,63,75,63,18.9,20.2,18.8,951.5,951.8,951.5,4.5,104,9.4,1924.,0.0
A313,17/11/2016,13,29.1,29.3,26.4,49,63,49,17.5,19.3,17.5,951.3,951.6,951.3,5.2,112,9.6,3562.,0.0
A313,17/11/2016,01,22.4,22.6,22.4,87,87,85,20.2,20.2,20.0,951.7,951.8,951.3,4.6,90,9.7,-3.11,0.0
A313,17/11/2016,02,22.1,22.5,22.1,88,88,87,20.1,20.3,20.1,951.3,951.7,951.3,4.5,97,9.5,-3.44,0.0
A313,17/11/2016,14,30.2,30.6,28.4,46,52,45,17.3,17.9,16.7,950.4,951.3,950.4,3.6,96,10.0,3348.,0.0
A313,17/11/2016,15,31.6,31.6,29.6,41,47,41,16.8,17.5,15.9,949.6,950.4,949.6,3.3,100,10.4,2972.,0.0
A313,17/11/2016,23,23.0,24.2,23.0,81,81,73,19.6,19.7,18.9,950.3,950.3,949.5,5.9,102,12.0,-3.54,0.0
A313,17/11/2016,16,31.4,32.4,30.0,40,42,38,16.4,16.9,15.3,948.7,949.7,948.7,4.2,69,10.0,2940.,0.0
A313,17/11/2016,03,21.9,22.1,21.9,89,90,88,20.1,20.3,20.1,950.7,951.3,950.7,4.1,96,9.5,-2.67,0.0
A313,17/11/2016,17,30.9,32.0,30.5,40,41,38,15.7,16.4,15.3,948.0,948.8,948.0,4.7,92,9.8,2754.,0.0
A313,17/11/2016,04,21.8,22.0,21.7,91,91,89,20.3,20.3,20.1,950.1,950.7,950.1,4.2,96,8.9,-2.86,0.0
A313,17/11/2016,05,21.8,21.9,21.7,91,92,91,20.3,20.5,20.2,949.6,950.1,949.6,4.0,97,8.3,-2.57,0.0
A313,17/11/2016,18,30.4,31.6,30.0,43,44,38,16.6,16.8,15.1,948.0,948.1,947.9,5.5,107,10.5,2240.,0.0
A313,17/11/2016,19,29.2,30.9,29.0,48,48,42,17.1,17.3,16.4,948.1,948.1,947.9,5.8,111,10.9,1365.,0.0
A313,17/11/2016,20,27.3,29.3,27.3,56,56,48,17.7,17.7,17.0,948.6,948.7,948.1,6.1,111,11.2,420.3,0.0
A313,17/11/2016,21,25.4,27.3,25.4,66,66,56,18.6,18.6,17.6,948.9,948.9,948.6,6.4,96,11.8,3.433,0.0
A313,17/11/2016,06,21.7,21.8,21.6,92,92,91,20.3,20.3,20.2,949.7,949.7,949.6,4.4,98,8.7,-3.41,0.0
A313,17/11/2016,07,21.6,21.7,21.6,92,92,92,20.3,20.3,20.2,950.0,950.1,949.7,5.2,93,8.7,-3.47,0.0
A313,17/11/2016,08,21.6,21.7,21.5,93,93,92,20.3,20.4,20.2,950.4,950.4,949.9,3.3,91,8.7,5.242,0.0
A313,18/11/2016,14,30.3,30.7,28.4,43,52,43,16.5,18.1,16.1,948.4,949.4,948.4,5.3,106,10.0,3725.,0.0
A313,18/11/2016,15,31.0,31.9,30.1,41,45,41,16.2,17.4,15.7,947.6,948.5,947.6,4.5,105,10.9,3496.,0.0
A313,18/11/2016,16,31.6,32.6,30.5,38,41,38,15.6,16.8,15.3,946.8,947.7,946.8,5.1,110,10.8,3387.,0.0
A313,18/11/2016,02,22.1,22.5,22.0,88,88,86,19.9,20.2,19.8,950.3,950.7,950.3,5.7,100,10.5,-3.54,0.0
A313,18/11/2016,17,31.3,32.2,31.1,38,38,36,15.1,15.7,14.8,946.4,946.9,946.4,5.5,109,11.6,2972.,0.0
A313,18/11/2016,23,23.4,24.5,23.4,77,77,71,19.2,19.2,18.8,949.0,949.0,948.4,6.2,94,11.5,-3.54,0.0
A313,18/11/2016,18,30.6,32.0,30.4,38,40,36,14.5,15.8,14.5,946.0,946.4,945.8,5.2,94,11.6,2153.,0.0
A313,18/11/2016,19,29.8,31.1,29.8,41,41,37,15.2,15.3,14.4,946.2,946.2,945.8,4.7,99,9.7,1293.,0.0
A313,18/11/2016,20,28.1,29.9,28.1,50,50,41,16.7,16.7,15.0,946.9,946.9,946.2,4.9,85,9.3,412.4,0.0
A313,18/11/2016,21,26.2,28.1,26.2,60,60,50,17.8,17.8,16.7,947.4,947.4,946.9,5.6,93,9.5,2.981,0.0
A313,18/11/2016,03,21.8,22.1,21.8,88,88,87,19.8,19.9,19.7,949.9,950.3,949.8,5.8,96,12.3,-3.52,0.0
A313,18/11/2016,04,21.7,21.9,21.7,89,89,88,19.8,19.9,19.6,949.3,949.9,949.3,4.6,101,11.4,-3.40,0.0
A313,18/11/2016,05,21.5,21.8,21.5,91,91,88,19.9,19.9,19.7,948.7,949.3,948.7,5.6,102,9.9,-3.52,0.0
A313,18/11/2016,06,21.5,21.7,21.5,91,91,90,19.9,20.2,19.9,949.0,949.0,948.7,5.5,100,8.9,-3.50,0.0
A313,18/11/2016,07,21.4,21.5,21.3,92,92,91,20.0,20.1,19.8,948.9,949.0,948.8,4.2,98,9.0,-3.29,0.0
A313,18/11/2016,22,24.5,26.2,24.5,71,71,60,18.8,18.8,17.8,948.4,948.4,947.4,5.3,92,9.7,-3.54,0.0
A313,18/11/2016,00,22.8,23.1,22.7,84,84,81,19.8,19.8,19.4,950.8,950.9,950.2,5.4,103,11.3,-3.44,0.0
A313,18/11/2016,08,21.4,21.5,21.3,92,92,92,20.1,20.2,20.0,949.3,949.3,948.9,4.2,103,8.5,2.009,0.0
A313,18/11/2016,09,22.0,22.0,21.4,90,92,90,20.3,20.4,20.1,949.8,949.8,949.3,4.0,105,8.0,273.1,0.0
A313,18/11/2016,10,22.9,23.1,22.0,81,90,81,19.5,20.5,19.5,950.3,950.3,949.8,4.3,91,8.6,638.0,0.0
A313,18/11/2016,11,25.2,25.7,22.9,69,81,69,19.0,20.4,19.0,950.2,950.3,950.1,3.6,98,8.2,1631.,0.0
A313,18/11/2016,12,27.3,27.7,25.0,59,70,58,18.5,19.6,18.1,949.9,950.2,949.9,5.6,95,10.8,2505.,0.0
A313,18/11/2016,01,22.5,22.8,22.5,87,87,84,20.2,20.2,19.8,950.7,950.9,950.7,5.6,109,10.9,-3.46,0.0
A313,18/11/2016,13,28.5,29.0,27.0,53,59,53,17.9,18.7,17.6,949.4,949.9,949.4,4.2,93,10.8,2517.,0.0
A313,19/11/2016,04,21.2,21.3,21.1,92,92,92,19.9,19.9,19.7,948.3,948.6,948.3,5.3,92,9.4,-3.47,0.0
A313,19/11/2016,05,20.9,21.3,20.9,91,92,91,19.4,19.9,19.4,948.5,948.6,948.2,3.0,88,9.5,-3.54,0.0
A313,19/11/2016,06,20.7,21.0,20.7,91,91,91,19.3,19.4,19.2,948.6,948.6,948.3,3.1,89,6.4,-3.54,0.0
A313,19/11/2016,07,20.7,20.7,20.6,92,92,91,19.4,19.4,19.2,948.8,948.8,948.6,3.2,93,6.2,-3.48,0.0
A313,19/11/2016,08,21.0,21.0,20.6,92,92,92,19.6,19.6,19.3,949.6,949.6,948.7,2.6,96,6.1,6.038,0.0
A313,19/11/2016,09,22.4,22.4,20.9,88,92,88,20.2,20.3,19.5,950.1,950.2,949.6,2.2,75,6.5,432.8,0.0
A313,19/11/2016,10,24.6,25.3,22.4,68,88,68,18.3,20.4,18.3,950.7,950.7,950.1,3.1,82,7.4,1464.,0.0
A313,19/11/2016,11,26.1,26.4,24.3,59,68,59,17.4,19.0,17.4,951.1,951.2,950.7,4.5,83,8.7,2068.,0.0
A313,19/11/2016,12,27.6,27.6,26.0,56,60,56,18.2,18.3,17.3,950.7,951.2,950.7,5.3,91,9.9,2313.,0.0
A313,19/11/2016,13,28.0,28.4,27.0,52,56,50,17.1,18.2,16.7,950.6,950.8,950.3,3.8,69,9.9,2464.,0.0
A313,19/11/2016,14,29.7,30.2,27.9,46,52,44,17.0,17.6,16.2,949.7,950.6,949.7,4.5,80,11.2,3234.,0.0
A313,19/11/2016,00,22.4,23.4,22.4,83,83,77,19.4,19.6,19.2,949.2,949.3,948.9,6.7,99,11.7,-3.54,0.0
A313,19/11/2016,15,31.9,32.0,29.3,37,46,37,15.6,17.2,15.6,948.8,949.7,948.8,3.5,69,9.2,2888.,0.0
A313,19/11/2016,16,31.2,32.1,30.2,40,42,36,15.8,16.6,14.9,947.7,948.8,947.7,3.9,96,9.2,2639.,0.0
A313,19/11/2016,17,31.6,31.9,30.7,39,41,38,15.8,16.1,15.2,946.9,947.7,946.9,3.6,97,9.2,2271.,0.0
A313,19/11/2016,22,24.3,25.5,24.3,75,75,68,19.5,19.5,19.0,949.5,949.5,948.4,4.5,75,11.0,-3.54,0.0
A313,19/11/2016,18,30.3,31.6,30.2,44,45,39,16.9,17.1,15.5,946.6,946.9,946.5,5.5,95,10.5,1823.,0.0
A313,19/11/2016,19,29.5,30.6,29.2,49,50,44,17.7,17.8,16.6,947.2,947.2,946.5,4.5,80,9.5,1338.,0.0
A313,19/11/2016,20,27.3,29.5,27.3,57,57,49,18.0,18.1,17.5,947.6,947.6,947.1,5.0,72,9.6,362.5,0.0
A313,19/11/2016,21,25.5,27.3,25.5,68,68,57,19.1,19.1,18.0,948.4,948.4,947.6,5.1,85,10.7,0.569,0.0
A313,19/11/2016,01,21.9,22.4,21.8,87,87,83,19.6,19.8,19.4,949.5,949.5,949.2,6.0,94,11.0,-3.54,0.0
A313,19/11/2016,02,21.4,21.9,21.4,89,89,87,19.6,19.6,19.5,949.1,949.6,949.1,6.3,93,9.8,-3.54,0.0
A313,19/11/2016,03,21.1,21.4,21.1,92,92,89,19.8,19.8,19.6,948.6,949.1,948.6,5.2,92,11.4,-3.54,0.0
A313,19/11/2016,23,23.5,24.3,23.5,84,84,75,20.6,20.6,19.6,950.1,950.1,949.5,4.4,87,8.9,-3.54,0.0
A313,20/11/2016,00,22.8,23.5,22.8,87,87,84,20.6,20.6,20.5,950.6,950.6,950.1,4.3,78,9.9,-3.48,0.0
A313,20/11/2016,22,24.1,25.4,24.1,68,68,63,17.9,17.9,17.5,950.7,950.7,949.7,4.7,89,11.8,-3.54,0.0
A313,20/11/2016,01,22.5,22.8,22.5,85,87,84,19.8,20.5,19.8,950.6,950.7,950.5,4.4,72,9.9,-3.50,0.0
A313,20/11/2016,02,22.4,22.5,22.3,85,86,85,19.7,19.9,19.7,950.3,950.6,950.3,3.3,78,8.3,-3.52,0.0
A313,20/11/2016,23,23.1,24.1,23.1,77,77,68,18.9,18.9,17.9,951.6,951.6,950.7,3.1,80,9.7,-3.54,0.0
A313,20/11/2016,03,22.2,22.5,22.2,85,86,85,19.7,19.9,19.6,949.8,950.3,949.8,2.8,74,8.1,-3.19,0.0
A313,20/11/2016,04,22.2,22.3,22.2,87,87,85,20.0,20.0,19.7,949.7,949.8,949.6,3.5,81,7.5,-3.12,0.0
A313,20/11/2016,05,22.0,22.3,22.0,88,88,87,19.9,20.1,19.9,949.4,949.7,949.4,3.2,75,7.5,-2.82,0.0
A313,20/11/2016,06,22.0,22.0,21.8,89,89,88,20.1,20.1,19.8,949.3,949.4,949.0,2.9,79,8.2,-2.80,0.0
A313,20/11/2016,07,21.7,22.0,21.6,89,89,89,19.8,20.1,19.7,949.4,949.4,949.1,3.6,78,7.7,-2.91,0.0
A313,20/11/2016,08,21.7,21.8,21.6,89,89,88,19.7,19.8,19.6,950.0,950.0,949.3,2.5,85,7.1,0.459,0.0
