codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A666,17/11/2016,22,26.8,26.9,26.7,80,80,79,23.0,23.2,22.9,1004.7,1004.7,1004.4,4.9,123,9.0,-3.53,0.0
A666,17/11/2016,05,25.4,26.2,25.4,85,85,81,22.7,22.9,22.3,1004.8,1005.2,1004.8,2.0,140,6.7,-2.82,0.0
A666,17/11/2016,06,25.9,26.1,25.4,82,86,82,22.7,23.2,22.7,1004.8,1004.8,1004.6,2.9,123,7.5,-3.38,0.0
A666,17/11/2016,07,25.7,26.1,24.9,86,88,81,23.1,23.3,21.9,1005.1,1005.1,1004.7,3.9,125,9.1,-2.52,0.0
A666,17/11/2016,08,25.8,25.9,25.7,83,86,82,22.6,23.1,22.6,1005.4,1005.4,1005.1,3.8,127,6.9,-1.65,0.0
A666,17/11/2016,09,26.3,26.3,25.2,85,87,82,23.6,23.6,22.2,1005.8,1005.8,1005.3,3.8,128,7.7,223.4,0.2
A666,17/11/2016,10,27.3,27.3,26.3,77,85,77,23.0,23.5,22.6,1006.5,1006.5,1005.8,4.8,130,8.2,848.6,0.0
A666,17/11/2016,11,27.9,28.5,27.0,76,79,74,23.2,23.7,22.6,1006.8,1006.9,1006.4,4.0,132,8.4,1495.,0.0
A666,17/11/2016,12,28.7,29.3,27.7,70,76,69,22.8,23.5,22.4,1006.7,1006.8,1006.7,5.2,127,9.8,2614.,0.0
A666,17/11/2016,13,29.0,29.8,28.5,70,72,68,23.0,23.5,22.4,1006.6,1006.7,1006.5,5.4,123,10.8,3340.,0.0
A666,17/11/2016,14,28.7,29.6,28.4,72,72,68,23.0,23.6,22.6,1006.1,1006.7,1006.1,6.5,132,11.6,3254.,0.0
A666,17/11/2016,00,26.5,26.7,26.5,81,82,80,22.9,23.2,22.8,1006.5,1006.6,1006.3,3.0,121,6.8,-3.43,0.0
A666,17/11/2016,01,26.5,26.6,26.5,81,81,80,23.0,23.1,22.8,1006.5,1006.6,1006.3,3.5,128,6.3,-3.27,0.0
