codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A307,17/11/2016,00,24.2,24.2,23.7,77,81,77,20.0,20.5,20.0,967.8,967.9,967.3,3.7,183,6.3,-0.01,0.0
A307,17/11/2016,06,24.3,24.4,23.8,77,79,76,19.9,20.1,19.8,967.4,967.8,967.3,3.1,154,5.6,-3.53,0.0
A307,17/11/2016,07,24.0,24.3,24.0,77,78,77,19.8,20.0,19.8,967.3,967.5,967.3,3.2,134,5.8,-3.54,0.0
A307,17/11/2016,08,24.0,24.0,23.9,77,78,77,19.8,19.8,19.7,967.9,967.9,967.3,3.6,149,7.3,-2.99,0.0
A307,17/11/2016,23,30.0,32.3,29.9,45,48,40,16.9,18.3,16.9,965.7,965.8,965.2,2.8,145,7.8,-3.41,0.0
A307,17/11/2016,09,23.9,24.0,23.8,79,79,77,20.0,20.0,19.8,968.6,968.6,967.9,2.7,126,6.5,10.04,0.0
A307,17/11/2016,13,28.2,28.2,26.6,60,70,60,19.7,21.0,19.7,970.0,970.3,970.0,2.6,112,6.6,1014.,0.0
A307,17/11/2016,11,25.1,25.1,24.2,77,78,76,20.7,20.7,20.1,969.8,969.8,969.3,2.2,131,5.2,361.3,0.0
A307,17/11/2016,12,26.9,26.9,25.1,70,76,70,20.8,20.8,20.1,970.3,970.3,969.7,2.4,107,5.4,794.3,0.0
A307,17/11/2016,10,24.2,24.3,23.9,78,79,78,20.2,20.3,20.0,969.3,969.3,968.6,2.5,120,5.4,185.7,0.0
A307,17/11/2016,14,29.4,29.7,28.2,54,60,54,19.2,20.2,18.9,969.5,970.0,969.5,1.4,43,6.6,1352.,0.0
A307,17/11/2016,01,24.2,24.5,24.2,75,78,75,19.6,20.2,19.5,968.5,968.6,967.8,3.8,174,6.8,0.555,0.0
A307,17/11/2016,15,30.5,30.7,29.1,49,55,48,18.6,19.5,18.3,968.9,969.5,968.9,3.5,70,6.6,1363.,0.0
A307,17/11/2016,18,33.3,34.6,32.7,37,39,35,16.6,17.8,16.0,965.3,966.2,965.3,0.9,262,4.0,1672.,0.0
A307,17/11/2016,17,32.7,33.1,31.3,38,44,37,16.5,17.8,15.9,966.2,967.7,966.2,1.3,116,4.9,2545.,0.0
A307,17/11/2016,16,31.4,31.9,30.5,43,49,41,17.3,18.8,16.9,967.7,968.9,967.7,2.0,17,6.6,2197.,0.0
A307,17/11/2016,19,33.8,35.3,33.3,37,38,32,17.2,17.2,15.7,964.7,965.3,964.7,3.4,109,6.2,1335.,0.0
