codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A301,16/11/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,16/11/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A301,17/11/2016,08,25.7,26.1,25.5,85,85,82,22.9,22.9,22.6,1010.6,1010.6,1010.2,1.2,98,4.9,4.022,0.0
A301,17/11/2016,22,26.6,26.9,26.6,81,81,79,23.0,23.1,22.8,1010.4,1010.4,1009.7,1.5,110,4.8,-3.53,0.0
A301,17/11/2016,00,26.5,26.9,26.5,80,80,79,22.9,23.0,22.8,1011.7,1011.7,1011.3,1.6,74,5.3,-3.54,0.0
A301,17/11/2016,09,26.6,26.6,25.6,81,85,81,23.1,23.2,22.8,1011.2,1011.2,1010.6,1.6,110,4.4,330.0,0.0
A301,17/11/2016,10,26.9,27.1,26.0,83,88,81,23.8,24.6,23.0,1011.6,1011.6,1011.2,1.5,98,5.8,1047.,0.4
A301,17/11/2016,11,28.4,29.3,26.6,71,84,70,22.6,24.2,22.6,1011.9,1012.0,1011.6,2.3,56,6.3,2131.,0.0
A301,17/11/2016,12,28.9,30.0,28.2,69,72,64,22.5,23.4,21.8,1012.2,1012.3,1011.9,2.3,78,6.3,2734.,0.0
A301,17/11/2016,13,30.2,30.8,28.6,66,71,63,23.2,23.9,22.4,1011.9,1012.2,1011.8,2.4,82,6.9,3045.,0.0
A301,17/11/2016,14,30.0,31.7,29.3,65,66,58,22.7,23.6,21.6,1011.4,1011.9,1011.3,2.7,94,7.6,2697.,0.0
A301,17/11/2016,15,31.2,31.8,29.7,61,67,57,22.9,23.4,21.1,1010.6,1011.4,1010.6,3.0,94,7.7,2095.,0.0
A301,17/11/2016,01,26.3,26.6,26.2,82,82,80,22.9,23.2,22.8,1012.0,1012.0,1011.7,0.9,75,5.8,-3.54,0.0
A301,17/11/2016,16,31.2,32.0,29.8,60,64,56,22.5,23.3,21.8,1009.9,1010.7,1009.9,2.6,75,7.3,2003.,0.0
A301,17/11/2016,17,30.4,33.0,29.9,63,63,54,22.5,23.2,20.9,1009.3,1009.9,1009.3,3.1,116,7.5,2336.,0.0
A301,17/11/2016,18,29.9,30.9,29.3,66,66,61,22.9,23.1,21.8,1009.0,1009.4,1008.9,3.1,112,6.7,3826.,0.0
A301,17/11/2016,23,25.6,26.7,25.3,89,91,81,23.7,23.9,23.0,1010.8,1010.8,1010.3,1.6,91,4.5,-3.21,1.6
A301,17/11/2016,02,26.2,26.4,26.2,82,82,81,22.9,23.0,22.7,1011.7,1012.0,1011.7,1.0,90,5.0,-3.54,0.0
A301,17/11/2016,19,28.7,30.4,28.3,70,71,65,22.8,23.4,22.0,1009.2,1009.2,1008.9,2.7,101,7.4,2180.,0.0
A301,17/11/2016,20,27.4,28.9,27.4,76,76,68,22.8,23.1,21.9,1009.3,1009.4,1009.2,2.4,99,6.9,754.8,0.0
A301,17/11/2016,03,25.7,26.3,25.6,85,87,82,23.0,23.3,23.0,1011.0,1011.7,1011.0,1.0,90,4.7,-3.53,0.0
A301,17/11/2016,21,26.8,27.4,26.8,79,79,75,22.8,22.8,22.5,1009.7,1009.7,1009.3,1.7,97,5.6,32.76,0.0
A301,17/11/2016,04,25.8,25.8,25.4,85,86,85,23.1,23.2,22.9,1010.3,1011.0,1010.3,1.2,106,4.0,-3.00,0.0
A301,17/11/2016,05,25.9,26.2,25.3,84,87,83,22.9,23.2,22.8,1009.9,1010.3,1009.9,1.2,101,4.5,-2.76,0.0
A301,17/11/2016,06,25.8,26.1,25.6,84,85,82,22.8,23.1,22.6,1009.9,1010.0,1009.9,1.1,43,4.5,-3.49,0.0
A301,17/11/2016,07,26.0,26.0,25.7,84,85,84,23.0,23.1,22.8,1010.2,1010.2,1009.9,1.0,100,5.1,-3.39,0.0
A301,18/11/2016,02,25.6,25.8,25.2,85,88,85,22.9,23.3,22.9,1010.8,1011.6,1010.8,1.5,103,5.4,-3.50,0.0
A301,18/11/2016,03,25.7,25.7,25.1,84,87,84,22.9,23.0,22.7,1010.3,1010.8,1010.3,1.5,100,4.7,-3.53,0.0
A301,18/11/2016,22,26.5,26.6,26.4,78,78,77,22.3,22.5,22.1,1008.3,1008.3,1007.5,1.5,93,5.3,-3.54,0.0
A301,18/11/2016,04,25.7,25.7,25.4,85,87,84,22.9,23.1,22.8,1009.4,1010.3,1009.4,1.8,102,5.2,-3.47,0.0
A301,18/11/2016,05,25.2,25.7,25.2,84,85,84,22.3,22.9,22.3,1009.0,1009.4,1009.0,1.3,99,5.2,-3.54,0.0
A301,18/11/2016,06,25.4,25.5,25.1,84,86,84,22.5,22.7,22.4,1009.0,1009.1,1008.9,1.1,92,4.2,-3.49,0.0
A301,18/11/2016,07,25.3,25.5,25.1,86,87,84,22.8,22.9,22.4,1009.3,1009.3,1009.0,1.1,104,4.2,-3.45,0.0
A301,18/11/2016,08,25.2,25.4,24.8,87,87,85,22.8,23.0,22.4,1009.3,1009.3,1009.2,1.2,92,4.0,2.572,0.0
A301,18/11/2016,09,26.5,26.5,25.0,81,87,81,23.0,23.1,22.6,1009.8,1009.8,1009.2,2.0,94,4.6,306.1,0.0
A301,18/11/2016,00,25.4,25.6,25.2,87,90,87,23.2,23.7,23.1,1011.2,1011.2,1010.8,1.7,98,5.0,-3.46,0.0
A301,18/11/2016,10,27.4,28.2,26.5,77,81,74,23.0,23.5,22.6,1010.1,1010.3,1009.8,1.5,78,5.9,1600.,0.0
A301,18/11/2016,11,29.4,29.4,27.3,70,78,69,23.3,23.7,22.3,1010.4,1010.4,1010.1,2.7,79,10.1,3083.,0.0
A301,18/11/2016,12,29.8,30.6,28.1,65,73,62,22.6,23.3,22.0,1010.3,1010.5,1010.3,2.5,80,6.2,3178.,0.0
A301,18/11/2016,13,30.3,31.5,29.2,62,67,59,22.3,23.2,21.4,1009.6,1010.3,1009.6,2.2,71,7.2,2173.,0.0
A301,18/11/2016,14,29.8,31.3,29.5,64,65,59,22.2,22.7,21.3,1009.2,1009.6,1009.2,2.3,81,6.7,1970.,0.0
A301,18/11/2016,15,31.5,31.6,29.6,60,65,58,22.8,23.0,21.7,1008.5,1009.2,1008.4,2.7,83,6.2,1869.,0.0
A301,18/11/2016,16,31.2,31.8,29.8,62,64,58,23.0,23.1,21.7,1007.8,1008.5,1007.8,3.1,83,7.2,1211.,0.0
A301,18/11/2016,17,29.9,32.4,29.5,62,66,57,21.8,23.1,21.5,1007.3,1007.8,1007.3,2.4,84,6.8,2335.,0.0
A301,18/11/2016,18,29.6,31.1,29.1,63,66,57,21.8,22.9,21.2,1006.7,1007.3,1006.7,2.1,90,6.6,3353.,0.0
A301,18/11/2016,19,28.2,30.3,28.2,68,69,61,21.6,22.5,21.5,1006.8,1006.8,1006.7,2.2,87,6.2,2194.,0.0
A301,18/11/2016,20,27.2,28.3,27.2,74,74,68,22.2,22.5,21.5,1007.1,1007.1,1006.8,1.9,103,5.7,588.3,0.0
A301,18/11/2016,21,26.6,27.2,26.6,77,77,74,22.2,22.5,22.1,1007.5,1007.5,1007.1,1.7,102,5.3,29.39,0.0
A301,18/11/2016,01,25.6,25.8,25.2,86,88,86,23.1,23.5,23.0,1011.6,1011.6,1011.2,1.6,101,5.1,-3.41,0.0
A301,18/11/2016,23,26.5,26.5,26.4,78,79,77,22.3,22.5,22.1,1009.2,1009.2,1008.3,1.5,87,5.4,-3.54,0.0
A301,19/11/2016,16,31.2,32.4,30.5,56,61,55,21.4,22.8,21.4,1008.1,1009.2,1008.1,3.3,24,8.9,2675.,0.0
A301,19/11/2016,17,30.6,32.2,30.3,60,61,56,21.9,22.8,21.4,1007.7,1008.1,1007.7,2.8,38,7.4,3436.,0.0
A301,19/11/2016,18,29.9,31.5,29.7,62,63,56,21.9,22.5,21.1,1007.4,1007.7,1007.4,2.5,54,6.3,2910.,0.0
A301,19/11/2016,19,29.3,30.0,28.9,68,68,62,22.8,22.8,21.7,1007.1,1007.5,1007.1,2.9,56,7.5,1580.,0.0
A301,19/11/2016,20,27.7,29.5,27.7,73,73,67,22.5,23.0,22.2,1007.8,1007.8,1007.1,2.2,43,7.6,845.2,0.0
A301,19/11/2016,21,26.9,27.7,26.9,75,75,73,22.1,22.5,22.1,1008.6,1008.6,1007.8,2.1,47,6.1,30.81,0.0
A301,19/11/2016,00,26.2,26.5,26.2,81,81,77,22.7,22.7,22.0,1009.6,1009.6,1009.2,1.5,93,4.7,-3.53,0.0
A301,19/11/2016,01,26.1,26.3,25.8,79,82,77,22.2,22.8,21.8,1009.9,1009.9,1009.6,1.3,55,4.0,-3.54,0.0
A301,19/11/2016,23,26.6,26.8,26.3,76,77,76,22.1,22.2,22.0,1010.1,1010.1,1009.4,1.8,40,5.0,-3.54,0.0
A301,19/11/2016,02,25.7,26.1,25.5,79,80,78,21.8,22.2,21.7,1009.7,1010.0,1009.7,1.2,69,3.9,-3.54,0.0
A301,19/11/2016,03,23.8,25.8,23.8,86,86,78,21.3,21.7,21.3,1009.0,1009.7,1009.0,0.4,141,3.6,-3.54,0.0
A301,19/11/2016,04,22.5,23.8,22.5,92,92,86,21.2,21.4,21.2,1008.8,1009.1,1008.8,0.9,291,1.6,-3.54,0.0
A301,19/11/2016,05,22.4,22.5,22.2,95,95,92,21.5,21.5,21.1,1008.6,1008.8,1008.6,0.5,284,1.6,-3.53,0.0
A301,19/11/2016,06,22.8,23.0,22.4,95,95,95,22.0,22.1,21.6,1008.5,1008.7,1008.5,0.4,208,1.1,-3.27,0.0
A301,19/11/2016,22,26.6,27.0,26.6,76,76,75,22.1,22.3,21.9,1009.4,1009.4,1008.6,2.0,27,5.0,-3.54,0.0
A301,19/11/2016,07,21.9,22.8,21.9,96,96,95,21.3,22.0,21.3,1008.5,1008.5,1008.4,0.6,292,1.1,-3.54,0.0
A301,19/11/2016,08,21.7,21.9,21.6,97,97,96,21.2,21.3,21.1,1008.9,1008.9,1008.5,0.7,259,1.5,3.821,0.0
A301,19/11/2016,09,24.4,24.4,21.4,96,98,96,23.7,23.7,20.9,1009.6,1009.6,1008.9,1.1,281,2.2,549.0,0.0
A301,19/11/2016,10,26.4,26.5,24.4,82,96,82,23.0,24.7,22.8,1010.3,1010.3,1009.6,1.3,244,2.2,1447.,0.0
A301,19/11/2016,11,29.3,29.6,26.0,63,84,63,21.6,23.9,21.6,1010.9,1010.9,1010.3,2.2,39,5.5,2320.,0.0
A301,19/11/2016,12,30.4,30.9,29.1,65,67,60,23.0,23.1,21.4,1010.8,1011.0,1010.7,2.5,23,6.6,3839.,0.0
A301,19/11/2016,13,30.5,32.0,28.6,62,70,58,22.3,23.4,22.0,1010.5,1010.8,1010.5,3.1,36,7.8,1761.,0.0
A301,19/11/2016,14,31.9,32.6,30.2,58,62,57,22.6,23.4,21.7,1010.0,1010.6,1010.0,2.9,30,7.8,2501.,0.0
A301,19/11/2016,15,31.2,33.1,30.4,57,60,53,21.6,23.3,21.3,1009.2,1010.0,1009.2,2.6,63,8.6,1372.,0.0
A301,20/11/2016,06,22.9,24.0,22.9,92,92,88,21.6,22.0,21.5,1009.3,1009.4,1009.2,0.6,280,1.9,-3.54,0.0
A301,20/11/2016,07,22.5,23.0,22.5,94,94,92,21.5,21.8,21.4,1009.3,1009.4,1009.2,0.5,259,1.2,-3.54,0.0
A301,20/11/2016,08,22.2,22.5,22.1,96,96,94,21.5,21.6,21.3,1009.9,1009.9,1009.3,0.7,277,1.5,2.431,0.0
A301,20/11/2016,09,23.2,23.2,22.2,96,96,96,22.6,22.6,21.4,1010.6,1010.6,1009.9,0.5,272,1.8,241.1,0.0
A301,20/11/2016,10,26.5,26.6,23.2,80,96,80,22.7,23.6,22.7,1011.2,1011.2,1010.6,0.7,309,1.8,1060.,0.0
A301,20/11/2016,11,29.5,30.0,26.5,62,80,61,21.4,22.9,21.0,1011.5,1011.5,1011.2,2.2,32,5.1,2919.,0.0
A301,20/11/2016,12,30.5,31.6,29.0,59,63,58,21.5,22.6,20.7,1011.6,1011.7,1011.5,2.4,48,6.8,3287.,0.0
A301,20/11/2016,13,31.3,31.7,29.0,60,66,58,22.7,23.0,21.4,1011.6,1011.7,1011.5,2.6,51,6.7,2809.,0.0
A301,20/11/2016,14,30.4,32.3,30.4,59,60,55,21.5,22.8,21.1,1010.9,1011.6,1010.9,3.3,85,7.0,1573.,0.0
A301,20/11/2016,15,30.5,32.3,30.4,60,61,55,21.7,22.6,21.2,1010.5,1010.9,1010.5,2.5,67,7.2,2220.,0.0
A301,20/11/2016,16,30.3,32.3,29.7,62,63,53,22.3,22.3,21.0,1010.0,1010.5,1010.0,2.5,71,7.9,2341.,0.0
A301,20/11/2016,17,30.2,31.5,29.8,59,62,58,21.2,22.6,21.2,1009.5,1010.0,1009.5,2.6,74,7.5,2417.,0.0
A301,20/11/2016,18,29.7,31.4,29.3,64,64,56,22.1,22.5,21.1,1009.3,1009.6,1009.2,2.4,64,7.2,3274.,0.0
A301,20/11/2016,22,26.4,26.7,26.1,78,78,75,22.1,22.2,21.8,1011.1,1011.1,1010.3,1.2,50,4.4,-3.54,0.0
A301,20/11/2016,19,28.7,30.0,28.7,66,67,62,21.7,22.4,21.4,1009.5,1009.5,1009.2,2.6,70,7.9,2139.,0.0
A301,20/11/2016,20,27.5,28.8,27.5,71,72,66,21.8,22.1,21.7,1009.9,1009.9,1009.5,1.8,61,6.4,660.5,0.0
A301,20/11/2016,21,26.7,27.5,26.6,76,76,71,22.0,22.1,21.8,1010.3,1010.4,1009.9,1.6,77,5.3,28.99,0.0
A301,20/11/2016,00,26.4,26.6,26.3,78,78,76,22.1,22.2,22.0,1010.5,1010.5,1010.1,2.0,36,5.3,-3.54,0.0
A301,20/11/2016,01,26.2,26.5,26.2,78,79,77,22.1,22.4,22.1,1010.7,1010.8,1010.5,1.7,31,5.4,-3.54,0.0
A301,20/11/2016,23,25.9,26.4,25.8,81,81,77,22.3,22.4,22.0,1011.9,1011.9,1011.1,0.8,55,3.7,-3.54,0.0
A301,20/11/2016,02,26.0,26.3,25.6,79,81,77,22.1,22.3,21.7,1010.6,1010.9,1010.6,1.6,41,4.6,-3.54,0.0
A301,20/11/2016,03,26.1,26.3,25.9,79,80,79,22.2,22.3,22.1,1009.7,1010.6,1009.7,1.3,40,4.3,-3.54,0.0
A301,20/11/2016,04,25.3,26.1,25.3,81,81,78,21.8,22.2,21.8,1009.3,1009.7,1009.3,0.7,343,3.9,-3.54,0.0
A301,20/11/2016,05,24.0,25.3,24.0,88,88,81,21.9,22.0,21.8,1009.3,1009.5,1009.3,0.6,319,1.8,-3.53,0.0
A301,21/11/2016,01,25.6,25.9,25.5,81,83,81,22.2,22.6,22.1,1012.3,1012.4,1012.2,0.9,91,3.1,-3.54,0.0
A301,21/11/2016,23,26.2,26.7,26.2,78,78,77,22.1,22.4,22.0,1013.3,1013.4,1012.8,1.3,125,4.9,-3.54,0.0
A301,21/11/2016,02,25.9,26.0,25.5,81,82,80,22.4,22.5,22.2,1011.9,1012.3,1011.9,1.5,97,4.3,-3.54,0.0
A301,21/11/2016,03,25.7,26.0,25.4,81,82,81,22.3,22.5,22.1,1011.2,1011.9,1011.2,1.6,104,4.6,-3.53,0.0
A301,21/11/2016,04,25.3,25.7,25.1,84,84,81,22.3,22.4,21.9,1010.9,1011.2,1010.9,1.3,109,3.4,-3.54,0.0
A301,21/11/2016,05,24.8,25.4,24.8,85,85,83,22.0,22.3,22.0,1010.7,1010.9,1010.7,0.9,114,3.5,-3.54,0.0
A301,21/11/2016,06,23.0,24.8,23.0,91,91,85,21.5,22.2,21.5,1010.5,1010.7,1010.5,0.3,264,2.6,-3.54,0.0
A301,21/11/2016,07,22.3,23.0,22.1,95,95,91,21.5,21.5,21.2,1010.8,1010.8,1010.5,0.4,261,0.8,-3.53,0.0
A301,21/11/2016,08,22.8,22.8,22.3,95,96,95,22.0,22.0,21.5,1011.0,1011.1,1010.8,0.8,130,2.3,1.077,0.0
A301,21/11/2016,09,26.9,26.9,22.8,79,95,79,22.8,23.6,22.0,1011.6,1011.6,1011.0,1.3,122,4.7,458.4,0.0
A301,21/11/2016,10,27.7,28.5,26.7,72,78,67,22.1,22.7,21.5,1012.2,1012.2,1011.6,2.2,103,5.6,1836.,0.0
A301,21/11/2016,11,30.2,30.2,27.7,63,72,63,22.4,22.6,21.6,1012.9,1012.9,1012.2,2.2,103,6.7,2983.,0.0
A301,21/11/2016,12,30.5,30.5,28.5,61,68,58,22.0,22.6,20.5,1013.1,1013.1,1012.9,2.9,103,7.8,2490.,0.0
A301,21/11/2016,13,29.8,31.9,29.0,61,64,54,21.4,22.0,20.6,1012.9,1013.2,1012.8,2.5,99,7.8,1943.,0.0
A301,21/11/2016,14,30.8,31.6,29.8,54,61,53,20.4,22.0,20.4,1012.5,1012.9,1012.5,2.6,87,7.1,435.3,0.0
A301,21/11/2016,15,31.7,32.3,30.3,52,58,51,20.7,22.1,20.0,1011.9,1012.5,1011.8,2.6,129,6.4,514.1,0.0
A301,21/11/2016,16,30.8,32.3,30.3,55,58,50,20.8,21.5,19.9,1011.2,1011.9,1011.2,3.1,131,7.0,481.4,0.0
A301,21/11/2016,17,30.2,32.1,29.8,59,59,49,21.4,21.8,19.7,1010.9,1011.2,1010.9,3.0,110,7.9,3949.,0.0
A301,21/11/2016,18,29.8,31.7,29.2,62,63,56,21.6,22.2,21.1,1010.9,1011.0,1010.8,2.5,130,7.3,4056.,0.0
A301,21/11/2016,19,28.4,30.0,28.0,67,68,61,21.7,22.2,21.3,1011.2,1011.2,1010.8,2.9,124,6.6,2101.,0.0
