codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A312,17/11/2016,22,32.0,33.5,31.7,40,40,34,16.5,16.6,15.1,997.0,997.0,996.6,0.9,350,2.4,-3.54,0.0
A312,17/11/2016,00,32.1,32.3,31.3,42,45,42,17.5,18.0,17.4,1000.0,1000.0,998.7,2.8,348,7.2,-3.36,0.0
A312,17/11/2016,06,26.4,27.1,26.4,70,70,68,20.6,20.7,20.6,999.6,999.9,999.6,1.7,5,3.5,-3.53,0.0
A312,17/11/2016,07,25.8,26.4,25.8,73,73,70,20.5,20.6,20.5,999.7,999.9,999.6,1.0,24,3.4,-3.54,0.0
A312,17/11/2016,08,25.3,25.8,25.3,74,74,73,20.4,20.5,20.3,1000.4,1000.4,999.7,0.8,19,2.6,-3.54,0.0
A312,17/11/2016,09,25.7,25.7,25.1,75,76,74,20.9,20.9,20.4,1001.2,1001.2,1000.4,0.9,23,1.9,74.72,0.0
A312,17/11/2016,10,27.2,27.3,25.7,70,75,70,21.2,21.4,20.9,1001.7,1001.7,1001.2,2.2,51,5.0,568.5,0.0
A312,17/11/2016,11,29.4,29.4,27.2,61,70,61,21.2,21.5,21.0,1002.0,1002.1,1001.7,2.9,65,6.0,1190.,0.0
A312,17/11/2016,12,31.5,31.9,29.4,51,61,50,20.1,21.4,19.8,1002.1,1002.1,1002.0,3.3,79,7.3,1593.,0.0
A312,17/11/2016,13,33.5,33.7,31.5,42,51,41,18.6,20.2,18.6,1001.7,1002.1,1001.7,2.7,93,7.7,2150.,0.0
A312,17/11/2016,14,33.7,34.7,33.3,39,42,38,17.8,19.4,17.4,1001.1,1001.7,1001.1,3.4,70,8.7,2604.,0.0
A312,17/11/2016,15,35.6,35.6,33.7,34,39,34,17.5,18.3,16.8,1000.2,1001.1,1000.2,2.0,121,7.7,2482.,0.0
A312,17/11/2016,01,30.5,32.1,30.5,52,52,42,19.6,19.6,17.6,1000.4,1000.4,999.7,3.8,352,8.4,-3.48,0.0
A312,17/11/2016,02,29.2,30.5,29.2,57,57,52,19.7,19.8,19.6,1000.4,1000.5,1000.3,3.3,2,7.7,-3.54,0.0
