codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A807,16/11/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,16/11/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A807,17/11/2016,00,18.0,18.1,17.8,////,////,////,////,////,////,905.6,905.6,905.0,0.9,67,3.5,-2.85,0.2
A807,17/11/2016,09,17.2,17.2,16.8,////,////,////,////,////,////,907.4,907.4,906.6,0.9,77,2.9,106.8,0.0
A807,17/11/2016,10,19.0,19.0,17.1,81,////,////,15.6,////,////,907.6,907.7,907.3,1.5,72,3.0,752.9,0.0
A807,17/11/2016,11,19.3,19.8,18.5,75,81,72,14.7,15.5,14.1,907.6,907.6,907.4,1.7,8,3.6,1404.,0.2
A807,17/11/2016,22,21.1,24.0,21.1,75,75,44,16.6,16.6,11.1,906.1,906.1,905.5,2.2,91,4.6,-0.96,0.0
A807,17/11/2016,12,20.5,20.5,18.5,69,79,69,14.7,15.3,14.2,907.8,907.9,907.6,1.0,28,3.6,1194.,0.0
A807,17/11/2016,13,22.0,22.0,20.1,62,70,60,14.5,14.8,13.7,908.0,908.1,907.8,1.5,11,5.2,1746.,0.0
A807,17/11/2016,01,17.8,18.1,17.8,////,////,////,////,////,////,906.1,906.1,905.6,1.7,95,3.0,-1.73,0.0
A807,17/11/2016,14,23.2,23.7,21.7,53,63,53,13.1,15.0,13.1,907.9,908.2,907.9,1.8,271,3.7,2341.,0.0
A807,17/11/2016,15,24.5,24.5,22.7,51,59,50,13.9,15.1,12.7,907.4,907.9,907.4,2.3,265,4.9,2680.,0.0
A807,17/11/2016,16,24.8,26.4,24.1,49,55,45,13.5,15.0,12.6,906.9,907.5,906.9,2.7,229,5.6,2870.,0.0
A807,17/11/2016,17,25.9,26.7,24.8,49,51,45,14.5,14.8,12.9,906.0,906.9,906.0,2.2,216,5.7,2770.,0.0
A807,17/11/2016,02,17.4,17.9,17.3,////,////,////,////,////,////,906.4,906.4,906.0,1.2,94,3.6,-1.51,0.0
A807,17/11/2016,18,25.2,27.0,25.2,47,50,41,13.3,14.9,12.3,905.4,906.1,905.4,3.2,226,7.2,1880.,0.0
A807,17/11/2016,19,26.5,26.9,25.1,41,49,39,12.3,14.0,11.6,905.2,905.5,905.2,3.6,226,8.4,1696.,0.0
A807,17/11/2016,23,21.0,21.1,20.8,75,78,75,16.4,16.9,16.3,907.3,907.3,906.1,1.2,146,3.9,-3.12,0.0
A807,17/11/2016,20,25.2,26.7,25.2,40,42,37,10.7,12.4,10.4,905.5,905.5,905.1,4.3,235,7.9,1171.,0.0
A807,17/11/2016,21,24.0,25.2,24.0,44,44,40,11.1,11.5,10.6,905.5,905.5,905.4,2.3,226,7.4,247.6,0.0
A807,17/11/2016,03,17.5,17.5,17.3,////,////,////,////,////,////,906.3,906.5,906.3,0.5,82,3.0,-0.01,0.0
A807,17/11/2016,04,17.4,17.5,17.4,////,////,////,////,////,////,906.2,906.3,906.0,0.8,76,2.6,-0.59,0.0
A807,17/11/2016,05,17.0,17.4,17.0,////,////,////,////,////,////,905.7,906.2,905.6,0.7,126,2.8,-1.71,0.0
A807,17/11/2016,06,16.9,17.1,16.8,////,////,////,////,////,////,906.1,906.1,905.7,1.0,108,2.5,-2.62,0.0
A807,17/11/2016,07,16.9,17.0,16.8,////,////,////,////,////,////,906.3,906.3,906.1,1.3,77,3.2,-2.67,0.0
A807,17/11/2016,08,16.9,16.9,16.7,////,////,////,////,////,////,906.6,906.6,906.3,1.1,91,3.1,3.109,0.0
A807,18/11/2016,02,18.0,19.1,18.0,68,75,65,11.9,14.4,11.9,908.8,909.1,908.8,2.9,216,6.1,-3.54,0.0
A807,18/11/2016,03,17.3,18.0,17.3,69,70,68,11.6,12.0,11.5,908.3,908.9,908.3,1.7,201,5.6,-3.44,0.0
A807,18/11/2016,23,12.9,13.6,12.9,76,78,74,8.8,9.6,8.7,913.3,913.3,912.6,2.9,97,7.2,-3.53,0.0
A807,18/11/2016,04,16.6,17.3,16.6,70,71,69,11.2,11.8,11.1,908.5,908.7,908.3,2.4,180,6.9,-1.25,0.0
