codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A846,17/11/2016,22,20.5,22.9,20.4,69,71,65,14.8,16.2,14.7,985.7,986.0,985.5,0.0,155,11.9,117.2,0.0
A846,17/11/2016,06,18.3,18.9,18.3,97,97,94,17.8,18.1,17.8,979.9,980.2,979.7,0.0,192,0.0,-3.47,0.0
A846,17/11/2016,07,18.1,18.5,17.6,98,98,97,17.7,18.2,17.2,980.1,980.1,979.8,0.0,232,0.0,-3.43,0.0
A846,17/11/2016,08,18.1,18.4,17.6,98,98,98,17.8,18.1,17.2,980.4,980.4,980.1,0.0,329,0.0,-3.44,0.0
A846,17/11/2016,09,17.0,18.2,16.7,98,98,98,16.7,17.9,16.3,981.4,981.4,980.3,0.0,180,0.0,11.31,0.0
A846,17/11/2016,10,18.5,18.5,16.8,98,98,98,18.2,18.2,16.5,982.5,982.5,981.4,0.0,205,0.0,427.5,0.0
A846,17/11/2016,11,21.3,21.3,18.5,87,98,87,19.0,19.8,18.3,983.1,983.2,982.5,0.0,164,0.0,1292.,0.0
A846,17/11/2016,13,26.5,26.6,24.0,62,72,62,18.6,19.5,18.1,983.8,983.8,983.4,0.0,200,0.0,2926.,0.0
A846,17/11/2016,12,24.1,24.3,21.3,72,87,70,18.7,19.8,18.4,983.4,983.4,983.0,0.0,161,0.0,2158.,0.0
A846,17/11/2016,14,28.2,28.2,26.4,59,62,56,19.3,19.4,17.3,984.4,984.5,983.8,0.0,202,4.1,3550.,0.0
A846,17/11/2016,00,22.1,23.4,22.1,81,81,74,18.6,18.6,18.4,980.0,980.0,978.7,0.0,195,0.0,-3.53,0.0
A846,17/11/2016,01,22.0,22.5,21.8,82,82,79,18.7,18.8,18.4,980.7,980.7,980.0,0.0,165,0.0,-3.54,0.0
A846,17/11/2016,16,24.3,29.7,24.3,71,72,47,18.7,19.3,16.0,984.6,984.7,984.3,5.8,201,10.3,2946.,0.0
A846,17/11/2016,15,28.5,28.9,27.1,51,61,48,17.3,20.2,16.5,984.7,984.7,984.4,1.3,216,7.1,3804.,0.0
A846,17/11/2016,17,27.2,29.0,24.3,57,74,50,17.9,21.2,16.6,984.2,984.5,984.2,4.1,196,10.3,3472.,0.0
A846,17/11/2016,02,20.8,22.0,20.8,86,87,82,18.4,18.7,18.4,981.4,981.4,980.7,0.0,128,0.0,-3.54,0.0
A846,17/11/2016,18,27.3,27.3,26.2,61,63,57,19.1,19.1,17.5,984.4,984.5,984.2,6.1,181,12.0,1443.,0.0
A846,17/11/2016,19,25.5,27.4,25.5,60,65,57,17.2,19.1,16.6,984.5,984.6,984.2,8.3,177,14.7,2464.,0.0
A846,17/11/2016,23,19.6,20.5,19.5,76,77,69,15.1,15.4,14.5,987.0,987.1,985.7,0.0,188,4.6,-0.36,0.0
A846,17/11/2016,03,19.8,20.8,19.5,92,93,87,18.3,19.0,17.7,981.1,981.4,981.1,0.0,19,0.0,-3.53,0.0
A846,17/11/2016,21,22.8,23.5,22.6,65,69,64,15.9,17.3,15.7,985.9,985.9,985.2,5.9,182,14.3,928.5,0.0
A846,17/11/2016,20,23.4,25.7,23.0,68,71,60,17.1,18.7,17.0,985.3,985.4,984.5,6.4,184,17.0,1639.,0.0
A846,17/11/2016,04,19.2,19.7,18.9,96,96,91,18.5,18.6,18.0,980.7,981.3,980.7,0.0,294,0.0,-3.53,0.0
A846,17/11/2016,05,18.9,20.0,18.9,94,96,93,18.0,19.2,17.8,980.2,980.8,980.2,0.0,192,0.0,-3.51,0.0
A846,18/11/2016,01,18.0,18.9,18.0,76,76,71,13.8,13.8,13.4,988.8,988.8,987.9,0.1,184,7.6,-3.50,0.0
A846,18/11/2016,11,14.7,15.0,13.5,64,79,63,7.8,9.9,7.8,991.2,991.3,990.8,1.6,161,7.8,1431.,0.0
A846,18/11/2016,12,16.5,16.6,14.6,55,65,55,7.3,8.7,7.3,991.2,991.3,991.1,1.8,159,7.8,2357.,0.0
A846,18/11/2016,00,18.8,19.8,18.8,71,75,68,13.4,15.1,13.3,988.0,988.1,987.0,0.8,181,9.9,-3.48,0.0
A846,18/11/2016,13,17.8,18.3,16.4,45,56,44,5.7,8.0,5.7,991.3,991.4,991.2,2.8,155,9.1,3161.,0.0
A846,18/11/2016,14,19.2,19.3,17.5,39,48,39,4.9,7.6,4.9,991.1,991.4,991.1,2.0,173,9.1,3755.,0.0
A846,18/11/2016,23,17.5,19.4,17.3,61,61,51,9.8,9.8,8.9,987.8,987.8,987.4,0.0,170,3.8,-3.16,0.0
A846,18/11/2016,15,20.1,20.6,18.4,37,43,34,4.8,6.4,2.9,990.7,991.1,990.7,1.2,170,8.3,4148.,0.0
A846,18/11/2016,16,21.7,22.4,19.9,34,41,33,5.0,7.3,4.3,990.1,990.8,990.1,1.6,163,9.4,4244.,0.0
A846,18/11/2016,17,22.5,23.0,21.2,33,39,32,5.5,7.8,4.3,989.4,990.1,989.4,0.7,177,9.5,4069.,0.0
A846,18/11/2016,18,23.5,23.5,22.0,33,38,30,6.5,7.3,4.8,988.4,989.5,988.4,0.6,175,9.5,3653.,0.0
