codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A835,16/11/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,16/11/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A835,17/11/2016,13,27.6,27.7,25.7,53,58,52,17.0,17.9,16.4,947.9,947.9,947.5,1.9,354,4.8,2890.,0.0
A835,17/11/2016,14,28.9,28.9,27.5,46,57,43,16.1,18.5,14.7,948.2,948.2,947.9,1.7,293,5.2,3350.,0.0
A835,17/11/2016,15,29.2,30.6,28.5,43,49,39,15.3,17.2,14.4,947.9,948.2,947.9,2.4,257,5.9,3198.,0.0
A835,17/11/2016,23,26.9,27.9,26.9,40,41,38,12.1,12.7,12.1,947.2,947.2,946.5,4.1,208,8.2,-3.54,0.0
A835,17/11/2016,16,30.1,31.2,29.1,38,44,33,14.1,16.2,12.6,947.6,947.9,947.5,3.5,255,8.6,3631.,0.0
A835,17/11/2016,03,24.2,24.6,23.6,67,70,65,17.5,18.1,17.4,945.7,945.9,945.6,1.8,204,4.1,-3.54,0.0
A835,17/11/2016,17,31.1,31.9,30.0,35,40,30,13.8,15.0,11.1,947.1,947.6,947.1,3.3,219,8.6,3867.,0.0
A835,17/11/2016,18,31.6,32.0,30.7,34,35,29,13.6,14.6,11.1,946.4,947.1,946.4,3.8,256,9.1,3527.,0.0
A835,17/11/2016,19,31.7,32.0,29.8,31,37,28,12.6,14.0,11.3,945.8,946.5,945.7,3.4,243,9.8,2299.,0.0
A835,17/11/2016,20,31.0,31.8,30.5,31,32,28,11.8,12.5,10.8,945.6,945.8,945.5,3.8,220,11.8,1897.,0.0
A835,17/11/2016,21,29.5,31.0,29.5,32,34,30,11.3,12.3,11.3,945.9,945.9,945.6,4.4,213,10.0,929.3,0.0
A835,17/11/2016,04,23.2,24.2,23.2,71,71,67,17.7,17.9,17.6,945.3,945.7,945.3,1.7,167,4.2,-3.54,0.0
A835,17/11/2016,05,22.9,23.2,22.8,70,72,69,17.2,17.8,17.1,945.1,945.4,945.1,2.1,172,4.0,-3.54,0.0
A835,17/11/2016,06,22.5,22.9,22.4,69,71,68,16.5,17.2,16.4,944.9,945.2,944.9,1.5,159,4.3,-3.54,0.0
A835,17/11/2016,07,21.8,22.5,21.7,73,73,69,16.7,16.7,16.4,945.0,945.0,944.8,1.3,157,4.3,-3.54,0.0
A835,17/11/2016,22,27.9,29.5,27.9,38,39,32,12.4,13.0,11.4,946.5,946.5,945.9,4.6,213,9.3,112.7,0.0
A835,17/11/2016,08,20.4,21.8,20.3,80,80,72,16.7,16.7,16.4,945.4,945.4,944.9,0.0,23,3.2,-3.54,0.0
A835,17/11/2016,00,25.9,27.1,25.9,58,58,49,17.0,17.0,15.6,944.8,944.8,943.7,2.9,197,7.5,-3.54,0.0
A835,17/11/2016,01,25.0,26.0,25.0,64,64,58,17.8,17.8,17.1,945.6,945.7,944.8,1.6,188,5.6,-3.54,0.0
A835,17/11/2016,09,21.2,21.2,19.9,79,82,79,17.3,17.4,16.4,945.9,945.9,945.3,1.1,172,1.9,41.27,0.0
A835,17/11/2016,10,23.3,23.3,21.2,68,79,68,17.1,17.4,16.8,946.7,946.7,945.9,0.0,135,2.0,557.8,0.0
A835,17/11/2016,11,24.5,24.9,23.3,60,68,59,16.3,17.3,16.1,947.3,947.3,946.7,2.0,53,3.8,1482.,0.0
A835,17/11/2016,02,23.9,25.3,23.8,69,69,63,17.9,18.0,17.7,945.9,946.0,945.6,1.2,214,3.3,-3.54,0.0
A835,17/11/2016,12,26.2,26.3,24.4,57,62,56,16.9,17.4,16.1,947.5,947.6,947.3,1.9,35,4.8,2240.,0.0
A835,18/11/2016,04,22.0,22.8,22.0,59,59,55,13.5,13.5,13.2,948.8,949.0,948.6,4.1,191,10.2,-3.54,0.0
