codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A135,22/11/2016,22,27.1,27.2,25.9,76,83,76,22.5,23.0,22.4,998.0,998.1,997.5,1.3,229,5.2,8.675,0.0
A135,22/11/2016,23,27.2,27.4,26.6,76,80,74,22.7,22.8,22.1,998.5,998.5,998.0,1.5,177,3.0,-3.50,0.0
A135,22/11/2016,16,32.0,////,////,53,////,////,21.1,////,////,999.3,////,////,2.1,47,////,783.2,0.0
A135,22/11/2016,19,31.8,33.0,30.2,57,74,55,22.3,24.8,22.0,996.6,997.3,996.6,1.4,84,3.7,2336.,0.0
A135,22/11/2016,20,30.2,32.4,30.2,63,64,56,22.5,23.1,22.0,996.5,996.7,996.2,2.2,98,5.4,949.1,0.0
A135,22/11/2016,21,27.3,30.2,27.3,77,77,62,22.8,22.8,21.7,997.5,997.5,996.5,1.2,340,6.7,205.7,0.0
A135,23/11/2016,06,25.5,25.5,25.2,87,89,87,23.2,23.4,23.2,999.5,999.8,999.5,0.7,284,2.0,-3.20,0.0
A135,23/11/2016,07,25.2,25.5,25.2,85,87,85,22.6,23.2,22.6,998.9,999.5,998.9,0.8,279,2.5,-3.09,0.0
A135,23/11/2016,08,24.9,25.2,24.9,87,87,85,22.5,22.8,22.5,998.9,998.9,998.8,0.7,272,2.4,-3.54,0.0
A135,23/11/2016,22,28.0,30.8,28.0,73,74,61,22.8,22.9,21.9,997.0,997.2,996.6,0.5,40,2.0,102.2,0.0
A135,23/11/2016,09,24.5,24.9,24.3,90,90,87,22.7,22.7,22.3,999.4,999.4,998.8,0.6,288,1.6,-3.54,0.0
A135,23/11/2016,10,24.7,24.8,24.5,88,90,88,22.5,22.9,22.5,1000.1,1000.1,999.4,0.8,288,2.1,0.186,0.0
A135,23/11/2016,11,25.6,25.6,24.7,85,88,85,22.9,23.0,22.5,1001.3,1001.3,1000.1,0.7,283,2.6,188.6,0.0
A135,23/11/2016,12,26.9,27.1,25.5,77,85,77,22.6,23.2,22.4,1002.0,1002.0,1001.3,0.8,252,2.1,727.9,0.0
A135,23/11/2016,00,26.8,27.2,26.4,79,80,76,22.9,22.9,22.5,998.9,999.0,998.5,1.5,214,2.8,-3.53,0.0
A135,23/11/2016,02,25.7,26.2,25.7,85,85,82,23.1,23.3,22.9,1000.0,1000.0,999.7,0.8,61,2.4,-3.54,0.0
A135,23/11/2016,13,28.2,28.5,26.9,71,77,71,22.4,23.3,22.2,1002.3,1002.3,1002.0,1.5,342,3.3,1361.,0.0
A135,23/11/2016,14,27.5,28.4,27.4,77,78,71,23.2,23.7,22.3,1002.4,1002.5,1002.3,1.1,322,3.3,717.1,0.0
A135,23/11/2016,01,26.2,26.8,25.9,84,84,78,23.2,23.2,22.7,999.7,999.7,998.9,1.0,89,2.8,-3.53,0.0
A135,23/11/2016,15,29.6,29.6,27.1,72,81,69,24.0,24.3,22.9,1001.8,1002.4,1001.8,0.7,113,2.2,1560.,1.0
A135,23/11/2016,16,29.8,29.8,27.2,70,80,68,23.7,24.1,22.5,1000.8,1001.8,1000.7,1.5,17,3.5,2571.,0.2
A135,23/11/2016,17,32.5,32.7,29.5,54,70,53,22.1,24.2,21.5,999.6,1000.8,999.6,1.5,101,4.6,3775.,0.0
A135,23/11/2016,23,27.2,28.0,27.2,77,78,73,22.8,23.2,22.7,997.8,997.8,996.9,0.4,92,1.1,-3.54,0.0
A135,23/11/2016,03,26.1,26.1,25.4,85,88,85,23.3,23.7,23.0,1000.6,1000.6,1000.0,0.9,275,2.1,-3.54,0.0
A135,23/11/2016,18,32.5,33.2,31.1,54,61,52,22.0,23.6,21.7,998.0,999.7,998.0,2.1,60,5.3,2831.,0.0
A135,23/11/2016,19,32.4,33.4,31.7,53,58,51,21.6,22.8,21.5,997.0,998.0,997.0,2.3,117,5.6,2009.,0.0
A135,23/11/2016,20,32.2,32.5,31.6,53,54,50,21.2,21.7,20.6,996.7,997.0,996.7,1.7,134,5.6,976.5,0.0
A135,23/11/2016,04,25.8,26.1,25.8,85,85,84,23.2,23.4,23.1,1000.6,1000.9,1000.6,1.0,305,2.6,-3.51,0.0
A135,23/11/2016,21,30.8,32.2,30.8,62,62,53,22.7,22.7,21.4,996.7,996.7,996.5,0.7,45,3.9,666.8,0.0
A135,23/11/2016,05,25.3,25.8,25.3,88,88,85,23.2,23.3,23.2,999.7,1000.5,999.7,0.5,257,2.9,-3.53,0.0
A135,24/11/2016,08,25.2,25.5,25.2,91,91,90,23.6,23.8,23.5,998.5,998.5,998.1,0.6,180,1.3,-3.44,0.0
A135,24/11/2016,09,25.2,26.2,25.2,90,91,89,23.5,24.6,23.5,999.2,999.2,998.5,0.5,109,2.1,-3.48,0.0
A135,24/11/2016,10,25.4,25.4,25.1,90,91,90,23.7,23.7,23.5,999.9,999.9,999.2,1.2,38,2.2,0.338,0.0
A135,24/11/2016,11,26.7,26.7,25.4,81,90,81,23.2,23.7,23.2,1001.0,1001.0,999.9,2.0,57,4.1,250.0,0.0
A135,24/11/2016,00,27.0,27.3,26.9,79,80,77,23.0,23.2,22.8,998.9,998.9,997.8,0.2,118,0.8,-3.54,0.0
A135,24/11/2016,12,28.0,28.0,26.7,77,82,76,23.5,23.5,23.1,1001.5,1001.5,1001.0,2.6,52,5.9,881.4,0.0
A135,24/11/2016,17,33.3,34.4,32.7,48,51,46,20.8,21.5,20.5,998.6,999.9,998.6,2.6,64,6.5,3112.,0.0
A135,24/11/2016,01,26.8,27.0,26.7,84,84,79,23.8,23.8,23.0,999.8,999.8,998.9,0.8,160,1.2,-3.54,0.0
A135,24/11/2016,23,29.9,30.6,29.9,60,60,58,21.2,21.8,21.0,997.9,997.9,997.7,0.9,88,3.6,-3.54,0.0
A135,24/11/2016,13,29.9,29.9,28.0,70,77,68,23.7,23.7,23.0,1001.8,1001.9,1001.5,2.6,64,6.8,1960.,0.0
A135,24/11/2016,02,26.9,27.4,26.5,85,86,84,24.1,24.7,23.8,999.9,1000.2,999.8,0.6,124,1.3,-3.54,0.0
A135,24/11/2016,03,26.3,27.0,26.3,85,86,84,23.5,24.1,23.5,999.7,1000.0,999.7,0.4,61,1.6,-3.54,0.0
A135,24/11/2016,14,31.4,32.0,29.6,58,69,57,22.1,23.6,22.1,1001.2,1001.8,1001.2,2.5,64,6.7,2628.,0.0
A135,24/11/2016,18,34.3,34.3,33.1,45,50,45,20.7,21.3,20.1,997.4,998.6,997.4,2.3,56,6.5,2861.,0.0
A135,24/11/2016,19,33.1,34.9,33.0,48,48,42,20.5,21.0,19.3,997.2,997.5,997.1,2.5,47,5.4,2126.,0.0
A135,24/11/2016,20,32.9,34.2,32.9,48,49,45,20.5,21.0,20.2,996.8,997.2,996.6,1.7,69,5.1,1402.,0.0
A135,24/11/2016,21,31.7,32.9,31.7,54,54,48,21.4,21.4,20.4,996.9,996.9,996.8,2.0,52,5.1,598.5,0.0
A135,24/11/2016,04,25.7,26.3,25.7,88,88,85,23.5,23.7,23.5,999.4,999.7,999.4,0.5,351,1.3,-3.54,0.0
A135,24/11/2016,16,33.0,33.9,31.9,50,52,46,21.1,21.8,20.3,999.9,1000.6,999.9,2.1,68,6.2,2710.,0.0
A135,24/11/2016,05,25.6,25.8,25.4,89,89,88,23.6,23.8,23.4,998.9,999.4,998.9,0.8,37,1.3,-3.54,0.0
A135,24/11/2016,06,25.5,25.6,25.3,90,90,89,23.8,23.9,23.5,998.2,998.9,998.2,1.0,3,1.7,-3.53,0.0
A135,24/11/2016,07,25.4,25.9,25.4,90,90,90,23.7,24.2,23.7,998.2,998.2,998.1,0.3,183,1.7,-3.53,0.0
A135,24/11/2016,15,32.8,33.0,31.4,49,59,49,20.8,22.4,20.6,1000.6,1001.2,1000.6,2.7,62,6.5,3095.,0.0
A135,24/11/2016,22,30.6,31.7,30.6,59,59,54,21.6,21.6,21.0,997.7,997.7,996.9,1.7,62,5.1,108.0,0.0
A135,25/11/2016,22,29.9,31.2,29.9,57,57,53,20.3,20.7,20.1,998.0,998.0,997.9,1.1,61,4.0,93.60,0.0
A135,25/11/2016,00,29.2,29.9,29.0,62,63,60,21.1,21.4,21.1,998.7,998.7,997.8,1.3,75,2.7,-3.54,0.0
A135,25/11/2016,23,28.0,30.0,27.9,65,66,56,20.8,21.0,20.3,998.7,998.7,998.0,1.0,47,2.4,-3.54,0.0
A135,25/11/2016,01,29.1,29.4,29.1,62,63,61,21.0,21.2,20.9,999.9,999.9,998.7,1.4,71,3.5,-3.54,0.0
A135,25/11/2016,02,28.1,29.1,28.1,69,69,62,21.9,21.9,21.0,1000.5,1000.5,999.8,1.1,108,3.9,-3.54,0.0
A135,25/11/2016,03,27.3,28.2,27.3,74,74,69,22.2,22.2,22.0,1000.7,1000.8,1000.5,1.0,78,3.1,-3.54,0.0
A135,25/11/2016,04,27.3,27.6,27.3,72,74,72,21.9,22.3,21.8,1000.2,1000.8,1000.2,1.0,87,2.4,-3.54,0.0
A135,25/11/2016,05,26.9,27.4,26.9,74,74,72,21.9,22.0,21.9,999.2,1000.2,999.2,1.3,85,9.0,-3.54,0.0
A135,25/11/2016,06,26.4,26.9,26.4,78,78,74,22.1,22.2,21.9,998.6,999.2,998.6,0.8,80,3.3,-3.54,0.0
A135,25/11/2016,07,26.5,26.6,26.0,77,80,77,22.1,22.4,22.1,998.2,998.6,998.1,0.9,73,2.8,-3.54,0.0
A135,25/11/2016,08,26.1,26.5,26.0,79,80,77,22.2,22.3,22.1,998.2,998.2,998.0,1.5,50,3.3,-3.54,0.0
A135,25/11/2016,09,25.0,26.1,25.0,83,83,79,22.0,22.3,22.0,998.8,998.8,998.1,0.5,85,3.3,-3.54,0.0
A135,25/11/2016,10,24.9,25.1,24.3,87,88,83,22.5,22.5,21.9,999.9,999.9,998.8,0.9,28,1.8,-1.73,0.0
A135,25/11/2016,11,26.3,26.3,24.9,81,87,81,22.7,22.8,22.4,1000.9,1000.9,999.9,0.8,45,2.1,141.8,0.0
A135,25/11/2016,12,27.8,27.8,26.3,73,81,72,22.5,22.8,22.1,1001.6,1001.6,1000.9,2.7,35,5.9,747.7,0.0
A135,25/11/2016,13,28.7,28.9,27.6,69,73,68,22.5,22.8,22.0,1002.0,1002.1,1001.6,2.5,56,6.6,1257.,0.0
A135,25/11/2016,14,29.9,30.0,28.6,62,70,62,22.0,22.8,21.9,1002.0,1002.0,1001.8,3.1,55,6.1,1416.,0.0
A135,25/11/2016,15,31.3,31.7,29.9,56,63,54,21.5,22.3,21.0,1001.4,1002.1,1001.4,2.3,40,5.5,2369.,0.0
A135,25/11/2016,16,31.7,31.9,30.8,55,58,54,21.5,21.6,20.9,1000.6,1001.4,1000.6,2.0,63,5.4,2019.,0.0
A135,25/11/2016,17,31.8,32.2,31.3,53,56,50,21.1,21.7,20.4,999.8,1000.6,999.8,2.0,60,5.0,1885.,0.0
A135,25/11/2016,18,32.8,32.8,31.5,48,54,48,20.4,21.5,20.0,998.9,999.8,998.9,1.5,92,5.0,1718.,0.0
A135,25/11/2016,19,32.8,33.6,32.3,46,49,42,19.5,20.8,18.8,998.2,998.9,998.2,2.6,38,5.5,2343.,0.0
A135,25/11/2016,20,32.4,32.8,31.9,51,51,46,20.8,20.8,19.6,998.0,998.2,997.9,1.8,77,5.7,1330.,0.0
A135,25/11/2016,21,31.2,32.4,31.2,53,53,49,20.4,20.9,20.2,998.0,998.1,997.9,2.0,32,4.4,754.3,0.0
A135,26/11/2016,19,33.9,34.5,32.2,40,47,40,18.4,20.0,18.4,997.7,998.6,997.7,2.3,66,6.0,2141.,0.0
A135,26/11/2016,20,34.6,34.8,32.9,41,43,38,19.3,19.3,18.2,997.2,997.7,997.2,1.7,103,5.8,1385.,0.0
A135,26/11/2016,21,32.8,34.6,32.8,42,44,40,18.3,19.4,18.3,997.1,997.3,997.0,2.2,89,5.7,767.6,0.0
A135,26/11/2016,22,31.2,32.9,31.2,49,49,42,19.3,19.4,18.4,997.6,997.7,997.1,1.3,90,5.2,98.93,0.0
A135,26/11/2016,00,29.3,29.5,28.0,60,65,60,20.8,21.1,20.8,999.4,999.4,998.7,2.4,36,5.4,-3.54,0.0
A135,26/11/2016,01,28.4,29.3,28.3,63,64,60,20.8,20.9,20.8,999.9,999.9,999.4,1.8,51,5.4,-3.54,0.0
A135,26/11/2016,23,29.7,31.2,29.7,57,57,49,20.2,20.2,19.4,998.4,998.4,997.6,0.8,116,2.8,-3.54,0.0
A135,26/11/2016,02,27.9,28.5,27.9,65,65,63,20.7,20.7,20.5,1000.2,1000.2,999.9,2.7,50,5.6,-3.54,0.0
A135,26/11/2016,03,27.3,27.9,27.2,69,69,65,21.0,21.0,20.7,1000.0,1000.2,999.9,2.3,55,5.3,-3.54,0.0
A135,26/11/2016,04,27.0,27.3,26.8,73,73,69,21.7,21.7,21.0,999.9,1000.1,999.9,2.1,49,5.5,-3.54,0.0
A135,26/11/2016,05,26.6,27.0,26.6,74,74,73,21.6,21.7,21.6,999.7,999.9,999.6,1.8,46,5.5,-3.54,0.0
