codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A806,17/11/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,17/11/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A806,18/11/2016,14,21.4,21.5,19.8,49,61,48,10.3,12.7,9.8,1015.0,1015.0,1014.6,5.9,159,15.1,3565.,0.0
A806,18/11/2016,15,22.8,22.8,20.7,43,50,28,9.6,10.8,2.9,1015.3,1015.4,1014.9,4.8,184,12.3,2468.,0.0
A806,18/11/2016,02,19.1,19.3,19.0,71,73,69,13.8,14.1,13.2,1013.2,1013.4,1012.5,4.2,178,12.6,-3.23,0.0
A806,18/11/2016,16,22.2,23.0,21.4,47,47,39,10.2,10.5,7.6,1015.5,1015.6,1015.2,4.6,165,12.6,3956.,0.0
A806,18/11/2016,17,21.9,22.8,21.3,44,49,36,9.1,10.6,6.9,1015.6,1015.7,1015.3,4.4,162,10.4,2706.,0.0
A806,18/11/2016,03,18.9,19.2,18.8,73,75,70,14.0,14.7,13.5,1012.8,1013.2,1012.8,3.7,163,11.2,-2.32,0.0
A806,18/11/2016,18,21.8,22.8,21.5,49,49,40,10.6,10.6,7.7,1015.7,1015.7,1015.5,5.0,160,10.7,2058.,0.0
A806,18/11/2016,19,21.9,22.8,21.6,46,51,39,9.9,11.3,7.6,1016.3,1016.3,1015.6,4.3,186,10.7,1351.,0.0
A806,18/11/2016,20,21.2,22.1,21.0,54,55,45,11.5,11.7,9.4,1016.7,1016.7,1016.2,3.8,170,9.7,873.7,0.0
A806,18/11/2016,21,20.1,21.2,20.0,61,67,51,12.4,13.8,10.7,1017.3,1017.3,1016.6,5.6,160,11.5,410.1,0.0
A806,18/11/2016,04,18.4,19.3,18.4,69,74,68,12.6,14.2,12.6,1012.7,1013.0,1012.6,1.4,254,8.9,-2.00,0.0
A806,18/11/2016,22,18.7,20.1,18.6,65,69,61,12.0,13.4,12.0,1017.9,1018.0,1017.3,3.1,191,12.9,65.08,0.0
A806,18/11/2016,05,18.3,18.4,18.3,68,69,67,12.2,12.5,12.2,1012.5,1012.8,1012.5,1.5,228,4.4,-2.53,0.0
A806,18/11/2016,06,18.1,18.6,18.1,74,76,67,13.5,13.9,12.2,1012.4,1012.5,1012.2,2.9,175,6.9,-3.21,0.0
A806,18/11/2016,07,16.7,18.4,16.7,75,75,70,12.2,13.8,11.6,1012.2,1012.4,1012.1,1.0,274,6.5,-3.51,0.0
A806,18/11/2016,08,15.5,16.7,14.9,82,84,75,12.5,12.8,11.9,1012.5,1012.5,1012.0,1.2,244,2.4,-3.54,0.0
A806,18/11/2016,00,19.5,19.8,19.1,62,72,60,12.0,14.3,11.6,1012.1,1012.2,1011.0,4.9,217,19.0,0.857,0.0
