codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A864,16/11/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,16/11/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A864,17/11/2016,10,17.0,17.0,16.7,89,90,89,15.2,15.3,15.0,920.3,920.3,919.6,0.0,337,2.9,161.2,0.0
A864,17/11/2016,11,18.6,18.6,17.0,79,90,79,14.8,15.5,14.8,920.1,920.3,920.1,0.0,317,1.8,677.9,0.0
A864,17/11/2016,12,19.9,19.9,18.5,74,80,73,15.1,15.4,14.6,920.6,920.6,920.0,1.8,265,3.7,1119.,0.0
A864,17/11/2016,01,18.3,18.8,18.3,85,86,84,15.8,16.2,15.8,918.7,918.7,917.7,3.8,314,6.0,-2.84,0.0
A864,17/11/2016,13,22.0,23.1,19.5,63,74,60,14.7,15.9,14.0,920.5,920.6,920.4,2.0,256,4.5,2584.,0.0
A864,17/11/2016,02,17.8,18.3,17.8,87,87,85,15.6,15.9,15.5,919.0,919.0,918.7,2.5,342,6.0,-1.51,0.0
A864,17/11/2016,14,22.6,23.1,21.6,59,64,58,14.2,15.0,13.9,921.0,921.0,920.5,1.9,105,4.6,2244.,0.0
A864,17/11/2016,15,23.8,24.3,22.2,55,63,54,14.3,15.4,13.7,920.5,921.0,920.5,1.6,85,5.8,2452.,0.0
A864,17/11/2016,23,19.3,21.2,19.3,66,66,59,12.7,13.3,12.6,920.4,920.4,919.3,9.5,9,14.1,-3.29,0.0
A864,17/11/2016,16,25.2,25.6,23.5,50,56,45,13.9,14.6,12.3,919.6,920.5,919.6,2.6,142,7.7,4021.,0.0
A864,17/11/2016,17,26.2,26.8,24.5,43,50,42,12.7,14.2,12.4,918.9,919.7,918.9,4.2,145,7.8,3049.,0.0
A864,17/11/2016,18,26.5,27.9,26.1,41,44,38,12.3,13.9,11.5,918.4,919.0,918.4,4.7,81,9.5,2793.,0.0
A864,17/11/2016,03,16.9,17.8,16.9,91,91,86,15.4,15.6,15.3,919.4,919.4,918.9,2.6,4,4.2,-2.97,0.0
A864,17/11/2016,19,26.5,27.6,26.3,43,45,38,12.9,13.6,11.4,917.9,918.4,917.9,4.6,30,9.0,1717.,0.0
A864,17/11/2016,20,24.8,27.4,24.6,47,50,41,12.6,13.7,12.3,918.2,918.3,917.7,7.1,39,12.3,1309.,0.0
A864,17/11/2016,21,23.6,24.7,23.6,52,53,47,13.3,13.6,12.6,918.7,918.8,918.2,4.6,39,11.2,707.3,0.0
A864,17/11/2016,04,17.1,17.1,16.8,87,91,87,15.0,15.4,15.0,919.1,919.4,919.0,0.8,286,4.3,-1.64,0.0
A864,17/11/2016,05,17.1,17.2,17.1,88,88,86,15.1,15.1,14.8,918.5,919.2,918.5,1.3,334,2.2,-1.64,0.0
A864,17/11/2016,06,16.7,17.1,16.7,90,90,88,15.1,15.2,15.0,918.4,918.5,918.4,2.9,357,3.9,-2.01,0.0
A864,17/11/2016,07,16.8,16.8,16.6,90,91,89,15.1,15.2,15.0,918.7,918.7,918.4,2.8,332,4.4,-1.84,0.0
A864,17/11/2016,22,21.2,23.6,21.2,59,59,51,12.9,13.1,12.5,919.3,919.4,918.7,6.9,38,12.8,107.6,0.0
A864,17/11/2016,00,18.7,19.4,18.6,85,86,82,16.2,16.4,16.0,917.7,917.7,917.2,1.7,334,3.8,-3.40,0.0
A864,17/11/2016,08,16.7,16.8,16.7,90,91,90,15.1,15.2,15.1,919.1,919.2,918.7,1.3,352,4.4,-1.08,0.0
A864,17/11/2016,09,16.7,16.7,16.6,90,90,90,15.1,15.1,14.9,919.7,919.7,919.2,1.3,326,2.7,27.65,0.0
A864,18/11/2016,03,13.7,14.3,13.2,71,83,70,8.6,10.5,8.6,923.1,923.3,923.0,4.5,19,8.9,-3.54,0.0
A864,18/11/2016,04,13.9,14.0,13.7,71,73,70,8.8,9.1,8.6,923.2,923.4,923.1,4.0,22,7.2,-3.34,0.0
A864,18/11/2016,05,12.1,13.9,12.0,79,79,71,8.6,8.9,8.4,922.2,923.2,922.2,2.7,12,5.4,-3.54,0.0
A864,18/11/2016,06,10.8,12.7,10.8,83,83,74,8.1,8.6,8.0,922.2,922.2,921.9,0.0,358,4.8,-3.54,0.0
A864,18/11/2016,07,11.1,11.6,10.8,77,84,77,7.2,8.3,7.2,922.7,922.8,922.2,3.9,25,5.7,-3.54,0.0
A864,18/11/2016,08,9.1,11.1,9.1,86,86,77,6.9,7.1,6.6,922.7,922.7,922.6,1.3,33,5.5,-3.54,0.0
A864,18/11/2016,22,15.7,18.3,15.7,47,47,38,4.4,4.5,3.6,925.1,925.2,924.6,3.7,326,9.1,186.8,0.0
A864,18/11/2016,09,9.9,9.9,8.8,83,87,83,7.2,7.3,6.7,923.0,923.1,922.7,0.0,28,2.7,76.97,0.0
A864,18/11/2016,00,16.5,19.3,16.5,74,74,65,11.9,12.5,11.9,922.0,922.0,920.4,4.6,27,14.1,-3.38,0.0
