codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A409,17/11/2016,22,26.5,26.7,26.5,75,75,73,21.7,21.9,21.5,1010.1,1010.1,1009.7,0.0,78,0.0,-3.54,0.0
A409,17/11/2016,04,26.2,26.4,26.2,76,76,75,21.5,21.8,21.4,1010.5,1011.1,1010.5,0.0,71,0.0,-3.44,0.0
A409,17/11/2016,05,26.1,26.2,26.1,76,77,75,21.6,21.8,21.5,1010.0,1010.5,1010.0,0.0,69,0.0,-3.46,0.0
A409,17/11/2016,06,26.0,26.2,26.0,76,77,75,21.6,21.6,21.4,1010.2,1010.2,1010.0,0.0,73,0.0,-3.41,0.0
A409,17/11/2016,08,26.0,26.1,25.9,76,77,75,21.4,21.6,21.3,1010.7,1010.7,1010.2,0.0,69,0.0,-2.84,0.0
A409,17/11/2016,07,26.0,26.1,26.0,75,77,75,21.3,21.6,21.3,1010.2,1010.3,1010.2,0.0,71,0.0,-3.54,0.0
A409,17/11/2016,09,26.6,26.6,26.0,75,77,74,21.8,21.8,21.4,1011.4,1011.4,1010.7,0.0,64,0.0,212.9,0.0
A409,17/11/2016,10,27.1,27.6,26.6,71,75,70,21.5,22.1,21.3,1011.6,1011.7,1011.4,0.0,72,0.0,818.6,0.0
A409,17/11/2016,11,28.1,28.3,27.1,67,71,66,21.4,21.8,21.2,1012.0,1012.0,1011.5,0.0,58,0.0,1474.,0.0
A409,17/11/2016,12,28.5,28.8,27.9,67,68,65,21.7,21.9,21.1,1012.1,1012.2,1011.9,0.0,79,0.0,2361.,0.0
A409,17/11/2016,13,28.8,29.2,28.1,65,67,64,21.6,22.3,21.2,1012.3,1012.3,1012.1,0.0,82,0.0,2643.,0.0
A409,17/11/2016,14,29.2,29.3,28.4,66,66,63,22.0,22.0,21.0,1012.1,1012.3,1012.1,0.0,82,0.0,2992.,0.0
