codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A707,16/11/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,16/11/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A707,17/11/2016,11,25.9,26.1,24.5,60,66,59,17.5,18.3,17.4,958.7,958.8,958.4,1.5,113,3.5,496.1,0.0
A707,17/11/2016,12,28.0,28.0,25.9,54,60,54,17.8,18.1,17.0,959.1,959.1,958.7,0.9,51,3.3,1056.,0.0
A707,17/11/2016,01,26.2,28.0,26.0,57,57,48,16.8,16.8,15.8,956.8,956.8,956.0,0.0,75,2.1,-3.54,0.0
A707,17/11/2016,13,29.6,29.6,27.6,44,54,44,16.0,18.1,16.0,959.4,959.4,959.1,1.0,42,4.0,1082.,0.0
A707,17/11/2016,02,26.3,26.6,26.0,54,57,53,16.2,16.8,16.2,957.0,957.0,956.8,0.8,224,2.8,-3.54,0.0
A707,17/11/2016,14,31.4,31.8,29.6,39,47,37,15.8,17.7,15.2,959.7,959.7,959.4,2.0,260,5.8,1983.,0.0
A707,17/11/2016,15,32.3,32.7,30.5,38,43,34,16.3,17.3,14.4,959.5,959.7,959.4,3.0,274,7.2,2979.,0.0
A707,17/11/2016,23,28.3,29.7,28.3,36,36,32,11.8,11.8,11.1,958.4,958.4,957.6,1.5,240,5.7,-3.54,0.0
A707,17/11/2016,16,33.6,33.6,31.5,32,38,30,14.5,16.0,13.0,959.0,959.5,959.0,3.4,274,8.4,3056.,0.0
A707,17/11/2016,17,33.9,34.5,32.9,28,32,27,12.7,15.0,12.4,958.1,959.0,958.1,4.0,268,9.1,3527.,0.0
A707,17/11/2016,18,34.4,35.2,33.3,24,30,23,11.2,13.9,10.6,957.3,958.1,957.2,5.2,263,10.3,3156.,0.0
A707,17/11/2016,03,25.6,26.4,25.4,57,57,54,16.4,16.4,16.2,957.0,957.0,956.8,0.8,220,2.5,-3.54,0.0
A707,17/11/2016,19,34.0,34.6,33.7,24,26,20,10.9,11.6,7.7,956.6,957.3,956.6,4.7,263,10.5,2509.,0.0
A707,17/11/2016,20,33.4,34.4,32.5,24,30,24,10.0,13.0,9.9,956.6,956.7,956.5,3.8,240,10.3,1466.,0.0
A707,17/11/2016,21,31.4,33.4,31.3,36,36,23,14.4,14.4,9.7,956.9,956.9,956.5,2.2,225,10.3,796.6,0.0
A707,17/11/2016,04,24.7,25.6,24.6,61,61,57,16.6,16.6,16.4,957.1,957.3,957.0,0.8,224,2.9,-3.53,0.0
A707,17/11/2016,05,23.9,24.7,23.9,64,64,61,16.7,16.7,16.4,956.6,957.1,956.6,0.9,173,3.2,-3.54,0.0
A707,17/11/2016,06,23.3,23.9,23.2,68,68,64,17.1,17.1,16.7,956.7,956.8,956.4,0.6,261,2.3,-3.50,0.0
A707,17/11/2016,07,22.9,23.5,22.9,72,72,68,17.5,17.5,17.0,956.8,956.9,956.6,0.1,159,3.1,-3.27,0.0
A707,17/11/2016,22,29.7,31.5,29.7,32,37,32,11.4,14.4,11.4,957.6,957.6,956.9,2.1,233,7.6,79.34,0.0
A707,17/11/2016,00,28.0,29.3,27.9,48,48,43,15.9,15.9,15.3,956.0,956.0,954.9,0.8,240,2.5,-3.54,0.0
A707,17/11/2016,08,22.5,23.1,22.4,74,74,72,17.6,17.8,17.5,957.2,957.2,956.7,0.1,233,1.9,-3.53,0.0
A707,17/11/2016,09,22.4,22.5,22.2,75,76,74,17.7,17.7,17.5,957.7,957.7,957.2,0.2,226,1.8,16.07,0.0
A707,17/11/2016,10,24.5,24.5,22.4,66,75,66,17.8,18.1,17.7,958.4,958.4,957.7,0.4,88,1.7,272.2,0.0
A707,18/11/2016,03,24.0,25.0,24.0,56,56,52,14.6,14.7,14.4,960.2,960.2,960.2,1.5,237,4.0,-3.54,0.0
A707,18/11/2016,04,23.2,24.0,23.1,59,59,56,14.6,14.8,14.6,959.8,960.2,959.7,1.6,231,4.6,-3.54,0.0
A707,18/11/2016,05,22.3,23.2,22.3,63,63,59,14.8,14.8,14.5,959.2,959.8,959.2,1.9,229,4.6,-3.54,0.0
A707,18/11/2016,06,21.6,22.3,21.6,66,66,63,14.9,14.9,14.8,959.3,959.5,959.3,2.3,232,4.9,-3.54,0.0
A707,18/11/2016,07,21.2,21.6,21.1,67,67,66,14.7,14.9,14.7,959.5,959.5,959.2,1.4,219,4.7,-3.54,0.0
A707,18/11/2016,08,20.7,21.3,20.6,68,69,66,14.5,14.8,14.5,960.1,960.1,959.5,2.3,227,5.0,-3.53,0.0
A707,18/11/2016,09,20.0,20.7,20.0,70,71,68,14.5,14.6,14.4,960.4,960.4,960.0,2.0,223,5.4,14.31,0.0
A707,18/11/2016,22,25.8,28.5,25.8,21,22,16,2.1,2.1,0.3,960.7,960.7,960.3,1.8,228,7.5,119.5,0.0
A707,18/11/2016,10,20.8,20.8,20.0,67,70,66,14.3,14.5,14.1,961.1,961.1,960.4,1.7,215,6.4,270.7,0.0
A707,18/11/2016,00,27.0,28.3,27.0,42,42,36,13.0,13.0,11.7,959.1,959.1,958.4,1.4,236,3.8,-3.54,0.0
A707,18/11/2016,11,22.8,22.8,20.8,60,67,60,14.7,15.0,14.3,961.8,961.8,961.1,1.4,228,5.9,469.6,0.0
A707,18/11/2016,12,23.8,23.8,22.5,56,61,55,14.6,15.0,14.1,962.6,962.6,961.8,2.3,217,5.3,1109.,0.0
A707,18/11/2016,13,25.0,25.3,23.4,51,58,51,14.2,15.3,14.0,963.0,963.0,962.6,2.9,216,7.4,1171.,0.0
A707,18/11/2016,14,26.1,26.9,24.7,49,52,47,14.4,15.1,13.9,963.0,963.1,962.8,2.8,214,6.6,2209.,0.0
A707,18/11/2016,15,28.1,28.4,25.9,42,51,40,14.1,15.3,13.1,962.4,963.0,962.4,3.3,238,7.2,3310.,0.0
A707,18/11/2016,16,28.8,29.5,27.2,34,44,34,11.2,14.4,11.2,961.6,962.4,961.6,2.8,211,7.4,3454.,0.0
A707,18/11/2016,17,29.9,30.8,28.6,28,35,27,9.4,12.2,9.2,961.1,961.6,961.1,2.9,221,7.5,3630.,0.0
A707,18/11/2016,18,30.5,30.9,29.6,22,31,21,6.6,11.2,5.7,960.6,961.1,960.6,2.9,230,8.1,3274.,0.0
A707,18/11/2016,19,30.8,31.2,30.1,16,23,15,2.2,6.9,1.3,960.1,960.6,960.1,2.9,234,7.6,2624.,0.0
A707,18/11/2016,20,30.0,31.0,29.8,17,19,14,2.3,4.1,0.3,960.0,960.2,959.9,2.7,217,10.1,1846.,0.0
A707,18/11/2016,01,25.8,27.0,25.8,48,48,42,13.9,13.9,13.0,959.9,959.9,959.1,1.8,239,4.2,-3.54,0.0
A707,18/11/2016,21,28.6,30.3,28.5,17,18,16,0.8,2.9,0.4,960.3,960.3,959.9,3.2,226,8.3,957.1,0.0
A707,18/11/2016,02,25.0,25.8,25.0,52,52,48,14.4,14.4,13.9,960.2,960.3,959.9,1.6,229,4.2,-3.54,0.0
A707,18/11/2016,23,24.1,25.8,24.1,25,25,21,2.7,2.8,2.1,961.0,961.1,960.7,1.3,215,4.0,-3.54,0.0
A707,19/11/2016,20,27.7,28.3,27.6,27,27,24,6.9,7.2,5.9,960.6,961.1,960.6,1.7,85,5.9,1811.,0.0
A707,19/11/2016,21,27.2,28.0,27.2,28,28,25,7.1,7.5,6.4,960.4,960.6,960.3,1.8,89,5.6,927.2,0.0
A707,19/11/2016,22,25.8,27.2,25.8,30,30,28,7.0,7.3,6.3,960.6,960.6,960.3,1.3,90,5.6,121.2,0.0
A707,19/11/2016,00,23.6,24.4,23.5,24,25,24,2.0,2.6,1.9,961.6,961.6,961.0,1.4,179,4.8,-3.54,0.0
A707,19/11/2016,01,21.4,23.6,21.4,30,30,24,3.1,3.1,2.0,962.4,962.4,961.6,0.6,202,4.8,-3.54,0.0
A707,19/11/2016,23,24.6,25.8,24.6,34,34,30,7.6,7.6,6.9,961.3,961.3,960.6,1.3,126,3.9,-3.54,0.0
A707,19/11/2016,02,21.0,21.9,20.9,34,34,30,4.5,4.5,3.2,962.9,962.9,962.4,0.9,183,3.4,-3.54,0.0
A707,19/11/2016,03,21.3,22.1,20.8,39,39,33,6.8,6.8,4.5,962.5,962.9,962.5,3.8,125,8.5,-3.54,0.0
A707,19/11/2016,04,19.4,21.3,19.4,63,63,39,12.2,12.2,7.0,962.7,962.9,962.5,3.5,103,8.6,-3.54,0.0
A707,19/11/2016,05,18.2,19.4,18.2,68,68,63,12.3,12.7,12.2,962.4,962.7,962.4,4.1,101,10.1,-3.54,0.0
A707,19/11/2016,06,17.2,18.2,17.2,69,69,68,11.4,12.3,11.4,962.7,962.7,962.3,3.4,99,11.2,-3.54,0.0
A707,19/11/2016,07,16.2,17.2,16.2,70,72,69,10.8,11.4,10.8,963.3,963.3,962.7,3.2,101,11.5,-3.54,0.0
A707,19/11/2016,08,15.4,16.2,15.4,67,70,65,9.2,10.7,9.2,963.5,963.5,963.3,2.5,106,8.4,-3.54,0.0
A707,19/11/2016,09,14.9,15.4,14.8,68,69,66,9.1,9.2,9.1,964.1,964.1,963.5,3.2,100,7.5,13.86,0.0
A707,19/11/2016,10,15.8,16.0,14.9,66,68,66,9.4,9.7,9.1,964.7,964.7,964.1,4.1,103,10.8,319.2,0.0
A707,19/11/2016,11,17.4,17.4,15.7,58,67,58,9.1,9.7,9.1,965.2,965.3,964.7,4.3,100,14.3,581.7,0.0
A707,19/11/2016,12,19.4,19.6,17.3,52,59,51,9.2,9.5,8.9,965.3,965.4,965.2,3.5,99,13.1,1264.,0.0
A707,19/11/2016,13,21.3,22.1,19.4,41,52,39,7.5,9.5,6.9,965.4,965.5,965.3,4.1,99,11.0,1295.,0.0
A707,19/11/2016,14,24.3,24.4,21.3,32,42,32,6.6,8.4,6.0,964.9,965.4,964.9,3.4,112,9.7,2136.,0.0
A707,19/11/2016,15,25.2,25.4,23.9,29,33,27,5.7,7.1,4.6,964.1,964.9,964.1,2.8,94,9.3,3915.,0.0
A707,19/11/2016,16,25.8,26.6,24.9,26,29,25,4.6,6.2,4.4,963.3,964.1,963.3,2.4,72,8.1,3951.,0.0
A707,19/11/2016,17,27.0,27.5,25.7,26,28,24,6.0,6.7,4.4,962.5,963.3,962.5,2.0,86,7.2,3698.,0.0
A707,19/11/2016,18,27.4,28.2,26.8,26,28,24,6.2,7.1,5.1,961.5,962.5,961.5,2.0,81,7.3,3288.,0.0
A707,19/11/2016,19,28.1,28.5,27.4,25,27,24,6.1,7.2,5.4,961.0,961.6,960.9,1.5,69,6.0,2626.,0.0
