codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A009,16/11/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,16/11/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A009,17/11/2016,11,27.3,27.3,24.7,60,74,59,18.7,19.9,18.2,977.7,977.7,976.8,0.3,11,1.7,673.8,0.0
A009,17/11/2016,12,29.9,29.9,27.3,57,62,55,20.4,20.4,18.6,977.7,977.8,977.6,1.0,136,2.4,1696.,0.0
A009,17/11/2016,01,26.1,26.1,25.7,68,74,68,19.7,20.7,19.6,976.8,976.8,976.5,2.7,53,4.9,-3.40,0.0
A009,17/11/2016,13,31.7,31.7,29.8,55,58,52,21.4,21.4,19.5,977.6,977.7,977.5,1.6,114,3.6,2619.,0.0
A009,17/11/2016,00,26.0,26.7,26.0,72,73,71,20.6,21.4,20.6,976.7,977.0,976.2,2.7,8,10.3,-3.53,0.0
A009,17/11/2016,14,30.0,32.7,30.0,57,58,50,20.7,21.7,20.3,977.4,977.6,977.4,2.1,252,4.8,2018.,0.0
A009,17/11/2016,15,25.8,30.3,25.8,77,77,56,21.5,22.3,20.6,976.7,977.5,976.7,3.1,84,6.9,855.1,0.0
A009,17/11/2016,02,25.8,26.3,25.8,63,68,62,18.2,19.7,18.2,977.4,977.5,976.8,2.8,31,7.1,-3.31,0.0
A009,17/11/2016,16,24.3,25.8,24.2,82,85,78,21.1,21.6,21.1,975.6,976.7,975.6,3.3,68,7.1,242.5,0.6
A009,17/11/2016,17,24.3,24.3,23.9,83,85,81,21.1,21.3,20.7,974.9,975.7,974.8,2.1,41,7.7,143.7,0.2
A009,17/11/2016,18,25.5,25.5,24.3,84,86,80,22.7,22.8,21.1,974.2,975.1,974.2,1.7,353,3.7,427.3,0.2
