codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A108,16/11/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,16/11/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A108,17/11/2016,01,27.2,27.8,27.2,82,84,80,23.9,24.7,23.8,979.2,979.2,978.6,1.1,236,2.8,-3.53,0.0
A108,17/11/2016,10,24.4,24.7,24.4,93,93,91,23.2,23.3,23.2,981.5,981.5,980.9,0.0,236,1.4,-3.48,0.0
A108,17/11/2016,11,24.6,24.6,24.3,92,94,92,23.3,23.4,23.2,982.1,982.1,981.5,0.2,236,1.3,46.03,0.0
A108,17/11/2016,12,26.5,26.5,24.6,84,92,84,23.6,23.7,23.2,982.9,982.9,982.1,1.1,236,2.1,650.9,0.0
A108,17/11/2016,13,28.6,28.8,26.5,71,84,71,22.9,24.2,22.9,983.4,983.4,982.9,1.4,236,4.6,1456.,0.0
A108,17/11/2016,14,30.9,30.9,28.6,63,73,63,23.0,24.1,22.9,983.6,983.6,983.4,2.0,236,5.0,2242.,0.0
A108,17/11/2016,15,32.6,32.6,30.8,58,65,56,23.3,23.6,22.3,983.5,983.6,983.4,2.8,236,6.9,3006.,0.0
A108,17/11/2016,16,32.9,33.2,32.1,54,60,52,22.5,23.7,22.0,983.0,983.5,983.0,2.6,236,7.2,2816.,0.0
A108,17/11/2016,17,33.3,33.7,32.5,53,58,50,22.4,23.7,21.6,982.1,983.0,982.1,2.7,236,6.7,2596.,0.0
A108,17/11/2016,02,27.1,27.2,27.1,86,86,82,24.4,24.4,23.9,980.2,980.2,979.1,1.1,236,2.2,-3.53,0.0
A108,17/11/2016,18,34.1,34.4,33.1,52,56,46,22.7,23.0,21.0,981.3,982.1,981.3,2.5,236,6.8,3009.,0.0
A108,17/11/2016,19,34.2,34.7,32.9,50,57,47,22.4,23.8,21.3,979.9,981.3,979.7,2.9,236,8.0,2464.,0.0
A108,17/11/2016,20,34.8,35.0,33.1,48,57,46,22.3,23.6,21.6,979.5,979.9,979.5,1.4,236,7.1,2048.,0.0
A108,17/11/2016,23,25.9,26.5,25.9,87,89,83,23.6,24.3,23.3,980.1,980.3,980.0,2.2,236,7.6,77.19,0.2
A108,17/11/2016,21,28.9,34.8,28.9,77,88,48,24.4,27.4,22.4,979.9,980.1,979.2,3.4,236,14.3,644.9,3.4
A108,17/11/2016,03,26.6,27.1,26.6,90,90,86,24.8,24.8,24.4,981.0,981.0,980.2,1.3,236,2.3,-3.54,0.0
A108,17/11/2016,04,26.2,26.7,26.2,91,92,90,24.6,25.1,24.6,981.1,981.2,981.0,1.3,236,2.5,-3.54,0.0
A108,17/11/2016,05,25.7,26.2,25.7,89,91,88,23.7,24.6,23.7,980.6,981.1,980.6,1.1,236,3.1,-3.54,0.0
A108,17/11/2016,06,25.5,25.7,25.5,89,90,89,23.6,23.8,23.6,980.3,980.6,980.2,0.8,236,3.1,-3.53,0.0
A108,17/11/2016,22,26.3,28.9,26.3,89,89,77,24.3,24.7,23.5,980.3,980.5,979.9,3.7,236,7.0,378.8,6.8
A108,17/11/2016,07,25.2,25.5,25.2,90,90,88,23.4,23.6,23.4,980.3,980.6,980.2,1.0,236,3.1,-3.54,0.0
A108,17/11/2016,08,24.9,25.2,24.9,90,92,90,23.2,23.5,23.2,980.4,980.4,980.1,1.2,236,2.7,-3.53,0.0
