codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A137,16/11/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A137,16/11/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A137,16/11/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A137,16/11/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A137,16/11/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A137,16/11/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A137,16/11/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A137,16/11/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A137,17/11/2016,18,23.0,25.0,22.3,////,////,////,////,////,////,980.1,981.4,980.1,////,////,////,767.6,21.2
A137,17/11/2016,16,32.8,33.0,30.8,////,////,////,////,////,////,980.6,981.2,980.6,3.7,22,6.3,1760.,0.0
A137,17/11/2016,15,32.4,32.4,30.1,////,////,////,////,////,////,981.2,981.2,980.9,1.9,35,5.1,1451.,0.0
A137,18/11/2016,19,25.9,25.9,25.2,////,////,////,////,////,////,983.2,984.5,983.2,////,////,////,799.1,0.2
A137,18/11/2016,20,25.8,26.9,25.5,////,////,////,////,////,////,982.4,983.2,982.4,////,////,////,956.0,0.0
A137,18/11/2016,21,26.1,26.2,25.7,////,////,////,////,////,////,981.4,982.4,981.4,////,////,////,946.4,0.0
A137,19/11/2016,16,27.3,27.3,25.1,////,////,////,////,////,////,985.0,986.1,985.0,////,////,////,1152.,0.0
A137,19/11/2016,17,28.0,28.2,26.4,////,////,////,////,////,////,983.9,985.0,983.9,////,////,////,1460.,0.0
A137,19/11/2016,18,27.5,29.5,27.3,////,////,////,////,////,////,982.6,983.9,982.6,////,////,////,1653.,0.0
A137,19/11/2016,19,29.9,30.3,27.5,////,////,////,////,////,////,981.3,982.6,981.3,////,////,////,1787.,0.0
A137,19/11/2016,20,28.6,30.8,28.1,////,////,////,////,////,////,980.4,981.3,980.4,////,////,////,1923.,0.0
A137,19/11/2016,21,27.9,29.6,27.9,////,////,////,////,////,////,979.8,980.4,979.8,////,////,////,1763.,0.0
A137,19/11/2016,22,26.5,27.9,26.5,////,////,////,////,////,////,979.9,979.9,979.8,////,////,////,1517.,0.0
A137,20/11/2016,18,34.3,34.3,30.6,////,////,////,////,////,////,979.2,980.5,979.2,////,////,////,2005.,0.0
A137,20/11/2016,19,33.5,34.8,31.4,////,////,////,////,////,////,978.2,979.2,978.2,////,////,////,2277.,0.0
A137,20/11/2016,20,32.6,34.0,31.7,////,////,////,////,////,////,977.4,978.2,977.4,////,////,////,2320.,0.0
A137,20/11/2016,21,32.0,33.4,31.3,////,////,////,////,////,////,977.2,977.4,977.2,////,////,////,2111.,0.0
A137,20/11/2016,22,30.1,32.0,30.0,////,////,////,////,////,////,977.2,977.3,977.1,////,////,////,1875.,0.0
A137,20/11/2016,16,31.3,31.4,29.2,////,////,////,////,////,////,981.2,981.9,981.2,////,////,////,1559.,0.0
A137,20/11/2016,17,31.2,31.7,30.4,////,////,////,////,////,////,980.5,981.2,980.5,////,////,////,1926.,0.0
A137,21/11/2016,16,31.9,32.5,31.4,////,////,////,////,////,////,982.4,983.0,982.4,////,////,////,1762.,0.0
A137,21/11/2016,17,33.5,34.0,31.5,////,////,////,////,////,////,981.5,982.4,981.5,////,////,////,2055.,0.0
A137,21/11/2016,18,34.2,35.4,33.0,////,////,////,////,////,////,980.4,981.5,980.4,////,////,////,2208.,0.0
A137,21/11/2016,19,33.6,35.3,33.3,////,////,////,////,////,////,979.2,980.4,979.2,////,////,////,2498.,0.0
A137,21/11/2016,20,34.7,34.9,32.6,////,////,////,////,////,////,978.3,979.2,978.3,////,////,////,2519.,0.0
A137,21/11/2016,21,34.4,34.8,32.5,////,////,////,////,////,////,977.5,978.3,977.5,////,////,////,2448.,0.0
A137,21/11/2016,22,33.0,34.9,32.4,////,////,////,////,////,////,977.3,977.5,977.3,////,////,////,2296.,0.0
A137,21/11/2016,23,30.3,33.0,30.1,////,////,////,////,////,////,977.8,977.8,977.3,////,////,////,2152.,0.0
A137,22/11/2016,22,34.2,35.4,34.0,////,////,////,////,////,////,977.4,977.4,977.0,////,////,////,2293.,0.0
A137,22/11/2016,16,32.3,33.4,31.1,////,////,////,////,////,////,981.9,982.4,981.9,////,////,////,1723.,0.0
A137,22/11/2016,17,34.2,34.4,32.4,////,////,////,////,////,////,981.1,981.9,981.1,////,////,////,2001.,0.0
A137,22/11/2016,18,35.8,35.8,34.1,////,////,////,////,////,////,980.0,981.1,980.0,////,////,////,2184.,0.0
A137,22/11/2016,19,35.4,36.3,34.1,////,////,////,////,////,////,978.7,980.0,978.6,////,////,////,2447.,0.0
A137,22/11/2016,20,35.4,36.5,34.1,////,////,////,////,////,////,977.4,978.7,977.4,////,////,////,2493.,0.0
A137,22/11/2016,21,35.0,36.0,33.7,////,////,////,////,////,////,977.0,977.4,977.0,////,////,////,2459.,0.0
A137,23/11/2016,22,30.7,32.1,29.7,////,////,////,////,////,////,978.8,978.8,978.4,////,////,////,1592.,0.0
A137,23/11/2016,16,28.4,29.8,28.4,////,////,////,////,////,////,984.4,985.1,984.4,////,////,////,1321.,0.0
A137,23/11/2016,15,29.0,29.1,26.0,////,////,////,////,////,////,985.1,985.7,985.1,////,////,////,949.4,0.0
A137,23/11/2016,17,30.4,30.9,28.3,////,////,////,////,////,////,983.4,984.4,983.4,////,////,////,1344.,0.0
A137,23/11/2016,18,29.6,31.2,28.9,////,////,////,////,////,////,982.2,983.4,982.2,////,////,////,1539.,0.0
A137,23/11/2016,19,30.2,32.3,29.7,////,////,////,////,////,////,980.6,982.2,980.6,////,////,////,1570.,0.0
A137,23/11/2016,20,32.3,33.0,30.2,////,////,////,////,////,////,979.5,980.6,979.5,////,////,////,1674.,0.0
A137,23/11/2016,21,31.5,32.4,30.1,////,////,////,////,////,////,978.7,979.5,978.7,////,////,////,1684.,0.0
A137,24/11/2016,17,30.3,32.5,30.2,////,////,////,////,////,////,982.3,983.1,982.3,////,////,////,1625.,0.0
A137,24/11/2016,18,32.7,33.7,30.3,////,////,////,////,////,////,980.9,982.3,980.9,////,////,////,1660.,0.0
A137,24/11/2016,19,32.8,34.4,32.0,////,////,////,////,////,////,979.7,980.9,979.7,////,////,////,1997.,0.0
A137,24/11/2016,20,31.5,34.8,31.5,////,////,////,////,////,////,978.6,979.8,978.6,////,////,////,2076.,0.0
A137,24/11/2016,21,29.7,31.9,29.7,////,////,////,////,////,////,977.9,978.6,977.9,////,////,////,1847.,0.0
A137,24/11/2016,22,29.4,29.9,28.8,////,////,////,////,////,////,978.3,978.5,977.9,////,////,////,1395.,0.0
A137,24/11/2016,15,29.5,30.0,28.3,////,////,////,////,////,////,984.0,984.5,983.9,////,////,////,1147.,0.0
A137,24/11/2016,16,31.8,31.8,29.5,////,////,////,////,////,////,983.0,984.0,983.0,////,////,////,1395.,0.0
A137,25/11/2016,15,25.8,26.0,25.1,////,////,////,////,////,////,985.0,985.4,984.9,////,////,////,710.4,0.0
A137,25/11/2016,16,27.1,27.8,25.7,////,////,////,////,////,////,984.3,985.0,984.0,////,////,////,912.3,0.0
A137,25/11/2016,17,26.7,27.5,26.5,////,////,////,////,////,////,984.1,984.2,983.7,////,////,////,1068.,0.0
A137,26/11/2016,15,29.1,29.2,26.1,////,////,////,////,////,////,985.7,985.7,985.5,0.9,167,3.2,1090.,0.0
A137,26/11/2016,16,29.9,30.9,28.5,////,////,////,////,////,////,985.6,985.9,985.6,1.2,360,3.7,1432.,0.0
A137,26/11/2016,17,30.1,31.0,28.8,////,////,////,////,////,////,984.6,985.6,984.6,1.3,296,3.7,1664.,0.0
