codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A427,16/11/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,16/11/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A427,17/11/2016,00,24.1,24.1,23.9,95,95,94,23.1,23.1,22.8,1001.8,1002.0,1001.8,1.9,19,4.2,-2.12,0.2
A427,17/11/2016,18,26.9,27.9,26.9,80,82,79,23.2,24.1,23.2,999.8,1000.0,999.6,2.2,20,6.9,539.6,0.0
A427,17/11/2016,19,25.0,26.9,24.9,91,92,80,23.5,23.5,22.6,999.7,1000.0,999.5,1.2,27,5.9,154.7,2.6
A427,17/11/2016,20,24.8,25.1,24.8,90,92,90,23.1,23.6,23.0,999.8,999.9,999.7,2.0,33,4.5,173.0,0.0
A427,17/11/2016,21,24.3,24.8,24.2,89,90,89,22.4,23.1,22.3,999.8,999.9,999.6,1.3,8,5.1,59.80,0.0
A427,17/11/2016,05,24.5,24.5,24.4,93,94,93,23.3,23.4,23.2,999.7,1000.3,999.7,2.7,17,6.9,-2.60,0.0
A427,17/11/2016,06,24.5,24.6,24.4,92,93,92,23.2,23.3,23.2,999.8,999.8,999.5,2.2,10,8.0,-1.64,0.0
A427,17/11/2016,01,24.1,24.1,24.1,95,95,94,23.2,23.2,23.1,1001.6,1001.8,1001.6,2.0,16,5.2,-2.53,0.0
A427,17/11/2016,07,24.2,24.6,24.2,93,93,92,23.0,23.2,22.9,1000.5,1000.6,999.8,1.4,343,5.9,-2.48,0.0
A427,17/11/2016,22,24.3,24.4,24.0,90,91,89,22.6,22.7,22.3,1000.4,1000.4,999.8,1.9,26,5.5,-3.53,0.0
A427,17/11/2016,08,24.0,24.3,24.0,93,93,93,22.8,23.0,22.8,1000.7,1000.7,1000.5,1.5,356,3.7,-2.01,0.0
A427,17/11/2016,02,24.3,24.3,24.1,95,95,95,23.3,23.4,23.2,1000.9,1001.6,1000.9,2.7,15,6.5,-1.97,0.0
A427,17/11/2016,09,24.2,24.2,24.0,93,93,93,22.9,22.9,22.8,1001.0,1001.0,1000.5,2.1,4,5.1,60.22,0.0
A427,17/11/2016,23,24.1,24.4,24.1,91,91,90,22.6,22.7,22.5,1000.5,1000.5,1000.3,1.5,27,5.1,-3.51,0.0
A427,17/11/2016,10,24.6,24.6,24.2,92,93,92,23.3,23.3,22.9,1001.8,1001.8,1001.0,1.5,353,4.5,189.2,0.0
A427,17/11/2016,11,25.1,25.1,24.6,91,92,91,23.4,23.5,23.3,1002.0,1002.0,1001.8,2.3,7,5.2,376.6,0.0
A427,17/11/2016,03,24.3,24.3,24.2,94,95,94,23.3,23.4,23.2,1000.6,1000.9,1000.4,2.5,19,6.7,-2.42,0.0
A427,17/11/2016,12,26.3,26.3,25.1,85,91,85,23.6,23.9,23.4,1002.5,1002.5,1002.0,2.8,357,7.2,916.3,0.0
A427,17/11/2016,13,27.1,27.5,25.6,81,88,79,23.5,24.5,23.1,1002.4,1002.5,1002.3,2.4,7,7.6,1772.,0.0
A427,17/11/2016,14,28.3,28.9,26.7,74,82,72,23.2,24.3,23.1,1001.9,1002.4,1001.9,4.0,5,8.4,2604.,0.0
A427,17/11/2016,15,29.7,29.7,28.1,72,77,72,24.2,24.5,23.2,1001.5,1002.0,1001.5,3.0,354,8.5,2745.,0.0
A427,17/11/2016,04,24.5,24.5,24.3,94,94,94,23.4,23.4,23.3,1000.3,1000.6,1000.3,2.6,10,6.4,-1.20,0.0
A427,17/11/2016,16,25.5,29.8,25.5,86,86,71,23.0,24.4,22.4,1000.4,1001.5,1000.4,2.6,30,8.9,1957.,0.6
A427,17/11/2016,17,27.9,28.6,25.5,80,89,80,24.3,25.7,22.9,999.8,1000.4,999.8,1.8,45,6.0,1256.,0.0
A427,18/11/2016,07,24.2,24.3,24.1,92,93,92,22.9,23.0,22.9,998.8,999.0,998.8,2.2,2,6.6,-3.04,0.0
A427,18/11/2016,00,24.4,24.4,24.1,92,92,91,23.0,23.0,22.6,1000.8,1000.8,1000.5,2.4,25,5.3,-3.01,0.0
A427,18/11/2016,08,24.1,24.2,24.1,92,92,92,22.8,22.9,22.7,999.0,999.1,998.8,2.0,2,6.0,-1.07,0.0
A427,18/11/2016,09,24.3,24.3,24.1,92,92,92,22.9,22.9,22.7,999.5,999.5,999.0,2.2,10,5.5,121.2,0.0
A427,18/11/2016,10,25.3,25.3,24.3,86,92,86,22.8,23.4,22.8,999.6,999.6,999.4,3.4,360,9.7,614.4,0.0
A427,18/11/2016,11,27.8,27.9,25.2,76,87,75,23.2,24.2,22.6,999.9,1000.0,999.6,3.0,2,8.5,1755.,0.0
A427,18/11/2016,12,27.5,28.6,27.3,75,77,72,22.8,23.6,22.4,1000.5,1000.5,1000.0,2.2,327,8.4,1979.,0.0
A427,18/11/2016,13,28.8,29.0,27.4,71,76,69,23.1,23.7,22.4,1000.1,1000.5,1000.1,2.4,347,8.1,1878.,0.0
A427,18/11/2016,14,30.2,30.2,28.5,67,73,65,23.3,23.7,22.1,999.3,1000.1,999.3,2.6,8,8.4,2548.,0.0
A427,18/11/2016,01,24.4,24.5,24.3,92,92,92,23.1,23.1,22.9,1001.3,1001.3,1000.8,2.0,11,5.6,-3.09,0.0
A427,18/11/2016,15,29.6,31.0,29.5,67,68,63,22.7,23.9,22.1,998.6,999.4,998.6,2.6,5,6.7,2009.,0.0
A427,18/11/2016,16,29.7,30.3,28.3,71,76,64,23.9,24.3,22.4,997.4,998.6,997.4,2.2,14,9.2,1795.,0.0
A427,18/11/2016,17,30.0,31.0,29.4,64,72,63,22.6,24.1,22.5,996.2,997.4,996.2,3.2,22,8.5,2211.,0.0
A427,18/11/2016,18,29.9,30.8,29.4,64,68,63,22.4,23.6,22.1,996.1,996.4,996.0,4.3,32,8.5,1742.,0.0
A427,18/11/2016,19,28.7,29.9,28.7,66,67,63,21.8,22.5,21.8,995.9,996.3,995.8,2.8,20,8.8,1025.,0.0
A427,18/11/2016,20,27.1,28.7,27.1,71,71,66,21.5,21.7,21.5,995.8,996.2,995.8,3.2,36,8.8,372.5,0.0
A427,18/11/2016,02,24.6,24.6,24.4,92,92,92,23.2,23.2,23.1,1001.3,1001.5,1001.2,2.1,15,5.4,-1.38,0.0
A427,18/11/2016,21,26.0,27.1,26.0,76,76,71,21.4,21.5,21.3,996.8,996.8,995.6,3.1,15,8.5,70.55,0.0
A427,18/11/2016,23,25.1,25.4,25.0,83,83,80,22.0,22.0,21.6,998.5,998.6,997.9,2.8,26,6.8,-3.53,0.0
A427,18/11/2016,03,24.4,24.6,24.4,92,92,92,23.0,23.2,23.0,1000.5,1001.3,1000.5,2.5,11,5.3,-1.77,0.0
