codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A401,17/11/2016,22,25.9,26.1,25.9,80,80,79,22.3,22.3,22.1,1003.9,1004.1,1003.7,2.7,58,10.0,-3.54,0.0
A401,17/11/2016,00,26.2,26.4,26.1,80,80,79,22.4,22.5,22.2,1005.7,1005.9,1005.6,3.2,53,8.8,-3.49,0.0
A401,17/11/2016,06,25.2,25.3,25.1,84,84,83,22.2,22.2,22.0,1004.6,1004.6,1004.4,1.7,43,5.5,-3.53,0.0
A401,17/11/2016,07,25.3,25.3,25.1,84,84,83,22.3,22.3,22.2,1004.7,1004.7,1004.5,1.7,43,6.0,-3.27,0.0
A401,17/11/2016,08,25.3,25.4,25.1,83,84,83,22.2,22.3,22.2,1005.2,1005.2,1004.7,1.5,43,5.0,-2.13,0.0
A401,17/11/2016,09,25.6,25.6,25.3,82,83,82,22.3,22.3,22.1,1005.9,1005.9,1005.2,1.6,38,4.6,146.3,0.0
A401,17/11/2016,10,27.3,27.3,25.6,75,82,75,22.6,23.1,22.2,1006.1,1006.1,1005.8,2.4,40,6.2,822.0,0.0
A401,17/11/2016,11,28.0,28.0,26.0,74,79,74,22.9,23.2,21.7,1006.2,1006.3,1006.1,2.0,30,7.5,1076.,0.0
A401,17/11/2016,12,28.8,29.4,27.6,67,74,64,22.0,23.2,21.2,1006.3,1006.3,1006.1,1.8,46,7.2,1770.,0.0
A401,17/11/2016,13,29.1,31.8,28.8,64,67,56,21.5,23.4,21.2,1006.4,1006.4,1006.2,1.2,229,4.7,2370.,0.0
A401,17/11/2016,14,27.7,29.1,26.6,82,82,64,24.4,24.4,21.7,1006.1,1006.4,1006.1,0.8,147,4.0,613.3,0.6
A401,17/11/2016,01,26.2,26.3,26.1,79,80,79,22.3,22.4,22.3,1006.3,1006.3,1005.6,2.4,49,8.8,-3.19,0.0
A401,17/11/2016,23,25.7,26.0,25.7,81,81,80,22.2,22.3,22.2,1004.3,1004.3,1003.9,2.6,63,9.7,-3.54,0.0
A401,17/11/2016,15,26.2,27.9,25.4,86,87,78,23.7,24.3,22.1,1005.6,1006.3,1005.6,1.6,97,6.2,705.3,4.2
A401,17/11/2016,16,29.1,29.1,26.2,74,87,74,23.9,24.6,23.0,1004.8,1005.6,1004.8,2.0,74,6.8,2437.,0.0
A401,17/11/2016,02,26.1,26.2,26.0,79,80,79,22.2,22.3,22.1,1006.2,1006.5,1006.1,1.7,44,6.5,-3.09,0.0
A401,17/11/2016,17,28.4,29.7,27.8,72,74,68,22.9,23.8,22.3,1004.2,1004.9,1004.2,2.2,72,10.2,2550.,0.0
A401,17/11/2016,18,28.6,28.8,27.6,70,75,70,22.7,23.4,22.3,1003.2,1004.2,1003.2,3.2,81,8.5,1488.,0.0
A401,17/11/2016,03,25.7,26.1,25.7,80,81,79,22.1,22.4,22.1,1005.5,1006.2,1005.5,2.3,42,5.5,-3.03,0.0
A401,17/11/2016,19,28.0,28.6,27.8,72,73,70,22.5,22.9,22.1,1003.1,1003.2,1002.8,2.3,66,9.8,1464.,0.0
A401,17/11/2016,20,26.6,28.1,26.6,78,78,72,22.4,22.7,22.2,1003.3,1003.3,1003.1,1.9,65,8.7,494.1,0.0
A401,17/11/2016,04,25.4,25.8,25.3,82,82,80,22.1,22.2,22.0,1005.0,1005.5,1005.0,1.2,47,6.3,-3.48,0.0
A401,17/11/2016,21,26.1,26.6,26.1,79,79,77,22.3,22.5,22.1,1003.8,1003.8,1003.3,2.0,55,7.7,52.50,0.0
A401,17/11/2016,05,25.2,25.5,25.2,83,83,82,22.1,22.3,22.0,1004.5,1005.0,1004.5,1.8,48,6.2,-3.14,0.0
A401,18/11/2016,10,26.6,26.6,24.5,80,87,80,22.9,22.9,22.2,1004.6,1004.7,1004.5,1.3,20,4.0,584.3,0.0
A401,18/11/2016,11,27.3,28.2,26.6,69,80,67,21.2,22.9,20.8,1004.8,1004.8,1004.4,1.9,29,7.2,1638.,0.0
A401,18/11/2016,12,28.6,30.7,27.3,61,69,57,20.3,22.3,20.3,1005.1,1005.1,1004.8,1.5,358,7.2,2187.,0.0
A401,18/11/2016,01,25.5,25.7,25.4,82,82,82,22.2,22.4,22.1,1005.1,1005.2,1004.9,2.1,56,8.9,-3.54,0.0
A401,18/11/2016,13,27.9,30.9,27.8,69,70,56,21.5,21.9,19.8,1004.8,1005.2,1004.8,0.7,28,5.2,1698.,0.0
A401,18/11/2016,14,28.5,29.2,27.8,67,70,65,21.7,22.8,21.5,1004.1,1004.8,1004.1,0.9,267,4.1,1140.,0.0
A401,18/11/2016,23,25.7,25.9,25.7,80,80,78,21.9,22.0,21.7,1002.7,1002.7,1001.5,2.7,50,9.3,-3.54,0.0
A401,18/11/2016,15,31.1,31.3,28.4,59,70,59,22.1,23.5,21.1,1003.7,1004.1,1003.7,1.9,87,5.5,2894.,0.0
A401,18/11/2016,16,31.4,31.7,30.0,58,63,57,22.1,22.9,21.4,1002.5,1003.7,1002.5,1.8,72,5.8,3386.,0.0
A401,18/11/2016,17,29.8,31.4,29.7,62,63,58,21.7,22.9,21.2,1001.6,1002.5,1001.6,2.4,67,7.8,3083.,0.0
A401,18/11/2016,02,25.4,25.6,25.4,81,82,81,22.0,22.3,22.0,1005.3,1005.5,1005.1,2.1,39,10.1,-3.54,0.0
