codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A347,17/11/2016,00,30.0,30.9,30.0,31,31,29,10.9,10.9,10.6,944.7,944.7,943.7,0.0,59,0.0,-3.54,0.0
A347,17/11/2016,01,29.3,30.0,29.3,32,32,31,11.0,11.0,10.9,945.1,945.1,944.7,0.0,59,0.0,-3.54,0.0
A347,17/11/2016,02,28.3,29.3,28.2,35,35,32,11.2,11.2,11.0,945.3,945.4,945.1,0.0,90,0.0,-3.54,0.0
A347,17/11/2016,12,24.3,24.5,23.6,63,69,62,16.8,17.5,16.8,947.3,947.4,946.9,2.7,77,8.4,737.2,0.0
A347,17/11/2016,13,26.7,26.7,24.3,54,63,53,16.6,17.0,15.9,947.4,947.6,947.3,3.0,74,9.2,1082.,0.0
A347,17/11/2016,14,26.8,27.5,26.2,53,56,51,16.5,16.7,15.9,947.6,947.7,947.4,0.0,76,9.2,1562.,0.0
A347,17/11/2016,15,28.2,28.2,26.7,48,54,48,16.2,16.6,16.0,947.2,947.6,947.2,0.2,69,9.0,1530.,0.0
A347,17/11/2016,03,28.3,28.3,27.7,35,36,35,11.5,11.5,11.1,945.6,945.6,945.3,0.0,55,0.0,-3.54,0.0
A347,17/11/2016,04,27.8,28.4,27.8,44,44,35,14.3,14.3,11.4,945.4,945.6,945.4,1.1,63,9.2,-3.54,0.0
A347,17/11/2016,16,29.7,30.5,28.1,42,48,40,15.3,16.3,15.2,946.6,947.3,946.6,0.0,78,7.8,2267.,0.0
A347,17/11/2016,17,31.7,31.9,29.6,35,42,35,14.5,15.7,14.5,945.3,946.6,945.3,0.1,90,7.3,3204.,0.0
A347,17/11/2016,05,26.7,27.8,26.7,50,50,44,15.4,15.4,14.3,945.2,945.4,945.1,0.0,67,9.2,-3.54,0.0
A347,17/11/2016,18,32.7,33.0,30.7,32,37,32,13.7,14.8,13.6,944.2,945.4,944.2,0.0,77,7.1,2322.,0.0
A347,17/11/2016,19,33.9,33.9,32.0,29,32,29,13.2,14.1,12.7,943.4,944.2,943.4,0.0,75,5.8,2128.,0.0
A347,17/11/2016,06,25.3,26.7,25.3,56,56,50,16.0,16.0,15.4,945.0,945.2,944.9,0.0,51,8.6,-3.54,0.0
A347,17/11/2016,07,24.3,25.3,24.3,61,61,56,16.2,16.4,16.0,945.0,945.0,944.9,0.3,54,9.0,-3.54,0.0
A347,17/11/2016,20,33.8,34.6,33.0,27,29,27,12.4,13.1,11.8,942.6,943.4,942.6,0.0,60,6.0,1731.,0.0
A347,17/11/2016,21,33.5,34.3,33.2,27,28,26,12.2,12.6,12.0,942.4,942.7,942.3,0.0,66,4.3,1156.,0.0
A347,17/11/2016,08,23.5,24.3,23.5,66,66,61,16.8,16.8,16.2,945.2,945.2,945.0,0.0,60,9.0,-3.54,0.0
A347,17/11/2016,22,32.2,33.5,32.2,29,29,27,12.2,12.5,12.1,942.6,942.6,942.3,0.0,62,2.1,303.5,0.0
A347,17/11/2016,23,30.9,32.2,30.9,32,32,29,12.4,12.4,12.2,943.0,943.0,942.5,0.0,39,0.0,-1.46,0.0
A347,17/11/2016,09,22.9,23.5,22.9,70,70,66,17.0,17.1,16.8,945.5,945.5,945.2,0.0,56,7.0,-3.54,0.0
A347,17/11/2016,10,22.6,22.8,22.6,73,73,70,17.5,17.5,17.1,946.4,946.4,945.5,0.1,65,6.6,17.30,0.0
A347,17/11/2016,11,23.6,23.6,22.6,69,73,69,17.5,17.6,17.4,946.9,946.9,946.3,0.2,56,7.3,338.6,0.0
A347,18/11/2016,04,26.3,27.6,26.1,43,44,40,12.8,12.9,12.6,944.0,944.5,944.0,0.0,99,0.0,-3.54,0.0
A347,18/11/2016,16,33.9,33.9,31.2,30,38,30,13.9,15.9,13.6,944.2,944.8,944.1,0.1,113,5.8,3805.,0.0
A347,18/11/2016,17,34.0,34.7,32.5,28,32,27,13.1,14.2,12.8,943.1,944.2,943.1,0.0,37,5.8,3573.,0.0
A347,18/11/2016,18,36.1,36.1,33.6,24,28,24,12.5,13.5,12.1,942.0,943.1,942.0,0.0,106,2.3,3199.,0.0
A347,18/11/2016,19,36.1,37.1,34.6,22,25,21,11.3,12.3,11.0,940.9,942.0,940.9,0.0,92,0.0,2734.,0.0
A347,18/11/2016,05,26.0,26.3,25.6,46,46,43,13.6,13.6,12.6,944.4,944.5,944.0,0.0,70,0.0,-3.54,0.0
A347,18/11/2016,20,35.9,36.4,34.9,22,24,22,11.0,11.4,10.7,940.3,940.9,940.3,0.0,339,0.0,1397.,0.0
A347,18/11/2016,00,30.3,31.0,30.3,34,34,32,12.6,12.6,12.4,943.6,943.6,943.0,0.0,39,0.0,-3.54,0.0
A347,18/11/2016,21,35.2,36.6,35.1,22,22,21,10.2,11.0,10.2,940.3,940.3,940.1,0.0,63,0.0,895.3,0.0
A347,18/11/2016,22,34.4,35.2,34.3,23,23,22,9.9,10.2,9.9,940.5,940.5,940.3,0.0,43,0.0,111.5,0.0
A347,18/11/2016,23,33.5,34.4,33.5,24,24,23,10.1,10.1,9.9,941.4,941.4,940.5,0.0,44,0.0,-3.16,0.0
