codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A002,16/11/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,16/11/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A002,17/11/2016,11,25.2,25.2,23.0,76,83,75,20.6,20.8,19.7,929.8,929.8,929.3,0.6,322,3.3,1080.,0.0
A002,17/11/2016,12,26.7,26.7,24.8,66,76,65,19.7,20.7,19.1,930.4,930.4,929.8,2.1,320,6.3,2077.,0.0
A002,17/11/2016,01,22.4,22.5,21.7,81,85,81,19.1,19.3,18.9,928.5,928.5,927.7,0.8,310,2.7,-3.26,0.0
A002,17/11/2016,13,28.4,28.4,26.2,61,67,60,20.2,20.4,18.9,930.2,930.5,930.2,1.8,342,6.3,2828.,0.0
A002,17/11/2016,02,22.1,22.5,21.9,84,85,81,19.3,19.4,19.0,928.4,928.6,928.2,0.4,327,1.9,-3.04,0.0
A002,17/11/2016,14,28.9,29.5,27.6,55,63,54,18.9,21.2,18.3,929.8,930.4,929.8,2.4,330,5.8,3242.,0.0
A002,17/11/2016,23,24.3,24.5,24.3,71,71,69,18.8,18.8,18.5,928.5,928.5,927.4,0.8,109,3.4,-3.22,0.0
A002,17/11/2016,15,29.4,29.5,27.2,53,65,52,19.0,21.2,18.3,929.4,929.8,929.3,2.2,300,6.5,3310.,0.0
A002,17/11/2016,16,27.3,29.4,24.7,70,76,48,21.2,22.8,16.9,928.7,929.6,928.7,1.9,43,6.4,2008.,6.2
A002,17/11/2016,17,29.5,29.5,26.2,60,72,57,20.8,21.9,19.3,927.9,928.6,927.9,1.7,289,8.3,2558.,0.0
A002,17/11/2016,18,27.1,29.6,27.1,62,63,53,19.2,20.6,18.3,927.1,927.9,927.0,1.5,296,5.5,1840.,0.0
A002,17/11/2016,03,21.6,22.2,21.6,87,87,84,19.3,19.4,19.0,928.6,928.6,928.4,0.6,244,2.1,-3.49,0.0
A002,17/11/2016,19,26.6,27.4,26.6,63,69,61,19.0,20.8,19.0,926.8,927.2,926.8,1.9,279,4.5,886.0,0.0
A002,17/11/2016,22,24.5,25.8,24.5,69,69,65,18.5,19.2,18.5,927.4,927.4,927.0,1.5,125,3.5,18.36,0.0
A002,17/11/2016,20,26.5,27.1,26.2,65,68,60,19.4,20.0,18.6,926.8,926.9,926.6,1.2,296,4.5,835.2,0.0
A002,17/11/2016,21,25.8,26.5,25.7,67,68,63,19.2,19.6,19.0,927.0,927.1,926.7,1.0,308,2.7,307.4,0.0
A002,17/11/2016,04,21.6,21.9,21.6,87,87,85,19.3,19.4,19.2,928.1,928.6,928.1,0.4,299,2.1,-3.32,0.0
A002,17/11/2016,05,21.2,21.7,21.2,87,87,86,19.1,19.4,19.0,927.4,928.1,927.3,0.2,279,2.0,-3.38,0.0
A002,17/11/2016,06,20.9,21.2,20.8,90,90,87,19.2,19.2,18.9,927.4,927.5,927.2,0.2,302,1.9,-3.37,0.0
A002,17/11/2016,07,21.0,21.1,20.7,90,91,90,19.3,19.5,19.1,927.9,927.9,927.4,0.2,341,1.6,-3.25,0.0
A002,17/11/2016,08,20.5,21.0,20.5,92,92,90,19.1,19.3,18.9,928.1,928.1,927.8,0.3,329,1.4,-3.39,0.0
A002,17/11/2016,09,20.5,20.6,20.2,92,92,92,19.2,19.2,18.9,928.8,928.8,928.1,0.1,338,1.2,19.87,0.0
A002,17/11/2016,00,21.9,22.8,21.9,84,84,78,19.0,19.1,18.8,927.7,927.7,926.4,0.7,329,1.7,-3.54,0.0
A002,17/11/2016,10,23.3,23.3,20.5,83,92,83,20.2,20.5,19.3,929.3,929.3,928.8,0.8,344,1.9,606.2,0.0
A002,18/11/2016,03,23.1,23.6,23.0,87,87,83,20.8,20.8,20.6,928.8,929.6,928.8,0.0,232,1.3,-3.04,0.0
A002,18/11/2016,04,23.3,23.4,23.1,84,87,84,20.5,20.8,20.4,928.6,928.8,928.6,0.7,329,2.6,-2.15,0.0
A002,18/11/2016,05,22.9,23.3,22.9,83,86,82,19.8,20.6,19.8,928.3,928.6,928.3,1.3,261,4.6,-0.61,0.0
A002,18/11/2016,06,21.4,22.9,21.4,87,87,81,19.1,19.8,19.1,928.5,928.5,928.1,2.0,126,4.0,-1.27,0.0
A002,18/11/2016,07,21.2,21.4,21.2,88,89,87,19.0,19.3,19.0,928.6,928.7,928.5,1.0,163,3.7,-2.28,0.0
A002,18/11/2016,08,21.0,21.2,20.9,89,90,87,19.1,19.2,19.0,928.7,928.7,928.6,1.2,124,3.0,-3.09,0.2
A002,18/11/2016,09,20.8,21.0,20.7,89,89,89,18.9,19.1,18.8,928.7,928.7,928.6,1.2,133,3.4,8.995,0.0
A002,18/11/2016,10,21.5,21.5,20.7,88,90,88,19.4,19.4,18.9,928.8,928.8,928.7,0.9,111,3.5,267.3,0.0
