codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A557,17/11/2016,22,23.0,23.9,23.0,////,////,////,////,////,////,////,////,////,0.4,275,1.9,-0.21,0.0
A557,17/11/2016,00,22.5,23.7,22.5,100,100,83,22.5,23.0,20.5,////,////,////,0.8,183,1.7,-3.54,0.0
A557,17/11/2016,23,22.5,23.1,22.5,////,////,////,////,////,////,////,////,////,1.2,244,2.8,-2.38,0.0
A557,17/11/2016,09,22.0,22.0,21.4,////,////,////,////,////,////,////,////,////,1.2,38,1.9,79.05,0.0
A557,17/11/2016,10,21.8,22.0,21.8,////,////,////,////,////,////,////,////,////,2.9,187,7.0,28.33,0.6
A557,17/11/2016,11,22.6,22.6,21.2,////,////,////,////,////,////,////,////,////,0.9,55,7.0,381.3,0.2
A557,17/11/2016,01,22.0,22.6,22.0,100,////,////,22.0,////,////,////,////,////,2.3,230,3.4,-3.54,0.0
A557,17/11/2016,12,23.9,24.2,22.3,81,99,79,20.5,22.2,19.6,////,////,////,2.5,45,4.9,1851.,0.0
A557,17/11/2016,13,26.0,26.4,23.7,73,82,68,20.9,21.5,19.6,////,////,////,1.3,14,4.0,2522.,0.0
A557,17/11/2016,02,21.8,22.1,21.8,////,////,////,////,////,////,////,////,////,1.7,248,3.4,-2.37,0.0
A557,17/11/2016,03,22.0,22.0,21.6,////,////,////,////,////,////,////,////,////,1.6,312,3.1,-2.08,0.0
A557,17/11/2016,14,29.2,29.4,26.1,61,74,58,20.8,22.2,19.7,////,////,////,2.0,46,4.2,3283.,0.0
A557,17/11/2016,15,30.0,30.6,28.9,58,64,55,20.9,22.4,19.6,////,////,////,1.3,354,5.5,3669.,0.0
A557,17/11/2016,04,22.0,22.2,21.9,////,////,////,////,////,////,////,////,////,1.8,235,3.1,-0.80,0.0
A557,17/11/2016,16,31.1,31.2,29.6,52,59,52,20.2,21.6,19.6,////,////,////,1.2,304,3.2,3284.,0.0
A557,17/11/2016,17,31.8,32.2,30.8,51,58,48,20.5,22.2,19.5,////,////,////,1.1,343,4.8,3086.,0.0
A557,17/11/2016,05,22.2,22.2,22.0,////,////,////,////,////,////,////,////,////,0.2,242,2.8,-0.71,0.0
A557,17/11/2016,18,31.1,32.4,30.3,58,59,48,21.8,22.0,19.7,////,////,////,4.4,21,6.6,1977.,0.0
A557,17/11/2016,19,23.9,31.2,23.7,////,100,52,////,24.0,17.6,////,////,////,2.0,230,9.8,571.5,3.6
A557,17/11/2016,20,23.9,24.0,23.7,////,////,////,////,////,////,////,////,////,2.6,182,5.5,319.7,0.0
