codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A507,17/11/2016,22,26.2,26.7,26.2,62,63,60,18.4,18.6,18.3,911.9,911.9,911.6,0.6,304,4.3,14.82,0.0
A507,17/11/2016,00,25.7,26.3,25.6,62,64,60,17.8,18.3,17.8,911.2,911.2,910.1,1.1,306,2.9,-3.54,0.0
A507,17/11/2016,07,21.0,21.6,20.9,79,79,67,17.1,17.1,15.3,911.8,911.9,911.3,0.6,331,4.4,-3.13,0.0
A507,17/11/2016,08,20.7,21.4,20.7,74,79,72,15.8,17.2,15.8,912.7,912.7,911.7,1.8,319,4.9,-3.50,0.0
A507,17/11/2016,09,20.4,20.7,20.0,80,81,74,16.8,16.9,15.8,913.2,913.2,912.7,1.1,277,4.8,15.43,0.0
A507,17/11/2016,10,21.7,21.7,20.4,73,80,73,16.5,17.0,16.5,913.5,913.5,913.2,1.2,24,3.1,246.5,0.0
A507,17/11/2016,11,22.2,22.2,21.3,76,78,71,17.8,17.8,16.2,914.7,914.7,913.5,1.1,344,4.3,659.8,0.0
A507,17/11/2016,12,23.3,23.6,22.2,64,76,64,16.1,17.6,16.1,915.0,915.1,914.7,2.5,246,5.9,1702.,0.0
A507,17/11/2016,13,26.4,26.9,23.2,54,65,54,16.5,18.0,15.8,915.2,915.2,915.0,1.8,228,6.7,3158.,0.0
A507,17/11/2016,14,25.8,26.4,25.3,60,62,54,17.5,18.1,16.1,914.8,915.2,914.8,2.2,208,5.7,1886.,0.0
A507,17/11/2016,15,25.8,26.9,25.4,64,67,57,18.5,19.3,17.3,914.6,914.9,914.5,2.4,270,5.7,1976.,0.0
A507,17/11/2016,01,25.2,25.7,25.0,64,66,62,17.8,18.2,17.8,912.0,912.0,911.2,1.3,301,3.7,-3.54,0.0
A507,17/11/2016,23,21.5,26.2,18.7,97,97,61,21.0,21.0,16.3,913.2,913.8,911.9,2.7,87,16.6,2.338,19.4
A507,17/11/2016,16,24.3,26.3,24.3,71,76,61,18.6,19.9,18.2,913.8,914.6,913.8,1.4,290,5.2,1146.,0.2
A507,17/11/2016,17,25.4,25.8,24.3,62,74,58,17.6,19.5,16.4,912.9,913.8,912.9,2.2,259,4.2,1363.,0.2
A507,17/11/2016,02,24.6,25.2,24.5,64,65,62,17.3,17.8,17.2,912.3,912.3,912.0,1.5,32,3.0,-3.53,0.0
A507,17/11/2016,18,26.6,26.8,25.4,55,64,54,16.7,18.9,16.4,911.9,912.9,911.9,1.4,334,4.2,1607.,0.0
A507,17/11/2016,19,27.8,28.1,26.6,49,56,47,16.2,17.2,15.2,911.4,911.9,911.2,2.4,286,4.4,1742.,0.0
A507,17/11/2016,03,23.9,24.6,23.9,68,68,64,17.6,17.7,17.2,911.8,912.3,911.8,0.0,44,2.8,-3.53,0.0
A507,17/11/2016,20,27.2,28.0,27.1,54,55,49,16.9,17.5,16.3,911.6,911.6,911.3,2.1,280,5.7,829.9,0.0
A507,17/11/2016,04,24.3,24.3,23.8,65,69,65,17.5,17.9,17.4,911.7,912.0,911.7,0.9,318,2.6,-3.33,0.0
A507,17/11/2016,05,23.6,24.5,23.6,69,69,64,17.6,17.6,17.0,911.5,911.7,911.4,1.7,339,5.0,-3.42,0.0
A507,17/11/2016,21,26.7,27.7,26.7,60,60,53,18.2,18.2,16.9,911.6,911.6,911.2,1.9,298,4.7,430.1,0.0
A507,17/11/2016,06,21.5,23.6,21.5,67,81,66,15.2,18.4,14.9,911.3,911.6,911.3,1.2,264,5.5,-3.43,0.0
A507,18/11/2016,12,24.7,24.9,22.9,70,84,70,18.8,20.4,18.8,913.9,913.9,913.5,0.9,300,4.1,2008.,0.0
A507,18/11/2016,13,26.7,26.7,24.4,62,72,61,18.9,19.4,17.8,913.7,914.0,913.7,1.7,324,4.2,2527.,0.0
A507,18/11/2016,14,26.9,27.6,25.9,50,64,50,15.6,18.8,15.6,913.5,913.7,913.5,1.4,274,4.8,2609.,0.0
A507,18/11/2016,01,21.0,21.9,21.0,96,97,96,20.4,21.4,20.4,914.6,914.6,913.6,2.6,181,9.0,1.686,0.0
A507,18/11/2016,15,26.5,28.2,26.4,58,60,50,17.7,18.8,15.7,913.1,913.5,913.1,2.5,251,5.9,1774.,0.0
A507,18/11/2016,23,24.0,25.3,24.0,61,61,56,16.0,16.1,15.7,912.2,912.2,911.8,1.4,212,3.9,-3.54,0.0
A507,18/11/2016,16,24.0,26.7,23.8,76,82,56,19.6,20.4,17.2,912.5,913.1,912.5,1.0,308,5.9,776.6,2.4
A507,18/11/2016,17,28.1,28.2,24.0,58,85,56,19.0,22.1,18.5,911.6,912.6,911.6,3.3,249,6.9,2597.,0.4
A507,18/11/2016,02,20.6,21.0,20.6,95,96,95,19.8,20.4,19.8,914.7,914.7,914.5,2.0,179,6.2,1.285,0.0
A507,18/11/2016,18,28.1,28.8,26.7,52,61,49,17.3,19.0,16.5,911.3,911.6,911.2,3.9,248,8.7,1833.,0.0
