codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A240,16/11/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A240,16/11/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A240,16/11/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A240,16/11/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A240,16/11/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A240,16/11/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A240,17/11/2016,22,27.7,28.3,27.5,81,82,77,24.1,24.6,23.5,993.3,993.3,992.5,0.6,298,0.9,3.169,0.0
A240,17/11/2016,18,35.1,////,////,46,////,////,21.8,////,////,993.1,////,////,////,////,////,668.6,2.4
A240,17/11/2016,19,34.1,35.2,33.4,49,51,45,22.0,22.5,20.6,992.4,993.1,992.4,0.7,30,4.0,1834.,0.0
A240,17/11/2016,20,31.5,34.1,31.5,65,66,49,24.2,24.4,20.9,992.4,992.5,992.3,0.5,71,3.1,669.2,0.0
A240,17/11/2016,21,28.3,31.5,28.3,81,81,61,24.7,24.7,22.7,992.5,992.6,992.4,0.4,116,1.5,232.7,0.0
A240,17/11/2016,23,26.6,28.0,26.5,83,83,80,23.4,24.3,23.1,994.1,994.1,993.3,0.7,303,1.0,-3.51,0.0
A240,18/11/2016,02,24.9,25.5,24.9,87,90,84,22.6,23.5,22.4,995.0,995.1,994.9,0.3,280,1.1,-3.49,0.0
A240,18/11/2016,18,30.2,31.1,30.2,66,68,59,23.1,23.9,22.0,993.5,994.2,993.5,1.3,33,4.8,2128.,0.0
A240,18/11/2016,19,31.4,31.4,30.0,60,69,58,22.8,24.0,22.0,993.0,993.5,993.0,0.9,277,2.7,1414.,0.0
A240,18/11/2016,23,26.3,26.7,26.0,88,88,86,24.2,24.2,23.8,994.1,994.1,993.2,0.2,282,1.4,-3.20,0.0
A240,18/11/2016,03,24.6,25.0,24.6,91,91,87,23.0,23.0,22.5,994.7,995.0,994.6,0.3,166,0.8,-3.53,0.0
A240,18/11/2016,20,30.3,31.5,30.2,63,67,60,22.6,23.5,22.3,992.7,993.0,992.7,0.9,355,2.6,1040.,0.0
A240,18/11/2016,21,27.5,30.4,27.5,82,83,62,24.2,24.6,22.5,992.5,992.7,992.4,0.8,166,1.5,227.0,0.0
A240,18/11/2016,04,25.4,25.4,24.4,89,92,89,23.4,23.6,22.8,994.6,994.8,994.5,0.5,256,1.0,-3.15,0.0
A240,18/11/2016,05,25.4,25.5,25.1,86,89,86,22.8,23.3,22.8,994.5,994.7,994.4,0.9,251,2.5,-3.49,0.0
A240,18/11/2016,06,25.5,25.5,25.1,84,88,84,22.6,23.1,22.6,994.3,994.5,994.2,0.9,252,2.5,-3.33,0.0
A240,18/11/2016,07,25.3,25.7,25.3,86,86,83,22.8,22.9,22.5,994.1,994.5,994.1,1.7,263,4.2,-2.26,0.0
A240,18/11/2016,08,24.7,25.3,24.6,87,87,85,22.4,22.8,22.2,994.9,994.9,994.0,2.7,339,5.3,-3.44,0.0
A240,18/11/2016,09,24.1,24.9,24.1,87,89,86,21.8,22.4,21.7,995.4,995.4,994.8,1.4,337,5.3,2.172,0.0
A240,18/11/2016,10,24.8,24.8,24.1,82,87,81,21.4,22.0,21.3,996.7,996.7,995.4,2.3,308,4.4,123.1,0.0
A240,18/11/2016,22,26.5,27.5,26.4,87,87,80,24.1,24.1,23.7,993.2,993.2,992.5,0.8,170,1.6,2.343,0.0
A240,18/11/2016,11,25.6,25.6,24.8,78,82,77,21.5,21.6,20.9,997.2,997.3,996.6,2.4,293,5.2,598.5,0.0
A240,18/11/2016,00,25.9,26.7,25.8,86,86,83,23.3,23.7,23.2,994.6,994.7,994.0,0.4,256,1.4,-3.51,0.0
A240,18/11/2016,12,27.0,27.2,25.6,75,80,73,22.2,22.4,21.5,997.9,998.1,997.2,2.0,305,5.0,1381.,0.0
A240,18/11/2016,13,27.3,27.3,26.9,76,77,73,22.8,22.9,21.9,998.5,998.5,997.9,2.3,345,5.0,1208.,0.0
A240,18/11/2016,01,25.3,26.2,25.3,86,87,83,22.9,23.8,22.7,994.9,994.9,994.6,0.1,244,1.4,-3.45,0.0
A240,18/11/2016,14,27.7,27.9,27.1,75,78,73,22.9,23.3,22.4,997.8,998.5,997.8,2.5,340,4.4,1437.,0.0
A240,18/11/2016,15,28.8,29.0,27.7,70,76,70,22.8,23.6,22.5,996.8,997.8,996.8,2.7,344,5.0,2210.,0.0
A240,18/11/2016,16,29.8,30.2,28.8,69,72,65,23.4,23.8,22.3,995.4,996.8,995.4,1.9,316,5.6,2220.,0.0
A240,18/11/2016,17,30.2,30.4,29.5,65,69,62,22.8,23.4,22.3,994.2,995.4,994.2,1.8,338,4.3,1833.,0.0
A240,19/11/2016,06,24.1,24.7,24.1,93,93,92,22.9,23.3,22.9,993.6,994.1,993.6,0.6,92,1.7,-2.52,0.0
A240,19/11/2016,07,24.1,24.3,23.8,94,94,93,23.0,23.1,22.6,993.7,993.7,993.5,0.3,1,1.0,-3.42,0.0
A240,19/11/2016,22,26.7,29.5,26.7,83,84,70,23.7,24.0,23.3,992.8,992.8,992.1,0.4,160,2.9,0.551,0.0
A240,19/11/2016,08,23.7,24.1,23.6,94,94,94,22.6,23.0,22.5,993.9,993.9,993.6,0.7,19,1.1,-3.50,0.0
A240,19/11/2016,09,23.6,23.8,23.5,94,94,94,22.5,22.8,22.5,995.0,995.0,993.9,0.2,293,1.1,2.626,0.0
A240,19/11/2016,10,24.7,24.7,23.5,93,94,93,23.6,23.6,22.5,996.3,996.3,995.0,2.0,2,5.2,68.75,0.0
A240,19/11/2016,11,25.6,25.6,24.6,88,93,88,23.5,24.0,23.4,996.5,996.5,996.3,1.9,8,3.7,432.9,0.0
A240,19/11/2016,00,25.7,26.3,25.6,90,90,87,23.9,24.2,23.7,995.0,995.0,994.1,0.8,140,1.4,-3.32,0.0
A240,19/11/2016,12,26.3,26.4,25.5,86,89,84,23.8,23.9,23.2,997.1,997.1,996.5,2.1,351,3.6,654.7,0.0
A240,19/11/2016,13,27.7,28.0,26.3,77,86,74,23.4,23.9,22.7,997.0,997.1,996.8,1.8,13,4.5,1439.,0.0
A240,19/11/2016,14,29.6,30.2,27.7,68,77,67,23.0,24.5,22.9,996.6,997.0,996.5,1.7,317,3.6,2238.,0.0
A240,19/11/2016,15,31.0,31.0,29.1,66,73,66,24.0,24.3,22.9,995.8,996.6,995.8,0.8,79,3.6,1662.,0.0
A240,19/11/2016,16,31.3,32.0,30.3,59,68,57,22.4,24.1,22.1,994.6,995.8,994.6,2.2,3,4.1,2824.,0.0
A240,19/11/2016,17,31.2,32.9,31.0,63,63,52,23.2,23.3,21.2,993.2,994.6,993.2,2.5,10,6.6,3027.,0.0
A240,19/11/2016,01,25.4,25.7,25.4,91,91,90,23.8,24.1,23.8,995.4,995.4,995.0,0.3,228,1.4,-3.26,0.0
A240,19/11/2016,18,32.3,33.3,31.1,53,64,51,21.4,24.2,21.3,992.5,993.2,992.5,1.9,356,4.8,2374.,0.0
A240,19/11/2016,19,32.6,32.9,31.9,53,58,51,21.6,22.7,21.2,991.7,992.5,991.6,2.4,320,5.0,1639.,0.0
A240,19/11/2016,20,30.5,32.8,30.5,69,69,52,24.1,24.1,21.7,991.7,991.7,991.5,1.0,25,4.8,823.0,0.0
A240,19/11/2016,21,29.5,30.4,28.7,71,79,69,23.7,25.1,23.7,992.2,992.2,991.7,1.6,341,2.9,229.0,0.0
A240,19/11/2016,02,25.3,25.5,25.2,91,91,91,23.8,24.0,23.6,995.4,995.4,995.3,0.4,257,0.9,-3.08,0.0
A240,19/11/2016,23,26.2,26.9,26.2,87,87,83,23.7,23.8,23.6,993.8,993.8,992.8,0.2,8,0.8,-3.44,0.0
A240,19/11/2016,03,25.8,25.9,25.1,88,91,88,23.6,24.1,23.3,995.4,995.5,995.3,0.5,218,1.7,-3.21,0.0
A240,19/11/2016,04,24.7,25.8,24.7,91,91,87,23.2,23.6,23.0,994.5,995.4,994.5,0.1,342,1.6,-3.42,0.0
A240,19/11/2016,05,24.6,25.0,24.4,92,92,91,23.3,23.6,23.0,994.1,994.5,994.0,1.2,101,1.8,-2.92,0.0
