codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A320,17/11/2016,22,26.1,26.3,26.1,77,80,76,21.8,22.6,21.7,1007.6,1007.6,1007.1,2.2,103,6.4,-3.33,0.0
A320,17/11/2016,21,26.2,26.5,26.1,79,81,78,22.3,22.7,22.2,1007.2,1007.2,1006.8,1.8,91,5.0,13.70,0.0
A320,17/11/2016,07,25.4,25.4,24.8,83,87,83,22.3,22.8,22.3,1007.6,1007.6,1007.1,2.0,97,5.4,-3.07,0.0
A320,17/11/2016,08,25.6,25.6,25.3,83,83,81,22.4,22.4,21.9,1007.8,1007.9,1007.6,1.9,89,5.7,2.238,0.0
A320,17/11/2016,09,26.8,26.8,25.6,77,83,75,22.3,22.6,21.9,1008.6,1008.6,1007.8,1.9,95,6.3,319.8,0.0
A320,17/11/2016,10,27.9,28.2,26.7,70,77,69,21.9,22.9,21.4,1009.0,1009.0,1008.6,2.7,105,6.0,804.1,0.0
A320,17/11/2016,00,26.2,26.6,26.1,79,80,76,22.2,22.5,21.9,1009.1,1009.2,1008.7,1.8,89,5.8,-3.51,0.0
A320,17/11/2016,11,28.1,28.9,27.6,73,73,67,22.8,22.9,21.6,1009.3,1009.3,1009.0,2.5,95,6.6,1547.,0.0
A320,17/11/2016,12,29.7,30.1,28.1,67,73,62,23.0,23.0,21.5,1009.3,1009.5,1009.3,2.7,109,6.8,2694.,0.0
A320,17/11/2016,13,29.7,31.3,29.0,64,67,59,22.1,23.3,21.4,1009.2,1009.4,1009.1,2.9,103,7.4,3015.,0.0
A320,17/11/2016,17,30.0,30.9,29.0,61,65,59,21.7,22.6,21.1,1006.7,1007.4,1006.7,2.6,95,7.0,2664.,0.0
A320,17/11/2016,01,26.3,26.4,26.2,77,80,77,22.0,22.4,21.9,1009.0,1009.2,1009.0,1.8,95,5.2,-3.53,0.0
A320,17/11/2016,02,26.4,26.4,26.2,78,79,77,22.3,22.3,22.0,1009.1,1009.2,1009.0,1.9,97,4.4,-3.42,0.0
A320,17/11/2016,16,29.3,31.2,29.3,62,62,57,21.3,22.6,21.2,1007.4,1008.0,1007.4,3.1,86,7.7,3421.,0.0
A320,17/11/2016,15,30.2,31.5,29.4,60,63,56,21.6,22.5,20.8,1008.0,1009.0,1008.0,3.2,104,7.9,3565.,0.0
A320,17/11/2016,14,30.6,31.1,28.6,60,68,58,21.9,22.7,21.1,1009.0,1009.3,1009.0,2.8,105,7.3,3273.,0.0
A320,17/11/2016,23,26.0,26.2,26.0,79,79,77,22.1,22.3,21.8,1008.2,1008.2,1007.6,1.5,114,5.2,-3.53,0.0
A320,17/11/2016,18,29.1,30.9,28.6,64,66,59,21.6,22.9,21.3,1006.5,1006.8,1006.5,2.4,85,6.5,2109.,0.0
A320,17/11/2016,19,26.7,29.7,25.8,80,86,63,23.1,23.9,20.8,1006.5,1006.5,1006.4,2.1,111,6.5,1242.,0.6
A320,17/11/2016,03,26.2,26.4,26.1,78,79,78,22.1,22.3,22.0,1008.2,1009.1,1008.2,1.8,94,5.2,-3.51,0.0
A320,17/11/2016,20,26.5,27.0,26.5,79,81,77,22.7,23.1,22.3,1006.8,1006.8,1006.5,1.7,110,4.9,290.3,0.0
A320,17/11/2016,04,26.0,26.2,26.0,79,80,78,22.1,22.4,22.0,1007.6,1008.2,1007.6,1.7,95,4.6,-3.45,0.0
A320,17/11/2016,05,26.0,26.0,25.9,79,80,78,22.1,22.2,21.8,1007.3,1007.6,1007.2,1.9,95,4.9,-3.54,0.0
A320,17/11/2016,06,24.9,26.2,24.9,87,88,78,22.6,22.9,21.9,1007.1,1007.3,1007.1,1.8,98,6.9,-3.28,0.4
A320,18/11/2016,12,29.3,30.0,28.2,63,69,61,21.7,22.6,21.1,1007.8,1007.9,1007.7,2.6,104,7.6,2349.,0.0
A320,18/11/2016,13,30.3,31.1,28.7,60,66,59,21.6,22.5,21.3,1007.2,1007.8,1007.2,2.5,95,7.9,3097.,0.0
A320,18/11/2016,01,26.1,26.2,25.9,78,80,77,21.9,22.3,21.8,1008.8,1008.9,1008.6,2.2,101,4.9,-3.54,0.0
A320,18/11/2016,14,29.9,31.0,29.2,61,63,58,21.4,22.4,20.9,1006.6,1007.2,1006.6,3.2,85,8.8,3730.,0.0
A320,18/11/2016,15,29.7,31.6,29.4,63,63,57,21.9,22.4,21.1,1005.9,1006.6,1005.9,3.0,90,8.0,3433.,0.0
A320,18/11/2016,23,26.1,26.3,26.1,76,76,74,21.6,21.8,21.2,1006.5,1006.5,1005.8,2.2,81,5.3,-3.54,0.0
A320,18/11/2016,16,30.5,31.1,29.0,59,65,58,21.5,22.6,21.3,1005.2,1005.9,1005.2,3.0,78,7.3,3226.,0.0
A320,18/11/2016,02,26.1,26.2,26.0,79,81,77,22.1,22.5,21.7,1008.1,1008.9,1008.1,2.4,99,5.5,-3.48,0.0
A320,18/11/2016,17,29.3,30.6,29.2,60,62,57,20.7,21.8,19.9,1004.4,1005.2,1004.4,2.7,102,7.2,2919.,0.0
A320,18/11/2016,18,28.9,30.4,28.5,65,65,58,21.6,21.8,20.7,1004.1,1004.5,1004.1,2.7,97,7.3,2192.,0.0
A320,18/11/2016,19,27.7,28.9,27.6,68,70,65,21.3,22.2,21.2,1004.1,1004.3,1004.1,2.6,91,6.4,970.0,0.0
A320,18/11/2016,03,26.0,26.1,25.8,78,79,77,21.7,22.1,21.6,1007.3,1008.1,1007.3,2.2,99,5.5,-3.53,0.0
A320,18/11/2016,20,26.8,27.8,26.8,72,73,68,21.4,21.8,21.3,1004.5,1004.5,1004.1,2.3,100,6.4,266.4,0.0
A320,18/11/2016,21,26.3,26.8,26.3,73,74,72,21.1,21.6,20.9,1005.0,1005.0,1004.5,2.3,101,6.4,8.439,0.0
A320,18/11/2016,04,26.0,26.1,25.8,79,79,77,22.0,22.0,21.5,1006.8,1007.3,1006.8,2.0,99,5.3,-3.47,0.0
A320,18/11/2016,22,26.3,26.3,26.2,74,74,73,21.2,21.3,21.0,1005.8,1005.8,1005.0,1.9,88,5.6,-3.54,0.0
A320,18/11/2016,05,25.9,26.0,25.8,78,79,77,21.8,22.1,21.6,1006.3,1006.8,1006.3,1.8,98,5.1,-3.54,0.0
A320,18/11/2016,06,25.8,25.9,25.7,78,79,77,21.7,21.9,21.4,1006.2,1006.3,1006.1,2.1,104,5.8,-3.52,0.0
