codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
B804,16/11/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,16/11/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
B804,17/11/2016,10,17.9,17.9,12.8,83,97,83,15.0,15.3,12.3,916.7,916.7,916.3,0.4,98,2.2,592.7,0.0
B804,17/11/2016,11,19.1,19.4,17.8,77,86,76,15.0,15.5,14.6,917.3,917.3,916.7,2.4,125,4.6,1481.,0.0
B804,17/11/2016,01,15.9,16.7,15.9,93,93,91,14.7,15.2,14.7,916.1,916.1,915.4,0.9,314,1.9,-3.60,0.0
B804,17/11/2016,12,21.1,21.1,19.0,74,78,72,16.1,16.1,14.8,917.7,917.8,917.3,1.9,138,4.6,2357.,0.0
B804,17/11/2016,13,22.6,23.3,21.0,66,74,63,15.9,16.6,14.9,918.2,918.2,917.7,1.6,147,4.2,3079.,0.0
B804,17/11/2016,14,25.8,26.1,22.6,47,66,45,13.6,16.3,13.3,918.4,918.5,918.2,1.7,229,4.5,3628.,0.0
B804,17/11/2016,23,18.1,21.2,18.1,73,74,61,13.3,14.4,13.3,919.9,920.0,918.7,1.6,136,8.2,-2.28,0.0
B804,17/11/2016,15,26.7,27.8,25.5,41,49,37,12.3,14.5,11.2,918.4,918.5,918.1,2.3,220,7.6,3959.,0.0
B804,17/11/2016,16,27.6,28.4,26.4,37,45,31,11.6,14.1,9.1,918.5,918.7,918.4,1.6,210,8.1,3997.,0.0
B804,17/11/2016,17,26.2,29.4,25.7,45,45,37,13.2,14.1,11.5,918.2,918.6,918.2,2.9,224,8.2,2866.,0.0
B804,17/11/2016,02,15.1,16.1,15.0,95,95,92,14.3,14.9,14.1,916.6,916.6,916.1,0.7,338,1.4,-3.60,0.0
B804,17/11/2016,18,27.9,28.8,26.2,38,44,35,12.2,13.3,10.9,917.6,918.2,917.5,2.2,211,8.9,3152.,0.0
B804,17/11/2016,19,26.5,28.5,26.2,45,46,37,13.8,14.7,12.1,917.2,917.6,917.2,2.8,230,8.6,1918.,0.0
