codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A841,03/12/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,03/12/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,04/12/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,05/12/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,06/12/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,07/12/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,08/12/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,08/12/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,08/12/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,08/12/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,08/12/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A841,08/12/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
