codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A705,16/11/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,16/11/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A705,17/11/2016,05,20.4,20.9,20.4,87,87,85,18.1,18.2,18.0,935.8,936.2,935.8,0.8,360,2.8,-3.54,0.0
A705,17/11/2016,06,19.4,20.4,19.4,91,91,86,17.9,18.1,17.8,935.5,935.8,935.5,1.1,16,3.2,-3.54,0.0
A705,17/11/2016,07,19.5,19.5,19.2,90,92,90,17.9,18.0,17.8,936.0,936.0,935.4,1.0,5,3.4,-3.54,0.0
A705,17/11/2016,08,19.1,19.5,19.1,90,90,89,17.4,17.9,17.4,936.5,936.5,936.0,0.9,6,3.2,-3.54,0.0
A705,17/11/2016,09,19.3,19.4,18.8,90,92,90,17.6,17.7,17.3,936.9,936.9,936.4,0.9,357,3.5,27.80,0.0
A705,17/11/2016,11,22.7,22.8,20.3,78,87,77,18.6,19.0,17.9,937.8,937.9,937.4,2.4,307,5.5,1263.,0.0
A705,17/11/2016,10,20.3,20.4,19.3,86,90,86,17.9,18.0,17.6,937.5,937.5,936.9,2.6,326,5.1,406.3,0.0
A705,17/11/2016,12,24.7,24.7,22.6,70,79,70,19.0,19.6,18.6,938.3,938.3,937.8,1.7,322,5.1,1689.,0.0
A705,17/11/2016,13,27.2,27.2,24.7,63,72,62,19.6,20.0,18.9,938.5,938.5,938.3,2.2,284,4.1,2658.,0.0
A705,17/11/2016,14,29.3,29.4,27.2,53,63,48,18.7,20.2,17.2,938.5,938.6,938.5,2.0,275,4.5,3177.,0.0
A705,17/11/2016,15,29.9,31.1,29.3,51,54,47,18.6,19.9,17.7,938.1,938.5,938.0,1.8,233,6.5,3029.,0.0
A705,17/11/2016,22,20.8,21.7,20.8,91,94,88,19.2,20.4,19.0,936.7,936.8,936.6,1.5,301,4.0,58.83,0.0
A705,17/11/2016,16,31.5,31.6,29.8,45,53,43,18.0,19.2,17.0,937.4,938.1,937.4,2.4,188,6.8,2415.,0.0
A705,17/11/2016,17,29.1,32.0,28.9,49,52,41,17.3,19.2,16.9,936.7,937.4,936.7,2.0,233,9.1,2018.,0.0
A705,17/11/2016,18,28.5,30.4,23.8,61,83,44,20.4,21.7,16.6,935.9,936.7,935.9,1.6,214,10.6,2134.,0.8
A705,17/11/2016,00,23.5,26.7,23.5,72,72,55,18.1,18.2,16.6,934.9,934.9,933.9,1.3,74,3.6,-3.54,0.0
A705,17/11/2016,19,24.5,29.4,24.5,86,86,57,22.0,22.0,18.8,935.8,936.0,935.6,0.1,360,7.0,1209.,0.2
A705,17/11/2016,20,24.3,25.3,24.2,75,87,70,19.5,22.1,18.9,935.5,936.1,935.3,0.6,264,6.1,660.7,0.0
A705,17/11/2016,21,21.5,24.3,20.8,94,94,73,20.4,20.7,19.1,936.8,936.9,935.6,1.0,254,17.6,201.2,6.2
A705,17/11/2016,01,22.1,23.5,22.1,79,79,72,18.3,18.4,18.0,935.5,935.5,934.8,1.2,74,2.6,-3.54,0.0
A705,17/11/2016,23,20.6,20.9,20.5,92,94,90,19.2,19.6,19.1,937.7,937.7,936.7,0.3,259,3.0,-3.20,0.0
A705,17/11/2016,02,22.4,22.4,21.7,79,81,78,18.5,18.6,18.1,936.2,936.2,935.5,0.4,354,2.9,-3.53,0.0
A705,17/11/2016,03,22.6,22.7,22.1,77,80,76,18.4,18.7,18.3,936.0,936.2,935.9,1.0,353,3.6,-3.53,0.0
A705,17/11/2016,04,20.9,22.6,20.9,85,85,77,18.2,18.4,18.2,936.2,936.2,936.0,0.5,339,3.2,-3.54,0.0
A705,18/11/2016,01,20.5,21.0,20.4,93,93,90,19.3,19.4,19.2,938.5,938.5,937.9,1.0,296,2.8,-3.45,0.0
A705,18/11/2016,23,19.5,21.2,19.5,78,78,72,15.6,16.2,15.6,940.8,940.8,939.8,2.4,339,6.5,-3.54,0.0
A705,18/11/2016,02,20.3,20.5,20.3,93,93,92,19.1,19.3,19.1,938.7,938.7,938.4,1.7,280,3.3,-3.54,0.0
A705,18/11/2016,03,20.0,20.3,20.0,94,94,93,19.0,19.1,19.0,938.5,938.7,938.5,0.5,267,3.3,-3.54,0.0
A705,18/11/2016,04,19.7,20.0,19.5,95,95,94,18.8,18.9,18.6,937.9,938.5,937.9,1.1,223,2.6,-3.54,0.0
A705,18/11/2016,22,21.2,24.2,21.2,72,72,61,15.8,16.3,15.7,939.8,939.8,938.9,0.7,47,6.5,29.17,0.0
A705,18/11/2016,05,19.2,20.0,19.2,94,95,94,18.3,19.1,18.2,937.2,937.9,937.2,0.2,250,3.1,-3.54,0.0
A705,18/11/2016,06,19.5,19.5,19.0,95,95,94,18.7,18.7,18.1,936.9,937.2,936.8,0.6,279,2.3,-3.54,0.0
A705,18/11/2016,07,18.6,19.6,18.6,95,95,94,17.9,18.8,17.9,936.8,936.9,936.8,0.6,24,1.9,-3.54,0.0
A705,18/11/2016,08,18.7,18.8,18.5,96,96,95,18.0,18.1,17.8,937.0,937.0,936.8,0.5,4,2.2,-3.53,0.0
A705,18/11/2016,09,18.5,18.8,18.3,96,96,96,17.8,18.1,17.6,937.7,937.7,937.0,1.1,39,3.0,22.34,0.0
A705,18/11/2016,10,19.0,19.0,18.5,96,96,96,18.3,18.3,17.8,938.5,938.5,937.6,0.7,23,3.0,113.9,0.0
A705,18/11/2016,11,19.6,19.7,19.0,96,96,96,19.0,19.1,18.3,939.3,939.3,938.5,1.8,354,4.5,243.2,0.0
A705,18/11/2016,12,19.4,19.6,19.3,90,96,90,17.6,18.9,17.6,940.0,940.1,939.3,2.4,344,6.1,360.0,0.0
A705,18/11/2016,13,21.0,21.1,19.4,84,90,82,18.2,18.4,17.4,940.6,940.6,940.0,1.7,34,5.8,1011.,0.0
A705,18/11/2016,14,22.0,22.0,21.0,76,85,76,17.5,18.3,17.5,940.7,940.7,940.6,1.5,23,4.9,1196.,0.0
A705,18/11/2016,15,23.4,23.4,22.0,71,77,70,17.9,18.4,17.2,940.5,940.7,940.5,1.5,8,4.9,1536.,0.0
A705,18/11/2016,16,24.8,25.2,22.9,65,74,63,17.8,18.7,17.0,939.8,940.5,939.8,1.7,346,5.8,2390.,0.0
A705,18/11/2016,17,26.5,26.5,24.8,61,66,59,18.2,19.0,17.2,939.4,939.8,939.4,1.7,37,4.3,2340.,0.0
A705,18/11/2016,18,26.9,27.4,26.4,56,61,52,17.2,18.5,16.7,938.7,939.4,938.7,1.8,29,4.7,2608.,0.0
A705,18/11/2016,19,27.4,28.1,26.1,54,63,53,17.3,18.5,17.1,938.5,938.7,938.5,2.6,75,6.7,2090.,0.0
A705,18/11/2016,20,25.0,27.8,24.9,62,62,54,17.1,18.4,16.7,938.6,938.6,938.4,2.1,72,5.7,834.7,0.0
A705,18/11/2016,00,20.9,20.9,20.4,90,93,90,19.3,19.5,19.2,938.0,938.1,937.7,1.3,296,2.8,-3.44,0.0
A705,18/11/2016,21,24.2,25.9,24.2,61,62,55,16.2,17.3,15.8,938.9,938.9,938.6,2.1,29,6.3,246.0,0.0
