codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A706,16/11/2016,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,16/11/2016,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A706,17/11/2016,03,15.5,15.9,15.5,////,////,////,////,////,////,830.8,830.9,830.6,0.8,351,2.0,-3.01,0.0
A706,17/11/2016,15,23.3,24.0,22.8,53,62,47,13.3,15.8,11.3,832.4,832.7,832.3,3.2,205,7.2,3698.,0.0
A706,17/11/2016,16,24.6,25.0,23.3,48,58,45,12.8,15.4,12.2,831.9,832.4,831.9,2.6,185,8.0,3656.,0.0
A706,17/11/2016,17,23.2,25.8,22.3,62,62,45,15.6,16.1,11.7,831.4,832.0,831.4,2.2,210,7.9,2482.,0.0
A706,17/11/2016,18,25.4,25.4,22.8,46,62,43,13.1,15.5,11.4,831.0,831.5,831.0,2.0,212,6.9,2038.,0.0
A706,17/11/2016,19,22.7,25.4,22.7,50,54,44,11.8,13.4,11.1,830.6,831.1,830.6,2.1,199,6.4,1154.,0.0
A706,17/11/2016,04,15.4,15.6,15.3,////,////,////,////,////,////,830.4,830.9,830.4,0.9,356,2.1,-1.67,0.0
A706,17/11/2016,20,20.9,22.7,20.3,61,65,50,13.1,13.6,11.8,830.7,830.8,830.5,0.5,255,5.4,233.7,0.0
A706,17/11/2016,21,19.1,21.2,19.1,70,70,58,13.5,14.1,12.4,831.0,831.1,830.7,1.7,208,4.4,192.1,0.0
A706,17/11/2016,05,15.3,15.5,15.2,////,////,////,////,////,////,830.3,830.5,830.2,0.5,42,2.2,-2.87,0.0
A706,17/11/2016,06,15.3,15.4,15.1,////,////,////,////,////,////,830.3,830.4,830.2,0.4,324,3.0,-1.11,0.0
A706,17/11/2016,22,18.3,19.1,18.3,73,73,70,13.4,13.6,13.4,831.1,831.1,830.8,0.9,171,4.4,2.999,0.0
A706,17/11/2016,07,15.2,15.3,15.1,////,////,////,////,////,////,830.7,830.7,830.3,0.8,149,2.0,-1.24,0.0
A706,17/11/2016,08,14.6,15.2,14.6,////,////,////,////,////,////,831.0,831.1,830.5,1.1,354,4.2,-1.83,0.0
A706,17/11/2016,00,16.7,17.4,16.7,97,97,82,16.3,16.3,14.2,830.5,830.5,829.9,1.0,158,2.1,-2.71,0.0
A706,17/11/2016,01,16.1,16.7,16.0,////,////,////,////,////,////,830.9,830.9,830.5,0.8,189,3.3,-2.34,0.4
A706,17/11/2016,09,15.0,15.0,14.5,////,////,////,////,////,////,831.7,831.7,831.0,0.5,278,2.5,79.89,0.0
A706,17/11/2016,02,15.8,16.1,15.8,////,////,////,////,////,////,830.8,831.1,830.7,0.6,325,2.0,-2.27,1.2
A706,17/11/2016,10,18.0,18.2,15.0,////,////,////,////,////,////,832.0,832.1,831.7,0.9,216,2.2,738.8,0.0
A706,17/11/2016,11,19.9,20.1,18.0,77,100,77,15.7,19.4,15.7,832.2,832.2,831.9,1.5,210,4.8,1669.,0.0
A706,17/11/2016,12,21.0,21.6,19.8,69,81,69,15.2,17.1,14.6,832.4,832.5,832.2,1.5,200,4.8,2226.,0.0
A706,17/11/2016,13,22.4,22.4,20.6,62,73,60,14.9,16.1,13.9,832.8,832.8,832.4,2.2,216,6.0,3236.,0.0
